"Target_Category_Macro","Motif_Type","N_Compounds","Median_Potency","Mean_Potency","SD_Potency","Base_Median","Potency_Gain_vs_Simple","Fold_Change_Linear"
"Cell Signaling & Survival","Methoxylated",239,8,7.26077561569038,1.12742832668151,5.87614835903291,2.12385164096709,133
"Cell Signaling & Survival","Glycosylated",10,6.18708664335714,6.10403271137281,0.262639593703201,5.87614835903291,0.31093828432423,2.04615384615385
"Cell Signaling & Survival","Simple",2366,5.87614835903291,5.8854241877097,0.75359501665986,5.87614835903291,0,1
"Cell Signaling & Survival","Prenylated",166,5.56863623584101,5.61856563337477,0.412586743685438,5.87614835903291,-0.307512123191901,0.492592592592593
"Gene Regulation","Prenylated",90,7.24412514432751,6.61833497241512,1.18799424697713,6.09691001300806,1.14721513131945,14.0350877192983
"Gene Regulation","Simple",1657,6.09691001300806,6.63842560638742,1.17141688952314,6.09691001300806,0,1
"Gene Regulation","Methoxylated",491,5.68613277963085,5.92138204676413,0.516508097777949,6.09691001300806,-0.41077723337721,0.388349514563107
"General Assays & Safety","Glycosylated",80,7.09691001300806,6.61698200535132,0.759484591246588,5.67778070526608,1.41912930774198,26.2500000000001
"General Assays & Safety","Methoxylated",683,6.46852108295774,6.11758733491605,0.731997216750384,5.67778070526608,0.790740377691665,6.17647058823531
"General Assays & Safety","Simple",5080,5.67778070526608,5.74762530244335,0.662064382066334,5.67778070526608,0,1
"General Assays & Safety","Prenylated",374,5.50314965258982,5.66098453868514,0.582279553138124,5.67778070526608,-0.174631052676255,0.668911938761885
"Infectious Diseases","Glycosylated",1,6.09691001300806,6.09691001300806,NA,5.3767507096021,0.720159303405957,5.25
"Infectious Diseases","Prenylated",110,5.41228903498109,5.43242318134693,0.27595465394872,5.3767507096021,0.0355383253789894,1.08527131782946
"Infectious Diseases","Simple",1941,5.3767507096021,5.71780773715226,0.604262320311762,5.3767507096021,0,1
"Infectious Diseases","Methoxylated",161,5.10237290870956,5.30547688629954,0.710080260667573,5.3767507096021,-0.274377800892541,0.531645569620253
"Inflammation & Proteolysis","Simple",3777,5.82681373158773,6.27500165373145,1.10933145940108,5.82681373158773,0,1
"Inflammation & Proteolysis","Prenylated",29,5.46980030179692,5.6780252698677,0.44430103560062,5.82681373158773,-0.357013429790809,0.439528023598819
"Inflammation & Proteolysis","Methoxylated",254,5.09150961949418,5.4415836089648,0.566807170456645,5.82681373158773,-0.73530411209355,0.183948346316712
"Inflammation & Proteolysis","Glycosylated",4,5.08092190762393,5.08092190762393,0,5.82681373158773,-0.7458918239638,0.179518072289157
"Metabolic Enzymes","Simple",3991,6.34678748622466,6.47006045824353,1.11100535785229,6.34678748622466,0,1
"Metabolic Enzymes","Methoxylated",982,5.86327943284359,6.23435636266244,1.01688487403969,6.34678748622466,-0.483508053381063,0.328467153284672
"Metabolic Enzymes","Prenylated",224,5.67985371388895,5.84311896088778,0.557345088037385,6.34678748622466,-0.66693377233571,0.215311004784689
"Metabolic Enzymes","Glycosylated",77,5.52287874528034,5.57309905984618,0.348514950420592,6.34678748622466,-0.823908740944319,0.15
"Neuroscience Targets","Glycosylated",14,6.0584885673656,6.0584885673656,0,5.52418358696868,0.534304980396914,3.42219679633867
"Neuroscience Targets","Simple",2498,5.52418358696868,5.51714151898845,0.507112701643367,5.52418358696868,0,1
"Neuroscience Targets","Prenylated",19,5.48148606012211,5.64682717098807,0.282772327311261,5.52418358696868,-0.0426975268465695,0.906363636363636
"Neuroscience Targets","Methoxylated",360,5.44369749923271,5.5251419411734,0.577557217581976,5.52418358696868,-0.0804860877359701,0.830833333333331
"Phenotypic: Cancer & Cells","Prenylated",963,5.27083521030723,5.53499242013656,0.79153649088308,5.04095860767891,0.229876602628324,1.69776119402985
"Phenotypic: Cancer & Cells","Methoxylated",2896,5.22184874961636,5.42626710168801,0.571857119529575,5.04095860767891,0.18089014193745,1.51666666666667
"Phenotypic: Cancer & Cells","Simple",8017,5.04095860767891,5.3566068925615,0.597104509901965,5.04095860767891,0,1
"Phenotypic: Cancer & Cells","Glycosylated",402,5,5.47650390118535,0.771832916345216,5.04095860767891,-0.0409586076789061,0.910000000000001
"Transporters & Ion Channels","Glycosylated",31,7.79588001734407,7.17068099702173,1.1870855820498,5,2.79588001734407,625
"Transporters & Ion Channels","Prenylated",36,6,5.97017550834788,0.113350966333025,5,1,10
"Transporters & Ion Channels","Methoxylated",156,5.05060999335509,5.86886513131459,1.4158645519477,5,0.0506099933550868,1.12359550561798
"Transporters & Ion Channels","Simple",805,5,5.2359311662143,0.281005368856685,5,0,1
