inchikey,core14,smiles,class_np,family,genus,species
UACAJEAOMACMMU-UHFFFAOYSA-N,UACAJEAOMACMMU,Oc1ccc(-c2cc3cc4c(cc3o2)OCO4)c(O)c1,2-arylbenzofurans,Asteraceae,Artemisia,Artemisia indica
OYMZVRJQIIYPTP-UHFFFAOYSA-N,OYMZVRJQIIYPTP,O=C(O)c1c(-c2c(O)cc(O)cc2O)oc2cc(O)c(O)cc12,2-arylbenzofurans,Asteraceae,Sphagneticola,Sphagneticola calendulacea
OYMZVRJQIIYPTP-UHFFFAOYSA-N,OYMZVRJQIIYPTP,O=C(O)c1c(-c2c(O)cc(O)cc2O)oc2cc(O)c(O)cc12,2-arylbenzofurans,Asteraceae,Wedelia,Wedelia acapulcensis
VQPRVSDNFHTZME-UHFFFAOYSA-N,VQPRVSDNFHTZME,COc1ccc(-c2cc3cc(OC)ccc3o2)cc1,2-arylbenzofurans,Corsiniaceae,Corsinia,Corsinia coriandrina
KOXGEVMVKXGNSJ-UHFFFAOYSA-N,KOXGEVMVKXGNSJ,COc1ccc(-c2oc3cc4c(c(O)c3c2C=O)OCO4)c(OC)c1O,2-arylbenzofurans,Fabaceae,Andira,Andira inermis
VUKCFTVODWLXPK-UHFFFAOYSA-N,VUKCFTVODWLXPK,COc1cc(O)c2c(C=O)c(-c3ccc(O)c(O)c3OC)oc2c1,2-arylbenzofurans,Fabaceae,Andira,Andira inermis
XDUYDNPZEINTJY-UHFFFAOYSA-N,XDUYDNPZEINTJY,COc1cc(O)c2c(C=O)c(-c3ccc(OC)c(O)c3OC)oc2c1,2-arylbenzofurans,Fabaceae,Andira,Andira inermis
XDBDADAPEFSDHG-UHFFFAOYSA-N,XDBDADAPEFSDHG,COc1ccc(-c2cc3ccc(O)cc3o2)c(O)c1,2-arylbenzofurans,Fabaceae,Bolusanthus,Bolusanthus speciosus
IFBRBJZDJUDCQS-UHFFFAOYSA-N,IFBRBJZDJUDCQS,COc1cc2c(cc1-c1cc3ccc(O)cc3o1)OCO2,2-arylbenzofurans,Fabaceae,Cicer,Cicer bijugum
IFBRBJZDJUDCQS-UHFFFAOYSA-N,IFBRBJZDJUDCQS,COc1cc2c(cc1-c1cc3ccc(O)cc3o1)OCO2,2-arylbenzofurans,Fabaceae,Cicer,Cicer judaicum
IFBRBJZDJUDCQS-UHFFFAOYSA-N,IFBRBJZDJUDCQS,COc1cc2c(cc1-c1cc3ccc(O)cc3o1)OCO2,2-arylbenzofurans,Fabaceae,Cicer,Cicer macracanthum
IFBRBJZDJUDCQS-UHFFFAOYSA-N,IFBRBJZDJUDCQS,COc1cc2c(cc1-c1cc3ccc(O)cc3o1)OCO2,2-arylbenzofurans,Fabaceae,Cicer,Cicer pinnatifidum
RICORHDCMSYMOL-UHFFFAOYSA-N,RICORHDCMSYMOL,COc1cc2oc(-c3ccccc3)c(C)c2cc1O,2-arylbenzofurans,Fabaceae,Dalbergia,Dalbergia louvelii
QTFMQWQJMAKEOI-UHFFFAOYSA-N,QTFMQWQJMAKEOI,COc1cc(O)ccc1-c1cc2ccc(O)cc2o1,2-arylbenzofurans,Fabaceae,Dalbergia,Dalbergia odorifera
XDBDADAPEFSDHG-UHFFFAOYSA-N,XDBDADAPEFSDHG,COc1ccc(-c2cc3ccc(O)cc3o2)c(O)c1,2-arylbenzofurans,Fabaceae,Dalbergia,Dalbergia odorifera
RICORHDCMSYMOL-UHFFFAOYSA-N,RICORHDCMSYMOL,COc1cc2oc(-c3ccccc3)c(C)c2cc1O,2-arylbenzofurans,Fabaceae,Dalbergia,Dalbergia parviflora
ZXVCAYAYUZVPPH-UHFFFAOYSA-N,ZXVCAYAYUZVPPH,COc1cc(-c2cc3ccc(O)cc3o2)c(OC)cc1O,2-arylbenzofurans,Fabaceae,Erythrina,Erythrina abyssinica
AOVQEAUIBICOLQ-UHFFFAOYSA-N,AOVQEAUIBICOLQ,CC1(C)C=Cc2c(ccc(-c3cc4ccc(O)cc4o3)c2O)O1,2-arylbenzofurans,Fabaceae,Erythrina,Erythrina addisoniae
JTWAOWXXBMXCGP-UHFFFAOYSA-N,JTWAOWXXBMXCGP,CC(C)=CCc1c(O)ccc(-c2cc3ccc(O)cc3o2)c1O,2-arylbenzofurans,Fabaceae,Erythrina,Erythrina addisoniae
QZVJJJNZJBVWPG-UHFFFAOYSA-N,QZVJJJNZJBVWPG,COc1cc(O)ccc1-c1cc2cc(CC=C(C)C)c(O)cc2o1,2-arylbenzofurans,Fabaceae,Erythrina,Erythrina addisoniae
SJIZTMNAKZAOTA-UHFFFAOYSA-N,SJIZTMNAKZAOTA,CC1(C)C=Cc2c(O)ccc(-c3cc4ccc(O)cc4o3)c2O1,2-arylbenzofurans,Fabaceae,Erythrina,Erythrina addisoniae
XQVKBMIVACNFLX-UHFFFAOYSA-N,XQVKBMIVACNFLX,COc1cc(O)c(CC=C(C)C)cc1-c1cc2ccc(O)cc2o1,2-arylbenzofurans,Fabaceae,Erythrina,Erythrina addisoniae
YCDZKMJZSGRQML-UHFFFAOYSA-N,YCDZKMJZSGRQML,COc1ccc2cc(-c3ccc(O)cc3OC)oc2c1,2-arylbenzofurans,Fabaceae,Erythrina,Erythrina addisoniae
