node_label,target_domain_macro,median_z_potency,median_pchembl,n_compounds,n_records,from,to
Aryl methoxy 2-arylbenzofurans,General Assays and Safety,-0.619241271513299,4.725,5,8,Aryl methoxy 2-arylbenzofurans,General Assays and Safety
Aryl methoxy 2-arylbenzofurans,Inflammation and Proteolysis,-0.5558028645653795,4.605,8,11,Aryl methoxy 2-arylbenzofurans,Inflammation and Proteolysis
Aryl methoxy Chalcones,Cell Signaling and Survival,-0.356079449763149,4.82,13,14,Aryl methoxy Chalcones,Cell Signaling and Survival
Aryl methoxy Chalcones,Gene Regulation,-0.87988340289862,4.58,5,5,Aryl methoxy Chalcones,Gene Regulation
Aryl methoxy Chalcones,General Assays and Safety,-0.925678372764007,4.63,13,13,Aryl methoxy Chalcones,General Assays and Safety
Aryl methoxy Chalcones,Infectious Diseases,-0.231120761427703,4.865,27,85,Aryl methoxy Chalcones,Infectious Diseases
Aryl methoxy Chalcones,Inflammation and Proteolysis,-0.26552801423102,4.84,14,22,Aryl methoxy Chalcones,Inflammation and Proteolysis
Aryl methoxy Chalcones,Metabolic Enzymes,0.309045880335393,5.42,19,47,Aryl methoxy Chalcones,Metabolic Enzymes
Aryl methoxy Chalcones,Phenotypic: Cancer and Cells,-0.0810038273571262,4.7875,54,228,Aryl methoxy Chalcones,Phenotypic: Cancer and Cells
Aryl methoxy Chalcones,Transporters and Ion Channels,-0.0516949903574766,5.0775,13,52,Aryl methoxy Chalcones,Transporters and Ion Channels
Aryl methoxy Flavanones,Cell Signaling and Survival,-0.5831117374920035,4.7,6,7,Aryl methoxy Flavanones,Cell Signaling and Survival
Aryl methoxy Flavanones,Infectious Diseases,-0.1584960384082459,4.9625,16,32,Aryl methoxy Flavanones,Infectious Diseases
Aryl methoxy Flavanones,Metabolic Enzymes,0.230536382090263,5.375,12,35,Aryl methoxy Flavanones,Metabolic Enzymes
Aryl methoxy Flavanones,Neuroscience Targets,0.998039423732243,5.6,5,8,Aryl methoxy Flavanones,Neuroscience Targets
Aryl methoxy Flavanones,Phenotypic: Cancer and Cells,-0.7272094974416975,4.43,14,33,Aryl methoxy Flavanones,Phenotypic: Cancer and Cells
Aryl methoxy Flavanones,Transporters and Ion Channels,-0.442209576394373,4.8275,5,9,Aryl methoxy Flavanones,Transporters and Ion Channels
Aryl methoxy Flavans,Phenotypic: Cancer and Cells,-0.898928486694941,4.335,9,27,Aryl methoxy Flavans,Phenotypic: Cancer and Cells
Aryl methoxy Isoflavanones,Phenotypic: Cancer and Cells,-0.347620152776635,4.64,17,44,Aryl methoxy Isoflavanones,Phenotypic: Cancer and Cells
Aryl methoxy Isoflavones,Cell Signaling and Survival,0.5276300749917353,5.397500000000001,6,9,Aryl methoxy Isoflavones,Cell Signaling and Survival
Aryl methoxy Isoflavones,Gene Regulation,0.205533808298831,5.53,5,8,Aryl methoxy Isoflavones,Gene Regulation
Aryl methoxy Isoflavones,Infectious Diseases,-0.977357539140246,4.45,9,23,Aryl methoxy Isoflavones,Infectious Diseases
Aryl methoxy Isoflavones,Metabolic Enzymes,-0.11121781372968174,5.19125,6,25,Aryl methoxy Isoflavones,Metabolic Enzymes
Aryl methoxy Isoflavones,Phenotypic: Cancer and Cells,-0.410885043554145,4.605,32,69,Aryl methoxy Isoflavones,Phenotypic: Cancer and Cells
Aryl methoxy Pterocarpan,Phenotypic: Cancer and Cells,-0.2753174204594795,4.68,8,27,Aryl methoxy Pterocarpan,Phenotypic: Cancer and Cells
Aryl methoxy Rotenoids,Phenotypic: Cancer and Cells,2.48122424913205,6.205,6,25,Aryl methoxy Rotenoids,Phenotypic: Cancer and Cells
Multi-motif 2-arylbenzofurans,Cell Signaling and Survival,-0.435624683569888,4.76,5,6,Multi-motif 2-arylbenzofurans,Cell Signaling and Survival
