node_label,inchikey,mean_z_potency,max_pchembl,display_motif,class_np,canonical_smiles,standardized_smiles,representative_input_smiles
Aryl methoxy 2-arylbenzofurans,KJOUKFLQGCLIOG-UHFFFAOYSA-N,2.27353923173819,7.34,Aryl methoxy,2-arylbenzofurans,COc1cc2oc(-c3ccc(O)cc3O)cc2cc1O,COc1cc2oc(-c3ccc(O)cc3O)cc2cc1O,COc1cc2oc(-c3ccc(O)cc3O)cc2cc1O
Aryl methoxy Chalcones,ASIBRDHUNIEPQI-UHFFFAOYSA-N,2.59871618914743,6.27,Aryl methoxy,Chalcones,COc1cc(OC)c(C(=O)CCc2ccccc2)c(OC)c1,COc1cc(OC)c(C(=O)CCc2ccccc2)c(OC)c1,COc1cc(OC)c(C(=O)CCc2ccccc2)c(OC)c1
Aryl methoxy Flavanones,REBBZOCNEVVAPX-UHFFFAOYSA-N,3.21158248437421,6.93,Aryl methoxy,Flavanones,COc1cc(OC)c2c(c1)OC(c1ccc(O)cc1)CC2=O,COc1cc(OC)c2c(c1)OC(c1ccc(O)cc1)CC2=O,COc1cc(OC)c2c(c1)OC(c1ccc(O)cc1)CC2=O
Aryl methoxy Flavans,BJVDGVPUXJNXHR-QGZVFWFLSA-N,2.25215596190237,6.92,Aryl methoxy,Flavans,COc1ccc2c(c1CCO)O[C@@H](c1ccc(O)cc1O)CC2,COc1ccc2c(c1CCO)O[C@@H](c1ccc(O)cc1O)CC2,COc1ccc2c(c1CCO)O[C@@H](c1ccc(O)cc1O)CC2
Aryl methoxy Isoflavanones,BCRQIJDETOPQBA-SJORKVTESA-N,3.37597056155685,6.7,Aryl methoxy,Isoflavanones,COc1cc(O)c2c(c1)O[C@@H]1COc3cc(OC)c(OC)cc3[C@@H]1C2=O,COc1cc(O)c2c(c1)O[C@@H]1COc3cc(OC)c(OC)cc3[C@@H]1C2=O,COc1cc(O)c2c(c1)O[C@@H]1COc3cc(OC)c(OC)cc3[C@@H]1C2=O
Aryl methoxy Isoflavones,TUTSVLUUGMNALO-UHFFFAOYSA-N,2.50833777375099,6.22,Aryl methoxy,Isoflavones,COc1cc(O)cc2occ(-c3ccc(O)cc3O)c(=O)c12,COc1cc(O)cc2occ(-c3ccc(O)cc3O)c(=O)c12,COc1cc(O)cc2occ(-c3ccc(O)cc3O)c(=O)c12
Aryl methoxy Pterocarpan,XCRBPIBUMBLGCZ-FZKQIMNGSA-N,2.7148089065507652,7.97,Aryl methoxy,Pterocarpan,COc1ccc2c(c1)O[C@@H]1c3cc(OC)c(OC)cc3OC[C@H]21,COc1ccc2c(c1)O[C@@H]1c3cc(OC)c(OC)cc3OC[C@H]21,COc1ccc2c(c1)O[C@@H]1c3cc(OC)c(OC)cc3OC[C@H]21
Aryl methoxy Rotenoids,PYRZRPSTTNKOCS-MSOLQXFVSA-N,3.42979843557933,7.82,Aryl methoxy,Rotenoids,COc1ccc2c(c1)O[C@@H]1COc3cc(OC)c(OC)cc3[C@@H]1C2=O,COc1ccc2c(c1)O[C@@H]1COc3cc(OC)c(OC)cc3[C@@H]1C2=O,COc1ccc2c(c1)O[C@@H]1COc3cc(OC)c(OC)cc3[C@@H]1C2=O
Multi-motif Pterocarpan,SHSISVOIQZYVQR-AFMDSPMNSA-N,2.94104286134116,7.005,Multi-motif,Pterocarpan,COc1c(CC=C(C)C)c(O)cc2c1[C@@H]1Oc3c(ccc(O)c3CC=C(C)C)[C@@H]1CO2,COc1c(CC=C(C)C)c(O)cc2c1[C@@H]1Oc3c(ccc(O)c3CC=C(C)C)[C@@H]1CO2,COc1c(CC=C(C)C)c(O)cc2c1[C@@H]1Oc3c(ccc(O)c3CC=C(C)C)[C@@H]1CO2
Multi-motif Rotenoids,ZJMLELXRQUXRIU-HBGVWJBISA-N,2.42375040834839,6.86,Multi-motif,Rotenoids,C=C(CO)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,C=C(CO)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,C=C(CO)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
Prenyl-like 2-arylbenzofurans,SYIDABHGIYOYPG-KEBDBYFISA-N,2.47096093400904,6.485,Prenyl-like,2-arylbenzofurans,CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c(CC=C(C)C)c1-c1cc2ccc(O)cc2o1,CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c(CC=C(C)C)c1-c1cc2ccc(O)cc2o1,CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c(CC=C(C)C)c1-c1cc2ccc(O)cc2o1
Prenyl-like Chalcones,BHDBRCJCCXGBOF-GCFMLEDASA-N,2.41488230587775,7.01,Prenyl-like,Chalcones,CC(C)=CCC/C(C)=C/Cc1c(CCC(=O)c2ccc(O)cc2O)cc(-c2cc(O)c(O)c(C/C=C(\C)CCC=C(C)C)c2CCC(=O)c2ccc(O)cc2O)c(O)c1O,CC(C)=CCC/C(C)=C/Cc1c(CCC(=O)c2ccc(O)cc2O)cc(-c2cc(O)c(O)c(C/C=C(\C)CCC=C(C)C)c2CCC(=O)c2ccc(O)cc2O)c(O)c1O,CC(C)=CCC/C(C)=C/Cc1c(CCC(=O)c2ccc(O)cc2O)cc(-c2cc(O)c(O)c(C/C=C(\C)CCC=C(C)C)c2CCC(=O)c2ccc(O)cc2O)c(O)c1O
Prenyl-like Isoflavones,ZBHUUXLHDOUMKM-REZTVBANSA-N,2.41795935835454,6.17,Prenyl-like,Isoflavones,CC(C)=CCC/C(C)=C/Cc1cc(-c2coc3cc(O)ccc3c2=O)ccc1O,CC(C)=CCC/C(C)=C/Cc1cc(-c2coc3cc(O)ccc3c2=O)ccc1O,CC(C)=CCC/C(C)=C/Cc1cc(-c2coc3cc(O)ccc3c2=O)ccc1O
Simple 2-arylbenzofurans,HMTMYIWMPJSCAZ-UHFFFAOYSA-N,4.5568372135538855,9.01,Simple,2-arylbenzofurans,CC(C)(O)C1Cc2cc3cc(-c4cc(O)cc(O)c4)oc3cc2O1,CC(C)(O)C1Cc2cc3cc(-c4cc(O)cc(O)c4)oc3cc2O1,CC(C)(O)C1Cc2cc3cc(-c4cc(O)cc(O)c4)oc3cc2O1
Simple Flavanones,JXVOAHGNNBAJCD-ZENAZSQFSA-N,2.35683529289588,7,Simple,Flavanones,CC(C)(O)C1Cc2c(ccc3c2O[C@H](c2ccc(O)cc2O)CC3=O)O1,CC(C)(O)C1Cc2c(ccc3c2O[C@H](c2ccc(O)cc2O)CC3=O)O1,CC(C)(O)C1Cc2c(ccc3c2O[C@H](c2ccc(O)cc2O)CC3=O)O1
