Functional_Domain,Motif_Type,N_Compounds,Median_pChEMBL_Descriptive,Standardized_Median,Delta_Standardized_vs_Simple,Delta_pChEMBL_vs_Simple_Descriptive
Cell Signaling and Survival,Aryl methoxy,36,4.91,-0.3295643718275695,-0.3314384741947438,-0.27499999999999947
Cell Signaling and Survival,Prenyl-like,73,5.11,-0.0378985145361953,-0.039772616903369626,-0.07499999999999929
Cell Signaling and Survival,Simple,61,5.185,0.00187410236717433,0,0
Cell Signaling and Survival,Sugar-like,10,4.975,-0.4622430085652455,-0.4641171109324198,-0.20999999999999996
Gene Regulation,Aryl methoxy,14,5.279999999999999,-0.4686076636308905,-0.5643523276579875,-0.22500000000000142
Gene Regulation,Prenyl-like,13,5.18,-0.194356743194967,-0.290101407222064,-0.32500000000000107
Gene Regulation,Simple,24,5.505000000000001,0.095744664027097,0,0
General Assays and Safety,Aryl methoxy,40,4.8,-0.512344608286307,-0.32781643389610804,-0.16999999999999993
General Assays and Safety,Prenyl-like,63,5.44,0.428970573231486,0.613498747621685,0.47000000000000064
General Assays and Safety,Simple,71,4.97,-0.184528174390199,0,0
General Assays and Safety,Sugar-like,7,4.92,-0.34130994712312,-0.15678177273292102,-0.04999999999999982
Infectious Diseases,Aryl methoxy,66,4.855,-0.294056393282978,-0.11107243754287499,-0.07249999999999979
Infectious Diseases,Prenyl-like,57,5.29,0.528827857555395,0.711811813295498,0.3624999999999998
Infectious Diseases,Simple,113,4.9275,-0.182983955740103,0,0
Infectious Diseases,Sugar-like,6,4.5225,-0.8469908731543205,-0.6640069174142176,-0.40500000000000025
Inflammation and Proteolysis,Aryl methoxy,42,4.672499999999999,-0.47242604585231895,-0.18329620489318094,-0.15750000000000064
Inflammation and Proteolysis,Prenyl-like,20,5.1075,-0.11801487369549399,0.17111496726364403,0.27749999999999986
Inflammation and Proteolysis,Simple,67,4.83,-0.289129840959138,0,0
Inflammation and Proteolysis,Sugar-like,6,4.9425,-0.13891877100007569,0.15021106995906233,0.11249999999999982
Metabolic Enzymes,Aryl methoxy,53,5.3,0.13239950928385,0.1795824992744695,0.16000000000000014
Metabolic Enzymes,Prenyl-like,46,5.095000000000001,-0.17182479641603,-0.12464180642541049,-0.04499999999999904
Metabolic Enzymes,Simple,93,5.14,-0.0471829899906195,0,0
Metabolic Enzymes,Sugar-like,10,5.0375,-0.168735009907775,-0.12155201991715552,-0.10250000000000004
Neuroscience Targets,Aryl methoxy,13,5.44,0.731748529218925,0.937298734737415,0.5550000000000006
Neuroscience Targets,Prenyl-like,15,5.445,0.740070119672466,0.9456203251909561,0.5600000000000005
Neuroscience Targets,Simple,48,4.885,-0.20555020551849001,0,0
Phenotypic: Cancer and Cells,Aryl methoxy,156,4.67,-0.302430945078412,0.034481784039588514,-0.03000000000000025
Phenotypic: Cancer and Cells,Prenyl-like,98,4.925,0.14494221113398398,0.4818549402519845,0.22499999999999964
Phenotypic: Cancer and Cells,Simple,108,4.7,-0.3369127291180005,0,0
Phenotypic: Cancer and Cells,Sugar-like,14,4.5775,-0.4455380207814815,-0.108625291663481,-0.1225000000000005
Transporters and Ion Channels,Aryl methoxy,21,4.83,-0.439359104963446,-0.08173697615238196,-0.0987499999999999
Transporters and Ion Channels,Prenyl-like,9,5.655,0.501296467242216,0.85891859605328,0.7262500000000003
Transporters and Ion Channels,Simple,18,4.92875,-0.35762212881106403,0,0
Transporters and Ion Channels,Sugar-like,7,4.85,-0.422256276377889,-0.06463414756682495,-0.07875000000000032
