DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Functional bioactivity domains
COLOR	#000000
FIELD_LABELS	Infectious Diseases	Cell Signaling and Survival	Inflammation and Proteolysis	Phenotypic: Cancer and Cells	Gene Regulation	Metabolic Enzymes	Neuroscience Targets	General Assays and Safety	Transporters and Ion Channels
COLOR_MIN	#F7FBFF
COLOR_MAX	#67000D
COLOR_NAN	#E6E6E6
DATA
Asteraceae	-0.286962662198202	-0.0112919450137275	-0.469338015529612	-0.487706696641122	0.165544753149452	0.090205831506484	-0.183626420670612	-0.486254533319023	-0.387774049562606
Campanulaceae	-1.17582067883445	0.857562538448442	-0.750348774895854	-1.12261506480114	X	-0.260147981941802	-0.891756125620363	-0.115679434132118	-0.588701110961888
Apiaceae	-0.185522570180912	-0.16987360957945	-0.215704064773479	-0.371164412647618	0.095744664027097	0.13239950928385	0.23245310200645	-0.237976506003696	-0.342443076311954
Araliaceae	-0.437909266095035	0.987029181921133	X	0.140423290364162	X	-0.175096025509577	X	1.490186216166	X
Caprifoliaceae	-0.392955243341266	-1.23030871761025	0.521919718058998	-0.293867931549704	-0.297185742150515	1.12962574220445	0.0327349311214599	0.0701904981582145	-0.296835533417134
Viburnaceae	0.151363168919865	-0.169273314944807	0.258308589761884	-0.413619331949992	0.0255830601266223	0.00207872436428096	-0.171556516221735	0.20029981322697	-1.07786470549093
Paracryphiaceae	X	X	X	0.501936951949937	X	X	X	X	X
Aquifoliaceae	-0.392955243341266	-0.170473904214093	0.521919718058998	-0.371164412647618	0.125555698000072	0.923039668699726	X	0.189506730619106	-0.770013790950891
Lamiaceae	0.117345725470441	-0.269905446472517	-0.3090920122403	-0.481689386940059	-0.0543950501721373	-0.076959152703165	-0.347106119936961	-0.113263732238872	-0.397045974953184
Paulowniaceae	-0.144515547899509	-0.428995914085993	0.28414138321064	-0.129458016455985	-0.342887519464092	0.688257696852491	-0.659621777215948	0.155707828739808	-0.770013790950891
Phrymaceae	-0.291629931027547	0.0615330277222282	0.206591360932936	0.185612498062384	X	X	-0.659621777215948	0.12190892686051	X
Acanthaceae	0.0655757887471638	-0.356079449763149	X	0.69625054505229	X	X	X	X	X
Bignoniaceae	0.589290153828557	X	X	-0.926042011313873	X	X	X	0.0862767057848458	X
Verbenaceae	-0.797541448125176	-0.647745307054525	0.06643524545987	-0.332278758093193	0.125555698000072	0.092293969244147	-0.659342989667152	0.189506730619106	-0.67935745095639
Scrophulariaceae	0.301750710504294	-1.2406360238496	-0.389049227139258	-0.471153156469173	-0.719927182301102	0.761687114549034	0.0327349311214599	0.0761770942235241	-0.484966647858269
Plantaginaceae	0.640987279995389	-0.402480836150414	-0.426105591011729	-0.293393103538768	-1.1177151050453	0.691955372759984	0.731748529218925	-0.560815889542073	-1.38571562003096
Gesneriaceae	X	X	0.673233203871589	-0.754323022060631	X	-1.51629995386389	X	0.428970573231486	-1.38571562003096
Calceolariaceae	-1.21244933661509	0.244112774858751	-0.50948240972479	-0.589382413962121	X	0.603456498754632	-0.0671241543210335	-0.474417346782004	-0.588701110961888
Oleaceae	X	X	X	X	X	X	X	X	X
Boraginaceae	X	X	X	-0.203014688142325	X	X	X	X	X
Namaceae	-0.185522570180912	-0.528427456344416	0.521919718058998	-0.754323022060631	-0.10866591073201	0.603456498754632	0.948109881010998	0.189506730619106	-0.770013790950891
Heliotropiaceae	0.0190222283621518	-0.680889154474	0.673233203871589	-0.5238580627997	-0.976999679689971	0.529988496937116	-0.183626420670612	0.243058478517767	-0.891380797492072
Cordiaceae	X	X	X	X	X	0.904409575360965	X	X	X
Rubiaceae	0.0454192890644137	-0.169273314944807	-0.511026424886143	-0.41992288509379	0.065933630054122	-0.0620710713468923	-0.458061677915078	-0.39119505662905	-0.0536215948529225
Apocynaceae	-0.0243322567603712	0.176510937661719	-0.426105591011729	-0.329621046338931	-0.0743895777468273	-0.129034628788761	-0.40397133996706	-0.474417346782004	-0.987208365496424
Gentianaceae	0.519214704726006	-0.101297086027223	-0.386668295777584	-0.329621046338931	-0.0743895777468273	0.00207872436428096	-0.64963548606892	0.20029981322697	X
Loganiaceae	X	X	X	X	X	X	X	X	X
Solanaceae	0.0190222283621518	-0.169273314944807	-0.594403243599204	-0.551125018640714	0.095744664027097	0.190856237509129	-0.133696877949364	-0.393610758522296	-0.397045974953184
Convolvulaceae	-0.168185129572428	0.581891432207978	-0.59285922843785	-0.395543648870704	-0.496079703522616	0.0176583662423043	-0.865996837860992	1.32800790212915	-0.67935745095639
Eucommiaceae	0.151363168919865	-0.169273314944807	-0.768034053019939	-0.456074251252367	X	0.70813582974814	-0.891786571684488	-0.918871805310818	X
