family,Cells: Phenotypic/Other,General Assays and Safety,Enzymes: Phosphatases,Pathogen: Parasite,Pathogen: Bacteria,Cells: Breast Cancer,Pathogen: Virus,Enzymes: General Metabolism,Cells: Colorectal Cancer,Cells: Lung Cancer,Transporters and Ion Channels,Cells: Cervical Cancer,Proteins: Neurodegeneration,Cells: Melanoma,Enzymes: Inflammatory COX/PG,Cells: Liver Cancer,Enzymes: Tyrosinase,Enzymes: Carbohydrate Metabolism,Enzymes: Kinases,Enzymes: Steroid Metabolism,Proteins: Inflammatory Response,Cells: Hematologic Cancer,Enzymes: Proteases,Enzymes: Lipid Metabolism,Cells: Prostate Cancer,Proteins: Growth Factors,Enzymes: Cholinesterase,Receptors: Nuclear,Proteins: NF-kB/TNF Signaling,Enzymes: CYP450
Acanthaceae,0.3333333333333333,0,0,0.3333333333333333,0,0.3333333333333333,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0
Achariaceae,0.3333333333333333,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0.6666666666666666,0,0.6666666666666666,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0.3333333333333333
Actinidiaceae,0.2777777777777778,0.7777777777777778,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.1111111111111111,0.2777777777777778,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.2222222222222222,0,0.5555555555555556,0.05555555555555555,0.2777777777777778,0,0.05555555555555555,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.2777777777777778,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111
Aizoaceae,0.25,0.75,0.125,0.375,0.25,0.125,0.125,0.25,0,0.125,0,0.125,0.5,0.125,0.25,0,0.125,0.375,0.25,0,0.125,0,0.125,0,0.25,0,0,0,0,0.125
Altingiaceae,0.3333333333333333,1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0.3333333333333333,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0
Amaranthaceae,0.42857142857142855,0.14285714285714285,0,0.14285714285714285,0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,0.14285714285714285,0.2857142857142857,0,0,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0,0.14285714285714285
Amaryllidaceae,0.5294117647058824,0.4117647058823529,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.35294117647058826,0.35294117647058826,0.23529411764705882,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.35294117647058826,0.35294117647058826,0.17647058823529413,0.058823529411764705,0.35294117647058826,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.11764705882352941
Anacardiaceae,0.3888888888888889,0.6111111111111112,0.16666666666666666,0.5,0.3888888888888889,0.05555555555555555,0.3888888888888889,0.4444444444444444,0.16666666666666666,0.05555555555555555,0.2222222222222222,0,0.5555555555555556,0.1111111111111111,0.2777777777777778,0,0.05555555555555555,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.1111111111111111,0,0.16666666666666666,0.1111111111111111
Annonaceae,0.3469387755102041,0.3673469387755102,0.10204081632653061,0.3469387755102041,0.1836734693877551,0.10204081632653061,0.20408163265306123,0.1836734693877551,0.10204081632653061,0.12244897959183673,0.1836734693877551,0.04081632653061224,0.20408163265306123,0.14285714285714285,0.08163265306122448,0.02040816326530612,0.08163265306122448,0.08163265306122448,0.14285714285714285,0.12244897959183673,0.12244897959183673,0.04081632653061224,0.08163265306122448,0.04081632653061224,0.10204081632653061,0.12244897959183673,0.02040816326530612,0,0.04081632653061224,0.08163265306122448
Apiaceae,0.38235294117647056,0.6176470588235294,0.11764705882352941,0.14705882352941177,0.2647058823529412,0.058823529411764705,0.47058823529411764,0.3235294117647059,0.14705882352941177,0.029411764705882353,0.23529411764705882,0.058823529411764705,0.2647058823529412,0.058823529411764705,0.17647058823529413,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.23529411764705882,0.14705882352941177,0.08823529411764706,0.08823529411764706,0.23529411764705882,0.11764705882352941,0.14705882352941177,0.08823529411764706,0.058823529411764705,0.058823529411764705,0.08823529411764706,0.11764705882352941
Apocynaceae,0.44,0.6,0.16,0.2,0.36,0.04,0.32,0.24,0.12,0.08,0.16,0.08,0.36,0.16,0.12,0.12,0.12,0.12,0.16,0.12,0.12,0,0.12,0,0.08,0.04,0.04,0.04,0.08,0.08
Aquifoliaceae,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
Araceae,0.5,1,0.5,1,0.5,0,0.5,0,0,0,0,0,1,0,1,0,0.5,1,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0.5
Araliaceae,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Araucariaceae,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Arecaceae,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0,0,0,0,0.5555555555555556,0.1111111111111111,0.2222222222222222,0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0,0.1111111111111111,0,0.1111111111111111,0,0.1111111111111111,0,0,0,0,0.1111111111111111
Aristolochiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asparagaceae,0.5,0.25,0.08333333333333333,0.125,0.16666666666666666,0.16666666666666666,0.125,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.16666666666666666,0.125,0.2916666666666667,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.125,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.25,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125,0.08333333333333333,0
Asphodelaceae,0.6666666666666666,0.4444444444444444,0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.1111111111111111
