DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Structural motif prevalence
COLOR	#000000
FIELD_LABELS	Prenylation	Methoxylation	Glycosylation	Phenolic OH
COLOR_MIN	#FFFFFF
COLOR_MAX	#000000
USER_MIN_VALUE	0
USER_MAX_VALUE	1
COLOR_NAN	#F2D9A6
DATA
Acanthaceae	0	0.923076923076923	0.269230769230769	0.576923076923077
Achariaceae	0	0	0	1
Actinidiaceae	0	0	0.0344827586206897	1
Aizoaceae	0	0.269230769230769	0.115384615384615	1
Altingiaceae	0.25	0	0	1
Amaranthaceae	0	0.696969696969697	0.212121212121212	0.727272727272727
Amaryllidaceae	0.0263157894736842	0.473684210526316	0.118421052631579	0.960526315789474
Anacardiaceae	0	0.2125	0.1375	0.9125
Annonaceae	0.114832535885167	0.574162679425837	0.0478468899521531	0.870813397129187
Apiaceae	0.631067961165049	0.271844660194175	0.058252427184466	1
Apocynaceae	0.0337078651685393	0.337078651685393	0.258426966292135	0.808988764044944
Aquifoliaceae	0.2	0.2	0.4	1
Araceae	0	0	0	1
Araliaceae	0.166666666666667	0.333333333333333	0.916666666666667	0.916666666666667
Araucariaceae	0	0.6	0	0.8
Arecaceae	0	0.488372093023256	0	1
Aristolochiaceae	0	0.461538461538462	0.538461538461538	1
Asparagaceae	0.0379746835443038	0.753164556962025	0.0886075949367089	0.962025316455696
Asphodelaceae	0	0.647058823529412	0.176470588235294	0.941176470588235
Aspleniaceae	0	0	1	1
Asteraceae	0.231843575418994	0.491620111731844	0.322625698324022	0.94413407821229
Athyriaceae	0	1	1	1
Balanophoraceae	0.0930232558139535	0.0930232558139535	0.837209302325582	0.953488372093023
Balsaminaceae	0	1	0	1
Basellaceae	0	0	0	0
Begoniaceae	0	0	0.1875	0.5625
Berberidaceae	0.0833333333333333	0.333333333333333	0.416666666666667	1
Betulaceae	0	0.25	0.208333333333333	0.979166666666667
Bignoniaceae	0	0.478260869565217	0.260869565217391	1
Bixaceae	0	0	0	1
Blechnaceae	0.2	0.4	0.2	1
Bonnetiaceae	0	1	0	1
Boraginaceae	0	0.333333333333333	0.5	1
Brassicaceae	0.215686274509804	0.294117647058824	0.254901960784314	1
Bromeliaceae	0	0.291666666666667	0	1
Burseraceae	0.25	0.2	0.1	1
Cactaceae	0	0	0.4	1
Calceolariaceae	0	0.666666666666667	0	1
Calophyllaceae	0	0.263157894736842	0	1
Campanulaceae	0	0.3	0.5	1
Cannabaceae	0.532467532467532	0.597402597402597	0.025974025974026	1
Capparaceae	0	0	0	1
Caprifoliaceae	0.285714285714286	0.714285714285714	0.285714285714286	1
Caryophyllaceae	0	0.125	0.5625	0.875
Casuarinaceae	0	0	0	1
Celastraceae	0.0175438596491228	0.491228070175439	0.210526315789474	1
Cephalotaxaceae	0	0	0.4	1
Cercidiphyllaceae	0	0	0	1
Chloranthaceae	0	0.833333333333333	0.166666666666667	1
Chrysobalanaceae	0	0.133333333333333	0.0666666666666667	1
Cistaceae	0	0.111111111111111	0.111111111111111	1
Cleomaceae	0	0	0	1
Clusiaceae	0.04	0.184	0.24	0.952
Combretaceae	0.380281690140845	0.450704225352113	0.028169014084507	0.732394366197183
Convolvulaceae	0.333333333333333	0.230769230769231	0.564102564102564	0.846153846153846
Cordiaceae	0	0	0	1
Coriariaceae	0	0	0	1
Cornaceae	0	0	0.4	1
Crassulaceae	0	0.102564102564103	0	1
Cucurbitaceae	0	0.0526315789473684	0.157894736842105	1
Cunoniaceae	0	0	1	1
Cupressaceae	0.04	0.2	0.26	0.9
Cyatheaceae	0	0	0	1
Cycadaceae	0	0.35	0	1
Cynomoriaceae	0	0	0.333333333333333	1
Cyperaceae	0.231884057971014	0.608695652173913	0.0289855072463768	0.927536231884058
Daphniphyllaceae	0	0	1	1
Davalliaceae	0	0	0.357142857142857	1
Dennstaedtiaceae	0	0	0.6	1
Diapensiaceae	0	0	0	1
Didiereaceae	0	0.5	0	1
Dilleniaceae	0	0.142857142857143	0.857142857142857	1
Dioscoreaceae	0.0333333333333333	0.2	0.166666666666667	0.966666666666667
Dipterocarpaceae	0.545454545454545	0.136363636363636	0.0909090909090909	0.909090909090909
Dryopteridaceae	0	0.230769230769231	0.115384615384615	1
Ebenaceae	0	0	0	1
Elaeagnaceae	0	0	0	1
Elatinaceae	0	0	0	1
Ephedraceae	0	0	0	1
Equisetaceae	0	0	0	1
Ericaceae	0.0240963855421687	0.246987951807229	0.421686746987952	0.987951807228916
Eriocaulaceae	0	1	0	0.714285714285714
Erythroxylaceae	0.05	0.25	0.45	0.95
Eucommiaceae	0	0	0.2	1
Euphorbiaceae	0.429906542056075	0.163551401869159	0.219626168224299	0.990654205607477
Eupteleaceae	0	0	0	1
Fabaceae	0.38452357270738	0.495922021086135	0.14979112790929	0.826735627610901
Fagaceae	0.00952380952380952	0.00952380952380952	0.323809523809524	1
Francoaceae	0	0.375	0	1
Gentianaceae	0.2	0.76	0.64	0.64
Geraniaceae	0	0	0.166666666666667	1
Gesneriaceae	0.0909090909090909	0.636363636363636	0	0.909090909090909
Ginkgoaceae	0	0	0	1
Gleicheniaceae	0	0	0	1
Gnetaceae	0	0.416666666666667	0	1
Grossulariaceae	0	0.117647058823529	0.205882352941176	1
Haloragaceae	0	0	0	1
Hamamelidaceae	0	0.05	0	1
Heliotropiaceae	0	0.6875	0.0625	1
Hernandiaceae	1	0	0	1
Humiriaceae	0	1	0	1
Hydrangeaceae	0	0	0.8	1
Hypericaceae	0.0961538461538462	0.192307692307692	0.403846153846154	1
Iridaceae	0	0.810344827586207	0.442528735632184	0.867816091954023
Juglandaceae	0	0	0	1
Krameriaceae	0	0.793103448275862	0	0.724137931034483
Lamiaceae	0.0265151515151515	0.621212121212121	0.321969696969697	0.954545454545455
Lardizabalaceae	0	0	0	1
Lauraceae	0.224066390041494	0.315352697095436	0.0580912863070539	0.796680497925311
Lecythidaceae	0	0	0	1
Loganiaceae	0	1	0	1
Loranthaceae	0	0	0.307692307692308	1
Lycopodiaceae	0	0	0	0
Lythraceae	0	0.114285714285714	0.285714285714286	1
Malpighiaceae	0	0.0666666666666667	0.2	1
Malvaceae	0	0.155844155844156	0.311688311688312	0.948051948051948
Marcgraviaceae	0	0	1	1
Melanthiaceae	0	0.333333333333333	0.833333333333333	1
Melastomataceae	0	0.407407407407407	0.444444444444444	0.925925925925926
Meliaceae	0.221238938053097	0.371681415929204	0.0530973451327434	0.884955752212389
Menispermaceae	0	1	0	0
Molluginaceae	0	0	1	1
Moraceae	0.616532721010333	0.119402985074627	0.0665901262916188	0.982778415614236
Muntingiaceae	0	0.739130434782609	0	0.934782608695652
Musaceae	0	0.0952380952380952	0.0952380952380952	0.904761904761905
Myricaceae	0.0208333333333333	0.291666666666667	0	0.916666666666667
Myristicaceae	0	0.666666666666667	0.101010101010101	0.94949494949495
Myrtaceae	0.142105263157895	0.347368421052632	0.168421052631579	0.926315789473684
Namaceae	0	0.714285714285714	0	1
Nelumbonaceae	0	0	0	1
Nothofagaceae	0	0.666666666666667	0.333333333333333	1
Nyctaginaceae	0	0.558823529411765	0	0.941176470588235
Nymphaeaceae	0	0	0.75	1
