DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Standardized physicochemical properties
COLOR	#000000
FIELD_LABELS	MW (z)	LogP (z)	TPSA (z)
COLOR_MIN	#2166AC
COLOR_MAX	#B2182B
USE_MID_COLOR	1
COLOR_MID	#FFFFFF
USER_MIN_VALUE	-2
USER_MID_VALUE	0
USER_MAX_VALUE	2
COLOR_NAN	#F2D9A6
DATA
Acanthaceae	-0.597201577913305	0.565374444732889	-1.21335029472871
Achariaceae	-1.06559774318766	-0.471773225616025	-0.561053511582884
Actinidiaceae	0.39005686317335	0.164997652637436	0.670113746550629
Aizoaceae	-0.701588839844502	0.22763085377712	-0.561053511582884
Altingiaceae	0.460292042063763	0.331094559457233	0.026709118229711
Amaranthaceae	-0.857585233348484	0.214879579705434	-0.972909949908726
Amaryllidaceae	-1.22121312968003	0.556851572425906	-1.46717289235449
Anacardiaceae	0.8414029646781	0.270938937476554	0.233781872172076
Annonaceae	-0.735740922885285	0.57105635960421	-1.00407651236434
Apiaceae	-0.0418751992397594	1.26008764091832	-0.810386011227772
Apocynaceae	0.702430657192926	0.352368705835902	0.74582912426765
Aquifoliaceae	-1.08267378470805	-0.0530293133551375	-0.616695510091207
Araceae	-1.06559774318766	-0.471773225616025	-0.561053511582884
Araliaceae	0.442428008769358	-1.56805245189323	0.776995686723261
Araucariaceae	-0.874661274868876	0.48477053609321	-1.48513328427806
Arecaceae	1.08471057859289	1.00117731536326	-0.616695510091207
Aristolochiaceae	1.5864968128848	-2	2
Asparagaceae	-0.857204226336873	0.266479294990343	-1.00407651236434
Asphodelaceae	-0.978667529788462	0.368027006120823	-1.15101716981749
Aspleniaceae	1.44790551241124	-2	1.45825800390269
Asteraceae	-0.458662232941325	0.170679567508758	-0.616695510091207
Athyriaceae	1.58644485738322	-2	1.62078194258364
Balanophoraceae	2	-0.524562178897257	2
Balsaminaceae	0.251517518201369	0.496728984834015	-0.078235916931555
Basellaceae	-0.647667688451257	2	-2
Begoniaceae	0.807666525649984	0.485497292646519	-0.0266438107197248
Berberidaceae	0.242966508565778	-0.347398751833898	0.264772352353926
Betulaceae	-0.953053467507874	-0.166304232504915	-0.410767290928286
Bignoniaceae	0.598450380024132	0.365186048685162	0.258257308224787
Bixaceae	-1.22159413669164	0.164997652637436	-0.972909949908726
Blechnaceae	-0.190108574882165	-0.0997729734883936	0.026709118229711
Bonnetiaceae	-1.10013083324005	0.365186048685162	-1.16660045104529
Boraginaceae	0.0438860153738095	-1.30998780669111	0.0645668070882216
Brassicaceae	-0.82305214329609	-0.509300291277777	-0.260481070273687
Bromeliaceae	0.251517518201369	0.282137595275264	0.614471748042306
Burseraceae	-0.82305214329609	-0.0295088285389689	-0.616695510091207
Cactaceae	-0.875245774261689	-0.806741927913706	-0.0823738503649273
Calceolariaceae	-1.10013083324005	0.365186048685162	-1.16660045104529
Calophyllaceae	-0.857585233348484	0.603892542058243	-0.561053511582884
Campanulaceae	0.962433305616495	-1.23397567809279	1.10204356408517
Cannabaceae	-0.371732019542131	0.760739820017749	-0.810386011227772
Capparaceae	-1.13486741567365	-0.374519985027823	-0.739160731491644
Caprifoliaceae	-0.0426372132629819	-0.0295088285389689	-0.616695510091207
Caryophyllaceae	0.806246408606706	-1.70184172647958	1.12422993057899
Casuarinaceae	-0.927058398215676	-0.66627970679243	-0.204839071765364
Celastraceae	-0.267725764622545	-0.27726674443962	0.0957333695438327
Cephalotaxaceae	-1.06559774318766	-0.514982206149099	-0.561053511582884
Cercidiphyllaceae	-0.944515446747678	-0.709488687325504	-0.260481070273687
Chloranthaceae	-0.96993900552246	0.565374444732889	-1.32912438972625
Chrysobalanaceae	-1.06559774318766	-0.224015309715374	-0.561053511582884
Cistaceae	-1.06559774318766	-0.471773225616025	-0.561053511582884
Cleomaceae	-1.36013348166362	0.359504133813841	-1.32912438972625
Clusiaceae	1.25702099959404	0.755256111479148	0.915044189351504
Combretaceae	-0.0593322477717623	0.803089906442367	-0.561053511582884
Convolvulaceae	0.182425360345789	-1.50449428786751	0.489629415946102
Cordiaceae	0.997399358182084	1.79815176547696	0.39630581085303
Coriariaceae	-1.22159413669164	0.164997652637436	-0.972909949908726
Cornaceae	0.320964705317769	-0.66627970679243	0.776995686723261
Crassulaceae	0.580993331492129	0.39868291891493	0.614471748042306
Cucurbitaceae	1.43047444163003	0.0964843302937092	1.05291660970599
Cunoniaceae	0.199501401866181	-1.72476759229759	0.776995686723261
Cupressaceae	0.199501401866181	0.189938616171435	0.420781246905741
Cyatheaceae	1.30883362354803	1.56274871098256	1.16199957830062
Cycadaceae	1.10102460609006	2	0.302718082349317
Cynomoriaceae	0.19115388461179	-0.471773225616025	0.517626497474024
Cyperaceae	-0.840128184816481	0.514977181199818	-0.972909949908726
Daphniphyllaceae	0.164968311813786	-1.75225220376817	0.489629415946102
Davalliaceae	1.05791885827641	-0.402929559384431	1.38254262618567
Dennstaedtiaceae	1.30936616743926	-1.83094011785821	1.10204356408517
Diapensiaceae	-1.06559774318766	-0.471773225616025	-0.561053511582884
Didiereaceae	-0.510855863906923	0.0437218045235064	-0.276064351501493
Dilleniaceae	0.459504050289749	-2	1.13321012654078
Dioscoreaceae	2	0.485497292646519	2
Dipterocarpaceae	-0.371732019542131	1.13766219607461	-0.810386011227772
Dryopteridaceae	0.338421753849772	0.772724696269583	1.02632818636815
Ebenaceae	0.320787190687359	0.485497292646519	0.614471748042306
Elaeagnaceae	-0.996328070701665	-0.569026466204228	-0.382946291674124
Elatinaceae	-0.996328070701665	-0.569026466204228	-0.382946291674124
Ephedraceae	0.0351704799832038	0.560914802246677	-0.0423151330844102
Equisetaceae	-1.08305479171966	-0.514982206149099	-0.616695510091207
Ericaceae	0.251517518201369	-0.471773225616025	0.614471748042306
Eriocaulaceae	-0.719045888376504	0.420749890624482	-0.772704404643022
Erythroxylaceae	0.190963381105985	-0.471773225616025	0.448602246159902
Eucommiaceae	0.338447731600564	0.285771378041807	0.258257308224787
Euphorbiaceae	0.381709345918959	1.16177729988894	-0.397473079259367
Eupteleaceae	-1.06559774318766	-0.471773225616025	-0.561053511582884
Fabaceae	-0.163719509702959	0.888186491957044	-0.866380174283615
Fagaceae	1.43047444163003	0.0964843302937092	1.38254262618567
Francoaceae	-1.15194345719404	0.30109933443886	-1.15101716981749
Gentianaceae	0.356666794155789	-0.860720119191261	-0.267172196676587
Geraniaceae	0.797721376721906	0.156144436442586	0.476423245414064
Gesneriaceae	-0.978667529788462	0.455601170794507	-0.92624814736219
Ginkgoaceae	-1.06559774318766	-0.471773225616025	-0.561053511582884
Gleicheniaceae	2	1.50414570527486	2
Gnetaceae	0.754853758290518	1.29675581247161	-0.0423151330844102
Grossulariaceae	1.43047444163003	0.14134503026612	1.38254262618567
Haloragaceae	0.251517518201369	0.176691826267947	0.614471748042306
Hamamelidaceae	1.56901378660201	0.485497292646519	1.73875706600319
Heliotropiaceae	-1.10013083324005	0.365186048685162	-1.00407651236434
Hernandiaceae	0.0966641457322203	2	-0.616695510091207
Humiriaceae	0.373171325158764	0.109797188974771	0.395161276073587
Hydrangeaceae	0.182425360345789	-1.50449428786751	0.420781246905741
Hypericaceae	0.329693229583771	-0.471773225616025	0.695733717382784
Iridaceae	-0.441586191420933	-0.120287328924968	-0.400906683597697
Juglandaceae	1.56901378660201	-0.0178146549084581	1.73875706600319
Krameriaceae	-1.01320061984086	1.70347520721412	-1.59201522445069
Lamiaceae	-0.580125536392913	0.164997652637436	-0.616695510091207
Lardizabalaceae	-1.36013348166362	0.324884094365323	-1.23227913915796
Lauraceae	-0.0589512407601513	0.690640847012258	-1.02855194841705
Lecythidaceae	-0.337770440007153	-0.244793940262242	0.204816338138471
Loganiaceae	0.286838600027778	1.89058198530229	-0.634655902014779
Loranthaceae	0.39005686317335	-0.471773225616025	0.970686187859826
Lycopodiaceae	-1.02172132210052	0.470763955247627	-1.68393017135368
Lythraceae	0.164968311813786	-0.471773225616025	0.614471748042306
