DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Motifs and physicochemical properties
COLOR	#000000
FIELD_LABELS	Prenyl	Methoxy	Sugar	Phenolic	MW_z	LogP_z	TPSA_z
COLOR_MIN	#2166AC
COLOR_MAX	#B2182B
COLOR_NAN	#E6E6E6
DATA
Acanthaceae	0	1	0.227272727272727	0.590909090909091	-0.677883175555536	0.548395043192488	-1.23320759511702
Achariaceae	0	0	0	1	-1.08444423217814	-0.474413201432644	-0.580386651604604
Actinidiaceae	0	0	0.0344827586206897	1	0.367270241785258	0.153553791923008	0.65176992473196
Aizoaceae	0	0.269230769230769	0.115384615384615	1	-0.721420619759638	0.215321037171105	-0.580386651604604
Altingiaceae	0.25	0	0	1	0.437315309709383	0.31735427141005	0.00784828143479106
Amaranthaceae	0	0.696969696969697	0.212121212121212	0.727272727272727	-0.876994765814762	0.202746060026714	-0.992574041772112
Amaryllidaceae	0.0289855072463768	0.463768115942029	0.0869565217391304	0.956521739130435	-1.23963840252266	0.542791685501205	-1.48723415472645
Anacardiaceae	0	0.215189873417722	0.139240506329114	0.911392405063291	0.817394650046775	0.165086283915532	0.215087431001696
Annonaceae	0.121693121693122	0.613756613756614	0.0476190476190476	0.862433862433862	-0.859204993909486	0.625017701854684	-1.04826075202989
Apiaceae	0.631067961165049	0.271844660194175	0.058252427184466	1	-0.0634926768589624	1.23350325393483	-0.829919505164754
Apocynaceae	0.0337078651685393	0.337078651685393	0.258426966292135	0.808988764044944	0.678798509606104	0.338334285091365	0.727546144386525
Aquifoliaceae	0.2	0.2	0.4	1	-1.10147405266222	-0.0614587706494814	-0.636073361862377
Araceae	0	0	0	1	-1.08444423217814	-0.474413201432644	-0.580386651604604
Araliaceae	0.166666666666667	0.333333333333333	0.916666666666667	0.916666666666667	0.419499630369293	-1.55553545924032	0.758737751081544
Araucariaceae	0	0.6	0	0.8	-0.894024586298842	0.468905550362659	-1.50520897892358
Arecaceae	0	0.51219512195122	0	1	1.0600436845101	1.41365771924179	-0.580386651604604
Aristolochiaceae	0	0.461538461538462	0.538461538461538	1	1.56047169536785	-3.20754864833894	1.99089432741811
Asparagaceae	0.0382165605095541	0.751592356687898	0.089171974522293	0.961783439490446	-0.876614790104164	0.230176450585204	-1.02376564846713
Asphodelaceae	0	0.647058823529412	0.176470588235294	0.941176470588235	-0.99774931948053	0.35377609640339	-1.17082438172698
Aspleniaceae	0	0	1	1	1.42225553063778	-2.24096944659261	1.440547504206
Asteraceae	0.244929797191888	0.46801872074883	0.333853354134165	0.946957878315132	-0.392836624019898	0.153553791923008	-0.612635600899454
Athyriaceae	0	1	1	1	1.56041988049822	-2.48849451483894	1.60320204081335
Balanophoraceae	0.0930232558139535	0.0930232558139535	0.837209302325582	0.953488372093023	2.63210682899386	-0.526472303703983	2.15354886402547
Balsaminaceae	0	1	0	1	0.229105891924812	0.48069866364315	-0.0971810834817692
Basellaceae	0	0	0	0	-0.667645420898397	3.20855652946813	-2.36289005115328
Begoniaceae	0	0	0.1875	0.5625	0.783749528035631	0.469622258904567	-0.0455475198566819
Berberidaceae	0.0833333333333333	0.333333333333333	0.416666666666667	1	0.220578027965366	-0.351758307783338	0.246102813930076
Betulaceae	0	0.222222222222222	0.222222222222222	1	-0.946279882317691	-0.319604156380452	-0.223885971694868
Bignoniaceae	0	0.478260869565217	0.260869565217391	1	0.57509968385923	0.350974417557748	0.239582534564451
Bixaceae	0	0	0	1	-1.24001837823326	0.153553791923008	-0.992574041772112
Blechnaceae	0.2	0.4	0.2	1	-0.21132481781065	-0.107556160958583	0.00784828143479106
Bonnetiaceae	0	1	0	1	-1.11888384885689	0.350974417557748	-1.18642018507449
Boraginaceae	0	0.333333333333333	0.5	1	0.0220364012720367	-1.30103877154088	0.0457363912620739
Brassicaceae	0	0.2	0.05	1	-0.95498478041503	-0.0382634760204492	-0.404515332499356
Bromeliaceae	0	0.227272727272727	0	1	0.298188066855035	0.170363864996857	0.774333554429053
Burseraceae	0.3125	0.125	0.125	1	-0.522296075783005	0.153553791923008	-0.732996433513566
Cactaceae	0	0	0.4	1	-0.894607503582147	-0.804750683930378	-0.101322341997775
Calceolariaceae	0	0.666666666666667	0	1	-1.11888384885689	0.350974417557748	-1.18642018507449
Calophyllaceae	0	0	0	1	1.07631355357299	1.2580016550037	0.609299996972075
Campanulaceae	0	0	0.285714285714286	1	-0.946279882317691	-0.708842049958649	-0.223885971694868
Cannabaceae	0.532467532467532	0.597402597402597	0.025974025974026	1	-0.3924566483093	0.741059330321837	-0.829919505164754
Caprifoliaceae	0.333333333333333	1	0.666666666666667	1	1.68155440987459	-2.23536608890133	1.60320204081335
Caryophyllaceae	0	0.142857142857143	0.642857142857143	0.857142857142857	1.16257667569037	-1.93128620116624	1.5787069372506
Casuarinaceae	0	0	0	1	-0.946279882317691	-0.666230469376101	-0.223885971694868
Celastraceae	0.0175438596491228	0.491228070175439	0.210526315789474	1	-0.288731915127614	-0.282595933489187	0.076927997957093
Cephalotaxaceae	0	0	0.4	1	-1.08444423217814	-0.517024782015192	-0.580386651604604
Cercidiphyllaceae	0	0	0	1	-0.963689678512369	-0.708842049958649	-0.279572681952642
Chloranthaceae	0	0.833333333333333	0.166666666666667	1	-0.989044421383191	0.548395043192488	-1.34907472168185
Chrysobalanaceae	0	0.133333333333333	0.0666666666666667	1	-1.08444423217814	-0.230080743963906	-0.580386651604604
Cistaceae	0	0.111111111111111	0.111111111111111	1	-1.08444423217814	-0.474413201432644	-0.580386651604604
Cleomaceae	0	0	0	1	-1.37818272809371	0.345371059866465	-1.34907472168185
Clusiaceae	0.0413223140495868	0.190082644628099	0.247933884297521	0.950413223140496	1.23188769962811	0.711869746069572	0.896897184126148
Combretaceae	0.380281690140845	0.450704225352113	0.028169014084507	0.732394366197183	-0.0809024730536408	0.782823891718493	-0.580386651604604
Convolvulaceae	0.333333333333333	0.230769230769231	0.564102564102564	0.846153846153846	0.160200751132482	-1.49285603948434	0.471140563927472
Cordiaceae	0	0	0	1	0.972968796101899	1.76412819623494	0.377741967609054
Coriariaceae	0	0	0	1	-1.24001837823326	0.153553791923008	-0.992574041772112
Cornaceae	0	0	0.4	1	0.298365100992928	-0.666230469376101	0.758737751081544
Crassulaceae	0	0.102564102564103	0	1	0.557689887664552	0.384008165807521	0.596083214474186
Cucurbitaceae	0	0.0526315789473684	0.157894736842105	1	1.40487164187791	0.085987723017653	1.03488039340411
Cunoniaceae	0	0	1	1	0.177230571616562	-1.71008388300454	0.758737751081544
Cupressaceae	0.0465116279069767	0.116279069767442	0.255813953488372	0.883720930232558	0.177230571616562	0.153553791923008	0.402237071171809
Cyatheaceae	0	0	0	1	1.28356007836366	1.53197978397865	1.14405101683668
Cycadaceae	0	0.35	0	1	1.07631355357299	1.99533185632236	0.284079035640678
Cynomoriaceae	0	0	0.333333333333333	1	0.168905649229821	-0.474413201432644	0.499160142822997
Cyperaceae	0.307692307692308	0.634615384615385	0.0384615384615385	0.923076923076923	-0.859204993909486	0.646851250254091	-1.00816984511962
Daphniphyllaceae	0	0	1	1	0.142790954937804	-1.73718849695307	0.471140563927472
Davalliaceae	0	0	0.454545454545454	1	1.21909806264184	-0.00239547126403847	1.37675450068285
Dennstaedtiaceae	0	0	0.6	1	1.28409118077733	-1.81478848544514	1.08404682429626
Diapensiaceae	0	0	0	1	-1.08444423217814	-0.474413201432644	-0.580386651604604
Didiereaceae	0	0.5	0	1	-0.53120391545305	0.0339546828751106	-0.295168485300152
Dilleniaceae	0	0.142857142857143	0.857142857142857	1	0.436529450853373	-2.35525188136599	1.11523843099128
Dioscoreaceae	0.0333333333333333	0.2	0.166666666666667	0.966666666666667	3.73858746244403	0.469622258904567	3.16057957848131
Dipterocarpaceae	0.545454545454545	0.136363636363636	0.0909090909090909	0.909090909090909	-0.3924566483093	1.11277044228428	-0.829919505164754
Dryopteridaceae	0	0.230769230769231	0.115384615384615	1	0.315774897187606	0.752878505731124	1.00827060464169
