family,MW (z),LogP (z),TPSA (z)
Acanthaceae,-0.5972015779133047,0.5653744447328887,-1.2133502947287083
Achariaceae,-1.0655977431876555,-0.4717732256160252,-0.5610535115828844
Actinidiaceae,0.3900568631733495,0.16499765263743593,0.6701137465506292
Aizoaceae,-0.7015888398445016,0.22763085377712047,-0.5610535115828844
Altingiaceae,0.4602920420637632,0.3310945594572326,0.02670911822971099
Amaranthaceae,-0.8575852333484842,0.2148795797054337,-0.9729099499087265
Amaryllidaceae,-1.221213129680027,0.5568515724259064,-1.4671728923544889
Anacardiaceae,0.8414029646781005,0.27093893747655434,0.2337818721720757
Annonaceae,-0.7357409228852849,0.5710563596042103,-1.0040765123643374
Apiaceae,-0.04187519923975941,1.2600876409183155,-0.8103860112277721
Apocynaceae,0.7024306571929262,0.35236870583590185,0.7458291242676499
Aquifoliaceae,-1.0826737847080474,-0.053029313355137456,-0.6166955100912067
Araceae,-1.0655977431876555,-0.4717732256160252,-0.5610535115828844
Araliaceae,0.4424280087693577,-1.568052451893228,0.776995686723261
Araucariaceae,-0.8746612748688756,0.48477053609321014,-1.4851332842780613
Arecaceae,1.0847105785928886,1.0011773153632562,-0.6166955100912067
Aristolochiaceae,1.5864968128848,-2,2
Asparagaceae,-0.8572042263368732,0.26647929499034273,-1.0040765123643374
Asphodelaceae,-0.9786675297884615,0.36802700612082323,-1.1510171698174863
Aspleniaceae,1.4479055124112368,-2,1.4582580039026893
Asteraceae,-0.4586622329413246,0.17067956750875748,-0.6166955100912067
Athyriaceae,1.586444857383217,-2,1.6207819425836436
Balanophoraceae,2,-0.5245621788972574,2
Balsaminaceae,0.2515175182013693,0.4967289848340149,-0.07823591693155495
Basellaceae,-0.6476676884512569,2,-2
Begoniaceae,0.807666525649984,0.48549729264651875,-0.02664381071972475
Berberidaceae,0.2429665085657781,-0.3473987518338981,0.264772352353926
Betulaceae,-0.9530534675078745,-0.1663042325049154,-0.41076729092828557
Bignoniaceae,0.5984503800241319,0.3651860486851623,0.2582573082247869
Bixaceae,-1.2215941366916385,0.16499765263743593,-0.9729099499087265
Blechnaceae,-0.19010857488216484,-0.09977297348839362,0.02670911822971099
Bonnetiaceae,-1.10013083324005,0.3651860486851623,-1.1666004510452919
Boraginaceae,0.04388601537380951,-1.3099878066911101,0.06456680708822159
Brassicaceae,-0.82305214329609,-0.5093002912777772,-0.260481070273687
Bromeliaceae,0.2515175182013693,0.28213759527526383,0.6144717480423064
Burseraceae,-0.82305214329609,-0.02950882853896889,-0.6166955100912067
Cactaceae,-0.8752457742616887,-0.8067419279137061,-0.08237385036492727
Calceolariaceae,-1.10013083324005,0.3651860486851623,-1.1666004510452919
Calophyllaceae,-0.8575852333484842,0.6038925420582433,-0.5610535115828844
Campanulaceae,0.9624333056164946,-1.2339756780927902,1.1020435640851698
Cannabaceae,-0.37173201954213053,0.7607398200177491,-0.8103860112277721
Capparaceae,-1.1348674156736456,-0.3745199850278228,-0.7391607314916442
Caprifoliaceae,-0.04263721326298194,-0.02950882853896889,-0.6166955100912067
Caryophyllaceae,0.806246408606706,-1.70184172647958,1.1242299305789945
Casuarinaceae,-0.9270583982156758,-0.66627970679243,-0.20483907176536442
Celastraceae,-0.2677257646225451,-0.2772667444396204,0.09573336954383273
Cephalotaxaceae,-1.0655977431876555,-0.514982206149099,-0.5610535115828844
Cercidiphyllaceae,-0.9445154467476783,-0.7094886873255037,-0.260481070273687
Chloranthaceae,-0.9699390055224603,0.5653744447328887,-1.329124389726246
Chrysobalanaceae,-1.0655977431876555,-0.2240153097153737,-0.5610535115828844
Cistaceae,-1.0655977431876555,-0.4717732256160252,-0.5610535115828844
Cleomaceae,-1.3601334816636184,0.3595041338138407,-1.329124389726246
Clusiaceae,1.2570209995940405,0.7552561114791482,0.915044189351504
Combretaceae,-0.059332247771762305,0.8030899064423671,-0.5610535115828844
Convolvulaceae,0.1824253603457892,-1.5044942878675145,0.48962941594610243
Cordiaceae,0.9973993581820836,1.798151765476964,0.39630581085302985
Coriariaceae,-1.2215941366916385,0.16499765263743593,-0.9729099499087265
Cornaceae,0.3209647053177694,-0.66627970679243,0.776995686723261
Crassulaceae,0.5809933314921294,0.39868291891493035,0.6144717480423064
Cucurbitaceae,1.4304744416300255,0.09648433029370915,1.052916609705986
Cunoniaceae,0.19950140186618107,-1.724767592297587,0.776995686723261
Cupressaceae,0.19950140186618107,0.18993861617143482,0.42078124690574104
Cyatheaceae,1.3088336235480282,1.5627487109825584,1.161999578300625
Cycadaceae,1.101024606090058,2,0.30271808234931674
Cynomoriaceae,0.1911538846117904,-0.4717732256160252,0.5176264974740237
Cyperaceae,-0.8401281848164813,0.5149771811998177,-0.9729099499087265
Daphniphyllaceae,0.1649683118137863,-1.7522522037681658,0.48962941594610243
Davalliaceae,1.0579188582764116,-0.4029295593844308,1.3825426261856681
Dennstaedtiaceae,1.3093661674392567,-1.8309401178582132,1.1020435640851698
Diapensiaceae,-1.0655977431876555,-0.4717732256160252,-0.5610535115828844
Didiereaceae,-0.5108558639069233,0.04372180452350638,-0.27606435150149256
Dilleniaceae,0.45950405028974906,-2,1.1332101265407806
Dioscoreaceae,2,0.48549729264651875,2
Dipterocarpaceae,-0.37173201954213053,1.137662196074607,-0.8103860112277721
Dryopteridaceae,0.3384217538497718,0.7727246962695832,1.0263281863681486
Ebenaceae,0.3207871906873594,0.48549729264651875,0.6144717480423064
Elaeagnaceae,-0.9963280707016654,-0.5690264662042276,-0.3829462916741244
Elatinaceae,-0.9963280707016654,-0.5690264662042276,-0.3829462916741244
Ephedraceae,0.03517047998320384,0.5609148022466771,-0.04231513308441025
Equisetaceae,-1.0830547917196585,-0.514982206149099,-0.6166955100912067
Ericaceae,0.2515175182013693,-0.4717732256160252,0.6144717480423064
Eriocaulaceae,-0.7190458883765045,0.42074989062448165,-0.772704404643022
Erythroxylaceae,0.1909633811059849,-0.4717732256160252,0.44860224615990246
Eucommiaceae,0.33844773160056385,0.28577137804180675,0.2582573082247869
Euphorbiaceae,0.38170934591895933,1.1617772998889373,-0.39747307925936687
Eupteleaceae,-1.0655977431876555,-0.4717732256160252,-0.5610535115828844
Fabaceae,-0.16371950970295923,0.8881864919570441,-0.8663801742836154
Fagaceae,1.4304744416300255,0.09648433029370915,1.3825426261856681
Francoaceae,-1.151943457194037,0.30109933443886044,-1.1510171698174863
Gentianaceae,0.3566667941557888,-0.8607201191912613,-0.2671721966765867
Geraniaceae,0.79772137672190635,0.15614443644258608,0.4764232454140639
Gesneriaceae,-0.9786675297884615,0.4556011707945067,-0.9262481473621902
Ginkgoaceae,-1.0655977431876555,-0.4717732256160252,-0.5610535115828844
Gleicheniaceae,2,1.504145705274864,2
Gnetaceae,0.7548537582905175,1.296755812471612,-0.04231513308441025
Grossulariaceae,1.4304744416300255,0.14134503026612036,1.3825426261856681
Haloragaceae,0.2515175182013693,0.17669182626794672,0.6144717480423064
Hamamelidaceae,1.5690137866020057,0.48549729264651875,1.7387570660031881
Heliotropiaceae,-1.10013083324005,0.3651860486851623,-1.0040765123643374
Hernandiaceae,0.09666414573222028,2,-0.6166955100912067
Humiriaceae,0.3731713251587636,0.1097971889747706,0.3951612760735866
Hydrangeaceae,0.1824253603457892,-1.5044942878675145,0.42078124690574104
Hypericaceae,0.32969322958377056,-0.4717732256160252,0.6957337173827837
Iridaceae,-0.4415861914209332,-0.12028732892496759,-0.400906683597697
Juglandaceae,1.5690137866020057,-0.017814654908458107,1.7387570660031881
Krameriaceae,-1.0132006198408559,1.7034752072141215,-1.5920152244506933
Lamiaceae,-0.5801255363929133,0.16499765263743593,-0.6166955100912067
Lardizabalaceae,-1.3601334816636184,0.324884094365323,-1.2322791391579633
Lauraceae,-0.058951240760151284,0.690640847012258,-1.0285519484170489
Lecythidaceae,-0.3377704400071533,-0.24479394026224166,0.20481633813847097
Loganiaceae,0.28683860002777767,1.8905819853022934,-0.6346559020147791
Loranthaceae,0.3900568631733495,-0.4717732256160252,0.9706861878598263
Lycopodiaceae,-1.0217213221005237,0.4707639552476267,-1.6839301713536816
Lythraceae,0.1649683118137863,-0.4717732256160252,0.6144717480423064
Malpighiaceae,0.3209647053177694,0.19565356543154305,0.776995686723261
Malvaceae,0.3904378701849605,0.11630496356576114,0.776995686723261
Marcgraviaceae,0.19950140186618107,-1.724767592297587,0.776995686723261
Melanthiaceae,-0.07757728807777928,-1.0347452793198797,0.1890569746369048
Melastomataceae,1.6908321193144134,0.437201016240285,1.3825426261856681
Meliaceae,-0.631734667965699,0.5234207709737118,-0.8103860112277721
Menispermaceae,-0.6146586264453077,0.5774650310288405,-1.253409012009225
Molluginaceae,0.30350765678576647,-1.6548007568472427,0.845843855763622
Moraceae,0.07920709720021739,1.7151033120670656,-0.6478620725468176
Muntingiaceae,-1.0826737847080474,0.5596925298615671,-1.329124389726246
Musaceae,1.4304744416300255,0.17669182626794672,1.3825426261856681
Myricaceae,-0.8059761017756986,0.6942217747567422,0.09573336954383273
Myristicaceae,-0.7357409228852849,0.6095744569295649,-0.9484345138560151
Myrtaceae,-0.5755491226284473,0.4487630523156488,-0.6723375085995291
Namaceae,-0.9615914882680702,0.17352052494441841,-0.8916479805682491
Nelumbonaceae,-0.9445154467476783,-0.4717732256160252,-0.260481070273687
Nothofagaceae,-1.10013083324005,0.3651860486851623,-1.1666004510452919
Nyctaginaceae,-0.7363124334027015,0.205709233378231,-0.6478620725468176
Nymphaeaceae,0.1824253603457892,-1.044259183290464,0.5965113561187343
Ochnaceae,0.9799423096500801,1.8774012641763853,0.0679123702896713
Olacaceae,-0.9355964189758715,-0.46893226818036443,-0.47979154224240705
Oleaceae,-0.06012023954577639,-1.4943857648987677,0.39630581085302985
Onagraceae,0.4507755260237479,-1.7089110856799457,1.1332101265407806
Onocleaceae,0.3038886637973775,-0.7866305920203306,0.6144717480423064
Ophioglossaceae,-0.631734667965699,1.1319802812032853,-0.9729099499087265
Orchidaceae,0.06175004866821498,0.7598809259092935,-0.841552573683383
