DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Structural motif prevalence
COLOR	#000000
FIELD_COLORS	#636363	#21908C	#FDE725	#440154	#D95F02
FIELD_LABELS	Phenolic	Methoxy	Prenyl	Sugar	Enone
DATA
Acanthaceae	0.59091	1.00000	0.00000	0.22727	0.18182
Achariaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Actinidiaceae	1.00000	0.00000	0.00000	0.03448	0.00000
Aizoaceae	1.00000	0.26923	0.00000	0.11538	0.26923
Altingiaceae	1.00000	0.00000	0.25000	0.00000	0.00000
Amaranthaceae	0.72727	0.69697	0.00000	0.21212	0.00000
Amaryllidaceae	0.95652	0.46377	0.02899	0.08696	0.07246
Anacardiaceae	0.91139	0.21519	0.00000	0.13924	0.34177
Annonaceae	0.86243	0.61376	0.12169	0.04762	0.31217
Apiaceae	1.00000	0.27184	0.63107	0.05825	0.48544
Apocynaceae	0.80899	0.33708	0.03371	0.25843	0.03371
Aquifoliaceae	1.00000	0.20000	0.20000	0.40000	0.20000
Araceae	1.00000	0.00000	0.00000	0.00000	0.00000
Araliaceae	0.91667	0.33333	0.16667	0.91667	0.33333
Araucariaceae	0.80000	0.60000	0.00000	0.00000	0.40000
Arecaceae	1.00000	0.51220	0.00000	0.00000	0.00000
Aristolochiaceae	1.00000	0.46154	0.00000	0.53846	0.61538
Asparagaceae	0.96178	0.75159	0.03822	0.08917	0.12739
Asphodelaceae	0.94118	0.64706	0.00000	0.17647	0.44118
Aspleniaceae	1.00000	0.00000	0.00000	1.00000	0.00000
Asteraceae	0.94696	0.46802	0.24493	0.33385	0.34789
Athyriaceae	1.00000	1.00000	0.00000	1.00000	0.00000
Balanophoraceae	0.95349	0.09302	0.09302	0.83721	0.09302
Balsaminaceae	1.00000	1.00000	0.00000	0.00000	0.00000
Basellaceae	0.00000	0.00000	0.00000	0.00000	0.00000
Begoniaceae	0.56250	0.00000	0.00000	0.18750	0.12500
Berberidaceae	1.00000	0.33333	0.08333	0.41667	0.08333
Betulaceae	1.00000	0.22222	0.00000	0.22222	0.00000
Bignoniaceae	1.00000	0.47826	0.00000	0.26087	0.00000
Bixaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Blechnaceae	1.00000	0.40000	0.20000	0.20000	0.40000
Bonnetiaceae	1.00000	1.00000	0.00000	0.00000	0.00000
Boraginaceae	1.00000	0.33333	0.00000	0.50000	0.00000
Brassicaceae	1.00000	0.20000	0.00000	0.05000	0.10000
Bromeliaceae	1.00000	0.22727	0.00000	0.00000	0.00000
Burseraceae	1.00000	0.12500	0.31250	0.12500	0.00000
Cactaceae	1.00000	0.00000	0.00000	0.40000	0.10000
Calceolariaceae	1.00000	0.66667	0.00000	0.00000	0.00000
Calophyllaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Campanulaceae	1.00000	0.00000	0.00000	0.28571	0.00000
Cannabaceae	1.00000	0.59740	0.53247	0.02597	0.70130
Caprifoliaceae	1.00000	1.00000	0.33333	0.66667	0.00000
Caryophyllaceae	0.85714	0.14286	0.00000	0.64286	0.00000
Casuarinaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Celastraceae	1.00000	0.49123	0.01754	0.21053	0.00000
Cephalotaxaceae	1.00000	0.00000	0.00000	0.40000	0.00000
Cercidiphyllaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Chloranthaceae	1.00000	0.83333	0.00000	0.16667	0.10000
Chrysobalanaceae	1.00000	0.13333	0.00000	0.06667	0.00000
Cistaceae	1.00000	0.11111	0.00000	0.11111	0.00000
Cleomaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Clusiaceae	0.95041	0.19008	0.04132	0.24793	0.00826
Combretaceae	0.73239	0.45070	0.38028	0.02817	0.30986
Convolvulaceae	0.84615	0.23077	0.33333	0.56410	0.48718
Cordiaceae	1.00000	0.00000	0.00000	0.00000	0.44444
Coriariaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Cornaceae	1.00000	0.00000	0.00000	0.40000	0.00000
Crassulaceae	1.00000	0.10256	0.00000	0.00000	0.00000
Cucurbitaceae	1.00000	0.05263	0.00000	0.15789	0.05263
Cunoniaceae	1.00000	0.00000	0.00000	1.00000	0.00000
Cupressaceae	0.88372	0.11628	0.04651	0.25581	0.04651
Cyatheaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Cycadaceae	1.00000	0.35000	0.00000	0.00000	0.00000
Cynomoriaceae	1.00000	0.00000	0.00000	0.33333	0.00000
Cyperaceae	0.92308	0.63462	0.30769	0.03846	0.19231
Daphniphyllaceae	1.00000	0.00000	0.00000	1.00000	0.00000
Davalliaceae	1.00000	0.00000	0.00000	0.45455	0.00000
Dennstaedtiaceae	1.00000	0.00000	0.00000	0.60000	0.20000
Diapensiaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Didiereaceae	1.00000	0.50000	0.00000	0.00000	0.00000
Dilleniaceae	1.00000	0.14286	0.00000	0.85714	0.00000
Dioscoreaceae	0.96667	0.20000	0.03333	0.16667	0.20000
Dipterocarpaceae	0.90909	0.13636	0.54545	0.09091	0.09091
Dryopteridaceae	1.00000	0.23077	0.00000	0.11538	0.03846
Ebenaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Elaeagnaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Elatinaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Ephedraceae	1.00000	0.00000	0.00000	0.00000	0.00000
Ericaceae	0.98795	0.24699	0.02410	0.42169	0.06627
Eriocaulaceae	0.71429	1.00000	0.00000	0.00000	0.00000
Erythroxylaceae	0.95000	0.25000	0.05000	0.45000	0.10000
Eucommiaceae	1.00000	0.00000	0.00000	0.20000	0.00000
Euphorbiaceae	0.99038	0.15865	0.44231	0.21635	0.12019
Eupteleaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Fabaceae	0.82368	0.49836	0.38278	0.14617	0.10138
Fagaceae	1.00000	0.01351	0.01351	0.36486	0.00000
Francoaceae	1.00000	0.37500	0.00000	0.00000	0.00000
Gentianaceae	0.57895	0.68421	0.00000	0.84211	0.10526
Geraniaceae	1.00000	0.00000	0.00000	0.16667	0.00000
Gesneriaceae	0.90909	0.63636	0.09091	0.00000	0.50000
Ginkgoaceae	1.00000	0.00000	0.00000	0.00000	0.12500
Gleicheniaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Gnetaceae	1.00000	0.41667	0.00000	0.00000	0.00000
Grossulariaceae	1.00000	0.12000	0.00000	0.12000	0.12000
Haloragaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Hamamelidaceae	1.00000	0.05000	0.00000	0.00000	0.00000
Heliotropiaceae	1.00000	0.68750	0.00000	0.06250	0.00000
Hernandiaceae	1.00000	0.00000	1.00000	0.00000	0.00000
Humiriaceae	1.00000	1.00000	0.00000	0.00000	0.00000
Hydrangeaceae	1.00000	0.00000	0.00000	0.80000	0.00000
Hypericaceae	1.00000	0.19565	0.10870	0.39130	0.10870
Iridaceae	0.86782	0.81034	0.00000	0.44253	0.00000
Juglandaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Krameriaceae	0.72414	0.79310	0.00000	0.00000	0.00000
Lamiaceae	0.97235	0.57143	0.01843	0.31336	0.17051
Lardizabalaceae	1.00000	0.00000	0.00000	0.00000	0.50000
Lauraceae	0.79668	0.31535	0.22407	0.05809	0.31120
Lecythidaceae	1.00000	0.00000	0.00000	0.00000	0.00000
Loganiaceae	1.00000	1.00000	0.00000	0.00000	0.00000
Loranthaceae	1.00000	0.00000	0.00000	0.30769	0.00000
Lythraceae	1.00000	0.11429	0.00000	0.28571	0.00000
Malpighiaceae	1.00000	0.12500	0.00000	0.37500	0.00000
Malvaceae	0.94366	0.16901	0.00000	0.33803	0.02817
Marcgraviaceae	1.00000	0.00000	0.00000	1.00000	0.00000
