visual_clade,LogP,MW,Rings,HBA,TPSA,HBD
ANA,-0.2283761464673673,-0.09306359793622128,-0.1871202971412804,0.9561828874675149,0.7853698361040112,0.2198666621347214
Chloranthales,2.218590267383357,1.5289992006502728,1.085297723419423,-0.47809144373375745,-0.9515467196946488,-1.3820190191325332
Magnoliids,0.4702841876177828,-1.020613393030441,-0.1871202971412804,-1.4342743312012722,-1.3941679182043571,-1.3820190191325332
Monocots,-0.6068018344250395,-1.8154248530825887,-0.1871202971412804,-0.9561828874675149,-1.036666180946516,-0.8480571253767818
Monocots (Commelinids),1.7302563411269365,-1.020613393030441,-1.4595383177019838,-1.4342743312012722,-1.3004166242621602,-1.3820190191325332
Basal Eudicots,-0.7770345408663406,0.01031699145184343,-0.1871202971412804,0.9561828874675149,1.0311372946481343,0.7538285558904729
Saxifragales,-0.16407909139835403,0.4243472982690863,0.44908871313907134,0.9561828874675149,1.0690214492334718,1.8217523434019762
Rosids (Basal),-0.8447892178898665,1.1745969719560934,1.085297723419423,1.4342743312012722,1.4537374367788822,1.2877904496462245
Rosids (Fabids),0.3797974854039535,-0.9866582760628747,-0.1871202971412804,-1.4342743312012722,-1.130417474888713,-0.8480571253767818
Rosids (Malvids),0.05213263039550277,0.01031699145184343,-0.1871202971412804,-0.47809144373375745,-0.6453564323182147,-0.31409523162103015
Caryophyllales + Santalales,-0.9299055711105171,-0.05759324248328743,-0.1871202971412804,0.47809144373375745,0.17167050913456477,0.2198666621347214
Asterids (Basal),-1.076302755993046,0.045081383519549045,-0.1871202971412804,0.9561828874675149,1.0311372946481343,1.2877904496462245
Asterids (Lamiids),-0.40000661497538637,-0.22812644656380024,-1.4595383177019838,-0.47809144373375745,-0.5369789774285137,-0.31409523162103015
Asterids (Campanulids),-0.4985120574667009,-1.2621389638742773,-1.4595383177019838,-0.9561828874675149,-0.6453564323182147,-0.31409523162103015
Gymnosperms,-0.27317809902689744,0.5628452614174713,-0.1871202971412804,0.47809144373375745,0.5460762520776355,0.7538285558904729
Ferns,-0.7498885302021921,1.2002441051828612,1.085297723419423,0.9561828874675149,1.2524478939029882,0.7538285558904729
Lycophytes,1.6978135478941732,1.5274839621649035,2.3577157439801266,0.47809144373375745,0.3003087935335126,-0.31409523162103015
