visual_clade,Prenylation,Methoxylation,Conjugated carbonyl,Glycosylation,Phenolic OH
ANA,2.037830125506701,-1.838301105831879,-1.4165415116722582,0.9959568394358965,1.3094632011638183
Chloranthales,-0.9495609476025044,2.000207327060689,1.1818776349947935,-1.5548830275808492,1.3094632011638183
Magnoliids,0.5441345889520981,0.07575187967552438,1.287504429574755,-1.1971432901333783,-2.2726805625640734
Monocots,-0.7712683769262257,1.1449428486443087,-0.5687814187278375,-0.017274646202714333,0.11325410721305439
Monocots (Commelinids),0.2857656312777912,1.315500417409584,1.2801961973011178,-1.3687406589066542,0.21671002885204446
Basal Eudicots,-0.1348179276636309,-1.1403904816695931,0.4732178677219598,1.5756931728487937,-1.04670622631495
Saxifragales,-0.9495609476025044,-0.8786739976087369,-1.4165415116722582,-0.1200356023839282,1.3094632011638183
Rosids (Basal),-0.43251249264129543,0.22858805034104057,0.3823640514049351,0.873320307367786,0.11325410721305439
Rosids (Fabids),1.7751179575655767,-0.15875148645060275,-0.47448865738591883,-0.6629704531452753,-0.9892018721772615
Rosids (Malvids),0.7231027177558764,0.030834336913042104,0.3676264738272404,-0.29415687210828456,-0.9837302692671309
Caryophyllales + Santalales,-0.5430107511612313,0.15834239353562748,0.15508297219894052,0.8519578146849514,-0.2581495227635897
Asterids (Basal),-0.6788912866160999,-1.0139234558146828,-0.5794668872426068,0.7562806103202302,0.8919942556239483
Asterids (Lamiids),0.5232437422869995,0.4970152134803813,0.037119549400216015,0.2913542188263797,-0.14048721574619322
Asterids (Campanulids),1.2952097974271952,0.03749829816656518,1.8780578591961559,0.5134630721369764,0.3412109345508459
Gymnosperms,-0.9495609476025044,-0.9370860824571027,-1.0776172751504687,-0.2572818778375475,1.0390159277488646
Ferns,-0.8256599353537354,-0.5116276843252318,-0.9136216768334732,1.1693434202584643,-0.6254187895123078
Lycophytes,-0.9495609476025044,0.9900735289310663,-0.5959880969352924,-1.5548830275808492,-0.3274545063477537
