visual_clade,Anthocyanidins,Flavan-3-ols,Isoflavones,Proanthocyanins,Chalcones,Flavanones,2-arylbenzofurans,Aurones,Dihydroflavonols,Flavandiols (leucoanthocyanidins),Flavans,Isoflavanones,Flavonolignans,Rotenoids,Coumestan,Neoflavonoids,Pterocarpan
ANA,2.449003727139998,1.822676402495038,1.9066483810484178,0.37218374242835717,-1.2180541675968768,-1.2038155719491892,-0.47755399161262707,-0.5574671099490601,-0.9189229875019355,-0.4509342088582514,-0.49053546876546406,-0.4942546950064457,-0.5106904685734094,-0.4203956007716182,-0.3246654926159328,-0.49458058365289537,-0.2913789182649766
Chloranthales,-0.7046490501943965,-0.8465173413786292,-0.7141008132533523,-0.877167930513071,0.9993072435133794,1.6935879963633578,-0.47755399161262707,-0.5574671099490601,-0.9189229875019355,-0.4509342088582514,-0.49053546876546406,-0.4942546950064457,-0.5106904685734094,-0.4203956007716182,-0.3246654926159328,-0.49458058365289537,-0.2913789182649766
Magnoliids,-0.7046490501943965,-0.6837616252887714,-0.5862593891410709,-0.6638639863523393,2.5676848269816164,0.056437199633908516,-0.38839593330019534,-0.35909676835333393,-0.7077246864696487,0.07822276872689819,0.19852860991514237,-0.421214453438086,-0.5106904685734094,-0.4203956007716182,-0.3246654926159328,-0.49458058365289537,-0.2913789182649766
Monocots,-0.02707378503766879,0.2048759503063547,2.320267948849366,-0.6982157014975879,-0.4593283797103412,-0.8694997756054341,1.005969880519694,0.0250155641795032,-0.5743952550487358,-0.2955557541668029,0.9809744132686465,2.651319209778407,-0.313426541456727,0.9002471402977076,-0.3246654926159328,-0.49458058365289537,-0.2913789182649766
Monocots (Commelinids),-0.6279385772322084,-0.8140541742234089,-0.4591089997537206,-0.6948301187864842,0.6876780722222138,-0.05268496507906923,-0.29971981043810075,3.2013827952607756,-0.5678771628131345,0.0767926147334248,3.507729219716408,-0.3485690239863118,1.700264952380326,-0.4203956007716182,-0.3246654926159328,-0.49458058365289537,-0.2913789182649766
Basal Eudicots,1.4455687525336087,-0.8465173413786292,-0.3567259231212924,-0.1957033816359277,0.39457231321058106,0.11318605001105855,-0.47755399161262707,-0.5574671099490601,1.442658014950003,-0.4509342088582514,-0.49053546876546406,-0.4942546950064457,0.6161049938961243,-0.4203956007716182,-0.3246654926159328,-0.49458058365289537,-0.2913789182649766
Saxifragales,0.004922824705843025,1.8560413242934617,-0.7141008132533523,3.0582898392524314,-1.2180541675968768,-1.2038155719491892,-0.47755399161262707,-0.5574671099490601,-0.2694882118276529,-0.4509342088582514,-0.49053546876546406,-0.4942546950064457,3.2077345575760523,-0.4203956007716182,-0.3246654926159328,-0.49458058365289537,-0.2913789182649766
Rosids (Basal),2.024473545575751,1.0013860197646824,1.1002640135709538,0.8527036166366022,-0.9622047740072313,-1.0366576737773114,3.3185217988435918,-0.5574671099490601,-0.9189229875019355,-0.4509342088582514,-0.49053546876546406,-0.4942546950064457,-0.5106904685734094,-0.4203956007716182,-0.3246654926159328,-0.49458058365289537,-0.2913789182649766
Rosids (Fabids),-0.6568100564374277,-0.6339446051608121,1.3968987484469986,-0.4829683128244887,-0.29530592488134866,-0.4222051874751934,1.0972661464135989,-0.17500320677806686,-0.26434352373449715,0.06905416308122929,-0.210023472038584,2.376732774347017,-0.3978779783143662,1.1110981156015833,3.762933232557061,-0.36708706736500946,3.85331857138534
Rosids (Malvids),-0.46485517542012267,-0.44982840939740426,-0.2974379229150526,-0.32445935630856737,-0.0633913129634244,0.7322375036513595,-0.47755399161262707,-0.16392594839624922,0.4378071122169906,0.47887019461279773,0.21960178869339433,-0.370052625242737,-0.16797848459650058,-0.4203956007716182,0.5623114379835621,-0.49458058365289537,-0.18236474667816127
