visual_clade,Properties::LogP,Properties::MW,Properties::Rings,Properties::HBA,Properties::TPSA,Properties::HBD,Features::Prenylation,Features::Methoxylation,Features::Conjugated carbonyl,Features::Glycosylation,Features::Phenolic OH,Classes::Anthocyanidins,Classes::Flavan-3-ols,Classes::Isoflavones,Classes::Proanthocyanins,Classes::Chalcones,Classes::Flavanones,Classes::2-arylbenzofurans,Classes::Aurones,Classes::Dihydroflavonols,Classes::Flavandiols (leucoanthocyanidins),Classes::Flavans,Classes::Isoflavanones,Classes::Flavonolignans,Classes::Rotenoids,Classes::Coumestan,Classes::Neoflavonoids,Classes::Pterocarpan
ANA,-0.0932341713780275,-0.03799305476187863,-0.0763915414190178,0.3903600291794133,0.3206258929713469,0.08976018894649578,0.9113453374459823,-0.8221132471506233,-0.6334966226098961,0.44540543912690156,0.5856097463673559,0.5939706496782085,0.4420639605181088,0.4624301568220904,0.09026781659822317,-0.2954215288662188,-0.2919681621711673,-0.11582385584436422,-0.13520563394869345,-0.2228715611340363,-0.10936761019570032,-0.11897232651952241,-0.11987437138053043,-0.1238606319955496,-0.10196090979566912,-0.07874294817933421,-0.11995341098708934,-0.07066976806380668
Chloranthales,0.9057356838990204,0.624211309786087,0.4430709402303019,-0.19518001458970666,-0.38846732161183706,-0.5642069019494015,-0.42465656552366315,0.8945199104801709,0.5285517465870084,-0.6953648293462918,0.5856097463673559,-0.17090249782015632,-0.2053106124953607,-0.1731948870813555,-0.21274447228881435,0.24236760690885248,0.4107554232520178,-0.11582385584436422,-0.13520563394869345,-0.2228715611340363,-0.10936761019570032,-0.11897232651952241,-0.11987437138053043,-0.1238606319955496,-0.10196090979566912,-0.07874294817933421,-0.11995341098708934,-0.07066976806380668
Magnoliids,0.19199271562714645,-0.4166636729292003,-0.0763915414190178,-0.58554004376911994,-0.5691666692264916,-0.5642069019494015,0.24334438596115948,0.033877270475571444,0.5757894851722486,-0.5353787551091974,-1.0163736458071464,-0.17090249782015632,-0.16583655316527107,-0.14218878737874838,-0.16101066686907625,0.6227550444082948,0.013688031488510305,-0.09419985044453277,-0.08709375916110312,-0.17164844918655903,0.018971808105250773,0.048150260493363385,-0.10215951073894355,-0.1238606319955496,-0.10196090979566912,-0.07874294817933421,-0.11995341098708934,-0.07066976806380668
Monocots,-0.24772581155435847,-0.7411440927365766,-0.0763915414190178,-0.3903600291794133,-0.4232171961531169,-0.3462178716507691,-0.3449217039405942,0.5120340079841854,-0.2543667833228433,-0.0077254566393055715,0.05064877649188777,-0.00656635737621032,0.04968971666246443,0.5627476372259512,-0.16934218157289918,-0.11140349566997368,-0.21088467154541524,0.24398353373956916,0.006067165493912311,-0.13931131220114903,-0.07168279956993032,0.2379212424667612,0.6430393617144424,-0.07601710213518341,0.21834200285927585,-0.07874294817933421,-0.11995341098708934,-0.07066976806380668
Monocots (Commelinids),0.7063741933293305,-0.4166636729292003,-0.5958540230683376,-0.58554004376911994,-0.5308928637458147,-0.5642069019494015,0.12779827543405622,0.5883096715514354,0.5725211443404064,-0.6121194313766263,0.09691567118382242,-0.1522974753134393,-0.19743713795871037,-0.11135028821507427,-0.1685210571539494,0.16678643107019514,-0.012777980935469432,-0.072692731560376,0.776449377229135,-0.137730442626743,0.018624944812545497,0.8507492987621276,-0.08454040610082467,0.41237482295293326,-0.10196090979566912,-0.07874294817933421,-0.11995341098708934,-0.07066976806380668
Basal Eudicots,-0.3172230229400563,0.004211894122945369,-0.0763915414190178,0.3903600291794133,0.4209600377736335,0.3077492192451282,-0.06029241016830562,-0.5099981275813876,0.21162946407876113,0.7046714092344457,-0.4681012549025015,0.35060192092873094,-0.2053106124953607,-0.08651874473088553,-0.047465041986793736,0.09569784260656002,0.02745164938482573,-0.11582385584436422,-0.13520563394869345,0.3498959633695744,-0.10936761019570032,-0.11897232651952241,-0.11987437138053043,0.1494274097826026,-0.10196090979566912,-0.07874294817933421,-0.11995341098708934,-0.07066976806380668
Saxifragales,-0.06698500856424197,0.17323905908131348,0.18333969940564207,0.3903600291794133,0.4364261791187662,0.7437272798423932,-0.42465656552366315,-0.39295495774292466,-0.6334966226098961,-0.05368155333011985,0.5856097463673559,0.00119396036697594,0.4501561426807779,-0.1731948870813555,0.7417442377053547,-0.2954215288662188,-0.2919681621711673,-0.11582385584436422,-0.13520563394869345,-0.06536049189554351,-0.10936761019570032,-0.11897232651952241,-0.11987437138053043,0.7779899058723528,-0.10196090979566912,-0.07874294817933421,-0.11995341098708934,-0.07066976806380668
Rosids (Basal),-0.3448837540058419,0.4795272057851052,0.4430709402303019,0.58554004376911994,0.5934858233482969,0.5257382495437607,-0.19342546693276283,0.10222768388134214,0.17099840221873178,0.39056071468107595,0.05064877649188777,0.49100695674573597,0.24287178420627295,0.2668532202364156,0.20681100463169996,-0.23336893627678734,-0.2514264168582912,0.8048597586792265,-0.13520563394869345,-0.2228715611340363,-0.10936761019570032,-0.11897232651952241,-0.11987437138053043,-0.1238606319955496,-0.10196090979566912,-0.07874294817933421,-0.11995341098708934,-0.07066976806380668
Rosids (Fabids),0.15505167413863802,-0.40280155447469085,-0.0763915414190178,-0.58554004376911994,-0.4614910016337939,-0.3462178716507691,0.7938568842394432,-0.07099582304653691,-0.21219777849350444,-0.29648940006133495,-0.4423845259316829,-0.15929983756820068,-0.15375415105108886,0.3387977110670641,-0.11713702162363056,-0.07162220706803028,-0.10239979903787817,0.26612613065163065,-0.04244451213928107,-0.06411272175325299,0.016748094604266815,-0.05093817406317878,0.5764423689705914,-0.09649958415866734,0.26948087594412173,0.9126453635282157,-0.08903169132612704,0.9345670281750531
Rosids (Malvids),0.02128305723634843,0.004211894122945369,-0.0763915414190178,-0.19518001458970666,-0.2634656602337689,-0.12822884135213666,0.32338136632339676,0.013789534675738633,0.16440755716125136,-0.13155095241656722,-0.43993755072109536,-0.11274394052189365,-0.10909941443229892,-0.07213929254371092,-0.07869295278118466,-0.015374651711457934,0.17759368062312664,-0.11582385584436422,-0.03975788235395797,0.10618382160689978,0.11614308196168531,0.05326125707984911,-0.08975094475958312,-0.0407407667542683,-0.10196090979566912,0.1363805560764224,-0.11995341098708934,-0.044229947820180374
