family,fine_clade,analysis_clade,n_compounds_structural,n_scaffolds,n_exclusive_scaffolds,exclusive_scaffold_share,fig3_expected_log_scaffolds,fig3_effort_adjusted_scaffold_richness,fig3_effort_adjusted_z,opportunity_gap,highlighted,highlight_reason
Ochnaceae,Rosids (Fabids),Rosids,70,37,19,0.5135135135135135,2.8605763566271483,0.7770098030992374,2.059171762976075,0.7857142857142857,TRUE,high adjusted scaffold richness; high exclusive scaffold fraction
Paeoniaceae,Saxifragales,Early eudicots & Saxifragales,10,7,0,0,1.4168397578132346,0.6626017838666012,1.7559764085259852,0.5,TRUE,high adjusted scaffold richness
Berberidaceae,Basal Eudicots,Early eudicots & Saxifragales,12,8,0,0,1.5461745385789616,0.651050038757258,1.725362859961504,0.5833333333333333,TRUE,high adjusted scaffold richness
Ranunculaceae,Basal Eudicots,Early eudicots & Saxifragales,19,11,5,0.45454545454545453,1.8796906550116401,0.6052159947763602,1.6038969932864422,0.7894736842105263,TRUE,high adjusted scaffold richness
Convolvulaceae,Asterids (Lamiids),Asterids,39,19,6,0.3157894736842105,2.4163326281436603,0.5793996454103305,1.5354804849932204,0.6666666666666667,TRUE,high adjusted scaffold richness
Erythroxylaceae,Rosids (Fabids),Rosids,20,11,0,0,1.9174644709891928,0.5674421787988075,1.5037917244332295,0.55,TRUE,high adjusted scaffold richness
Stachyuraceae,Rosids (Malvids),Rosids,10,6,2,0.3333333333333333,1.4168397578132346,0.5290703912420787,1.402101757181116,0.7,TRUE,high adjusted scaffold richness
Lythraceae,Rosids (Malvids),Rosids,35,16,0,0,2.334761273798089,0.4984520702581272,1.3209594321442744,0.4285714285714286,TRUE,high adjusted scaffold richness
Violaceae,Rosids (Fabids),Rosids,15,8,1,0.125,1.7069308258940907,0.49029375144212883,1.2993388815768903,0.8666666666666667,TRUE,high bioprospecting opportunity
Araliaceae,Asterids (Campanulids),Asterids,12,6,2,0.3333333333333333,1.5461745385789616,0.39973561047635164,1.0593486445933304,0.9166666666666666,TRUE,high bioprospecting opportunity
Blechnaceae,Ferns,Non-seed vascular plants,10,5,3,0.6,1.4168397578132346,0.3749197114148204,0.9935834529360983,0.6,TRUE,high exclusive scaffold fraction
Rosaceae,Rosids (Fabids),Rosids,299,66,13,0.19696969696969696,3.976300018052947,0.22839260133801886,0.6052685483143596,0.8160535117056856,TRUE,high sampling effort
Aristolochiaceae,Magnoliids,Early angiosperms & magnoliids,13,5,3,0.6,1.6035496021704096,0.1882098670576453,0.4987793490027415,1,TRUE,high bioprospecting opportunity; high exclusive scaffold fraction
Fabaceae,Rosids (Fabids),Rosids,5027,539,385,0.7142857142857143,6.158816939047561,0.1327522005107591,0.3518096961896149,0.8848219614083946,TRUE,high bioprospecting opportunity; high exclusive scaffold fraction; high sampling effort
Moraceae,Rosids (Fabids),Rosids,871,138,81,0.5869565217391305,4.802395511669163,0.1320784214615287,0.3500240986500136,0.801377726750861,TRUE,high exclusive scaffold fraction; high sampling effort
Gesneriaceae,Asterids (Lamiids),Asterids,22,7,3,0.42857142857142855,1.9878957165619187,0.09154582511791709,0.24260772174207323,0.9545454545454546,TRUE,high bioprospecting opportunity
Thymelaeaceae,Rosids (Malvids),Rosids,87,20,12,0.6,3.0267667700901115,0.01775566763331149,0.047054708032603816,0.9310344827586207,TRUE,high bioprospecting opportunity; high exclusive scaffold fraction
Asteraceae,Asterids (Campanulids),Asterids,716,102,46,0.45098039215686275,4.650870534160095,-0.016141545930459245,-0.0427770865415137,0.8547486033519553,TRUE,high sampling effort
Lamiaceae,Asterids (Lamiids),Asterids,264,41,6,0.14634146341463414,3.8802563909673995,-0.14258677268403108,-0.3778725247914835,0.8106060606060606,TRUE,high sampling effort
Rutaceae,Rosids (Malvids),Rosids,316,46,16,0.34782608695652173,4.018974307146628,-0.16882670543656975,-0.44741158127558517,0.8734177215189873,TRUE,high sampling effort
Dioscoreaceae,Monocots,Monocots,30,14,7,0.5,2.21899211448446,0.48905808661774985,1.2960642174674863,0.7,FALSE,
Apocynaceae,Asterids (Lamiids),Asterids,89,33,5,0.15151515151515152,3.0441655760641853,0.4821949485519763,1.2778760555497375,0.7191011235955056,FALSE,
Theaceae,Asterids (Basal),Asterids,126,41,17,0.4146341463414634,3.310787614237439,0.42688200404592935,1.1312899339852358,0.7142857142857143,FALSE,
Melastomataceae,Rosids (Malvids),Rosids,27,12,2,0.16666666666666666,2.1401908506473566,0.42475850681418015,1.1256624045500412,0.8518518518518519,FALSE,
Vitaceae,Rosids (Basal),Rosids,99,33,7,0.21212121212121213,3.125737205529239,0.4006233190869226,1.0617011818423425,0.7171717171717171,FALSE,
Malvaceae,Rosids (Malvids),Rosids,77,27,3,0.1111111111111111,2.9333748767992605,0.39882963337594335,1.0569476935942277,0.7142857142857143,FALSE,
Platanaceae,Basal Eudicots,Early eudicots & Saxifragales,20,9,3,0.3333333333333333,1.9174644709891928,0.3851206220048531,1.020617123502229,0.6,FALSE,
Campanulaceae,Asterids (Campanulids),Asterids,10,5,1,0.2,1.4168397578132346,0.3749197114148204,0.9935834529360983,0.6,FALSE,
Selaginellaceae,Lycophytes,Non-seed vascular plants,26,11,5,0.45454545454545453,2.1120346361739673,0.3728720136140331,0.9881568013370182,0.7692307692307692,FALSE,
Plantaginaceae,Asterids (Lamiids),Asterids,24,10,0,0,2.0524506002712934,0.3454446725270772,0.9154709663906606,0.7916666666666666,FALSE,
Primulaceae,Asterids (Basal),Asterids,27,11,1,0.09090909090909091,2.1401908506473566,0.34471579914064376,0.9135393620657962,0.7037037037037037,FALSE,
Arecaceae,Monocots (Commelinids),Monocots,43,16,3,0.1875,2.4901229298394005,0.34309041421681563,0.9092318916506689,0.7906976744186046,FALSE,
Caryophyllaceae,Caryophyllales,Caryophyllales & Santalales,16,7,2,0.2857142857142857,1.7538669681462131,0.3255745735336226,0.8628127546002036,0.75,FALSE,
Cucurbitaceae,Rosids (Fabids),Rosids,19,8,1,0.125,1.8796906550116401,0.31753392232457944,0.8415040376965554,0.26315789473684215,FALSE,
Sapindaceae,Rosids (Malvids),Rosids,78,25,3,0.12,2.9432376091848487,0.31485892883663347,0.8344149751975334,0.5769230769230769,FALSE,
Rubiaceae,Asterids (Lamiids),Asterids,118,34,3,0.08823529411764706,3.2604144098665566,0.2949336516228569,0.7816105343212075,0.728813559322034,FALSE,
Poaceae,Monocots (Commelinids),Monocots,61,20,2,0.1,2.7556351895576316,0.28888724816579137,0.7655868197983161,0.6065573770491803,FALSE,
Grossulariaceae,Saxifragales,Early eudicots & Saxifragales,34,12,1,0.08333333333333333,2.312951055685114,0.2519983017764229,0.6678265644348144,0.47058823529411764,FALSE,
Nymphaeaceae,Basal Angiosperms,Early angiosperms & magnoliids,12,5,1,0.2,1.5461745385789616,0.24558493064909337,0.650830340348313,0.75,FALSE,
Schisandraceae,Basal Angiosperms,Early angiosperms & magnoliids,21,8,0,0,1.9534807217992691,0.24374385553695044,0.6459512643452544,0.7142857142857143,FALSE,
Lauraceae,Magnoliids,Early angiosperms & magnoliids,241,56,26,0.4642857142857143,3.8099636544030187,0.23308761343153162,0.6177109091330144,0.7385892116182573,FALSE,
Balanophoraceae,Santalales,Caryophyllales & Santalales,43,14,7,0.5,2.4901229298394005,0.21792727126280953,0.57753413351658,0.7906976744186046,FALSE,
Anacardiaceae,Rosids (Malvids),Rosids,80,23,9,0.391304347826087,2.9625939689323264,0.21545986141561935,0.5709951932551349,0.7625,FALSE,
Hypericaceae,Rosids (Fabids),Rosids,52,16,2,0.125,2.634205673823379,0.19900767023283716,0.5273948585006168,0.6153846153846154,FALSE,
Cephalotaxaceae,Gymnosperms,Gymnosperms,10,4,0,0,1.4168397578132346,0.1925981546208657,0.5104088520050973,0.5,FALSE,
Begoniaceae,Rosids (Fabids),Rosids,16,6,0,0,1.7538669681462131,0.1920431809091001,0.5089381032553344,0.5625,FALSE,
Aizoaceae,Caryophyllales,Caryophyllales & Santalales,26,9,0,0,2.1120346361739673,0.19055045682007865,0.5049822004060179,0.6923076923076923,FALSE,
Loranthaceae,Santalales,Caryophyllales & Santalales,13,5,0,0,1.6035496021704096,0.1882098670576453,0.4987793490027415,0.3076923076923077,FALSE,
Bignoniaceae,Asterids (Lamiids),Asterids,23,8,1,0.125,2.0208457970759857,0.1763787802602339,0.4674255105294358,0.782608695652174,FALSE,
Piperaceae,Magnoliids,Early angiosperms & magnoliids,110,28,11,0.39285714285714285,3.2065342545680915,0.16076157541838265,0.4260379925101218,0.7545454545454545,FALSE,
Brassicaceae,Rosids (Malvids),Rosids,51,15,6,0.4,2.6194583144665464,0.15313040777323472,0.40581445752929185,0.6470588235294117,FALSE,
Davalliaceae,Ferns,Non-seed vascular plants,28,9,2,0.2222222222222222,2.167358925933502,0.1352261670605439,0.3583660125212038,0.8571428571428572,FALSE,
Myricaceae,Rosids (Fabids),Rosids,48,14,4,0.2857142857142857,2.57345194000921,0.1345982610930001,0.35670198430301,0.8333333333333334,FALSE,
Euphorbiaceae,Rosids (Fabids),Rosids,214,46,17,0.3695652173913043,3.718374108917939,0.13177349279211947,0.3492160000864371,0.780373831775701,FALSE,
Podocarpaceae,Gymnosperms,Gymnosperms,44,13,3,0.23076923076923078,2.5075216933179134,0.131535636297345,0.3485856510538683,0.6363636363636364,FALSE,
Annonaceae,Magnoliids,Early angiosperms & magnoliids,209,45,20,0.4444444444444444,3.7001564196447743,0.1284849768443208,0.34050102743770894,0.7655502392344498,FALSE,
Musaceae,Monocots (Commelinids),Monocots,21,7,1,0.14285714285714285,1.9534807217992691,0.12596081988056662,0.33381170032195023,0.2857142857142857,FALSE,
Proteaceae,Basal Eudicots,Early eudicots & Saxifragales,11,4,0,0,1.4842047510709677,0.12523316136313256,0.33188331554969547,0.2727272727272727,FALSE,
Ericaceae,Asterids (Basal),Asterids,166,37,7,0.1891891891891892,3.5227729596694055,0.11481320005698015,0.3042691335826863,0.7469879518072289,FALSE,
Sapotaceae,Asterids (Basal),Asterids,25,8,1,0.125,2.0828156804155755,0.11440889692064404,0.30319768043150946,0.36,FALSE,
Myrtaceae,Rosids (Malvids),Rosids,190,41,13,0.3170731707317073,3.626734345400113,0.11093527288325555,0.29399214852643546,0.7578947368421053,FALSE,
Solanaceae,Asterids (Lamiids),Asterids,63,17,2,0.11764705882352941,2.780215460211447,0.11015629768471769,0.2919277682232657,0.6031746031746033,FALSE,
Amaranthaceae,Caryophyllales,Caryophyllales & Santalales,33,10,2,0.2,2.2905085732555017,0.10738669954286895,0.2845879917291491,0.7878787878787878,FALSE,
Cupressaceae,Gymnosperms,Gymnosperms,50,14,0,0,2.604424582001646,0.10362561910056423,0.27462066491527326,0.7,FALSE,
Santalaceae,Santalales,Caryophyllales & Santalales,78,20,6,0.3,2.9432376091848487,0.10128482853857435,0.2684172813684188,0.7435897435897436,FALSE,
Rhamnaceae,Rosids (Fabids),Rosids,119,28,8,0.2857142857142857,3.2668932331038825,0.10040259688259168,0.26607925872422944,0.773109243697479,FALSE,
