class_np,n_compounds,median_fsp3,median_logp,median_standardized_potency,median_pchembl,potency_group
Rotenoids,25,0.34782608695652173,2.817500000000001,0.5461048326044415,5.38,Higher reported
Coumestan,10,0.19047619047619047,4.561250000000003,0.39925504496019776,5.38,Higher reported
Pterocarpan,93,0.32,4.216200000000002,0.10798883021439251,5.140000000000001,Higher reported
Flavan-3-ols,52,0.2,2.5276000000000005,-0.016402605524723484,5.130000000000001,Higher reported
2-arylbenzofurans,64,0.18783068783068782,4.710250000000004,-0.055878322500708004,5.0725,Higher reported
Aurones,14,0.1338235294117647,2.731200000000001,-0.0714770765108383,4.91875,Intermediate
Chalcones,218,0.18198529411764708,3.878600000000003,-0.08898667703910138,4.94625,Intermediate
Flavanones,233,0.3,4.485600000000004,-0.14614659456216816,4.91,Intermediate
Isoflavones,135,0.19047619047619047,3.7911000000000024,-0.23101265438921437,4.88,Intermediate
Isoflavanones,42,0.31698564593301437,3.990950000000003,-0.2512367857668585,4.869999999999999,Intermediate
Dihydroflavonols,39,0.1875,2.3709000000000002,-0.313367338866889,4.8475,Lower reported
Proanthocyanins,29,0.2,3.590500000000003,-0.44475441404465,4.73,Lower reported
Neoflavonoids,13,0.0625,2.8712000000000018,-0.639610556793266,4.485,Lower reported
Flavonolignans,7,0.2222222222222222,4.192200000000004,-0.709133814362408,4.44,Lower reported
Flavans,22,0.29411764705882354,3.4741100000000014,-0.772398705139919,4.4225,Lower reported
