minimum_compounds,adjusted_richness_rank,family,n_compounds_structural,n_scaffolds,n_exclusive_scaffolds,exclusive_scaffold_share,adjusted_residual
5,1,Ochnaceae,70,37,19,0.5135135135135135,0.7962102364062611
5,2,Convolvulaceae,39,19,6,0.3157894736842105,0.5948390347333241
5,3,Berberidaceae,12,8,0,0,0.591894094988858
5,4,Ranunculaceae,19,11,5,0.45454545454545453,0.5873520426642673
5,5,Paeoniaceae,10,7,0,0,0.5841985637505647
5,6,Erythroxylaceae,20,11,0,0,0.5533103070576093
5,7,Lythraceae,35,16,0,0,0.511366767320069
5,8,Aquifoliaceae,5,4,1,0.25,0.5068683661549274
5,9,Dennstaedtiaceae,5,4,0,0,0.5068683661549274
5,10,Apocynaceae,89,33,5,0.15151515151515152,0.5001817934543613
5,11,Dioscoreaceae,30,14,7,0.5,0.4969818690811403
5,12,Violaceae,15,8,1,0.125,0.4527806341660625
5,13,Stachyuraceae,10,6,2,0.3333333333333333,0.45066717112604215
5,14,Theaceae,126,41,17,0.4146341463414634,0.4416584705966149
5,15,Melastomataceae,27,12,2,0.16666666666666666,0.4282336967990461
10,1,Ochnaceae,70,37,19,0.5135135135135135,0.7770098030992374
10,2,Paeoniaceae,10,7,0,0,0.6626017838666012
10,3,Berberidaceae,12,8,0,0,0.651050038757258
10,4,Ranunculaceae,19,11,5,0.45454545454545453,0.6052159947763602
10,5,Convolvulaceae,39,19,6,0.3157894736842105,0.5793996454103305
10,6,Erythroxylaceae,20,11,0,0,0.5674421787988075
10,7,Stachyuraceae,10,6,2,0.3333333333333333,0.5290703912420787
10,8,Lythraceae,35,16,0,0,0.4984520702581272
10,9,Violaceae,15,8,1,0.125,0.49029375144212883
10,10,Dioscoreaceae,30,14,7,0.5,0.48905808661774985
10,11,Apocynaceae,89,33,5,0.15151515151515152,0.4821949485519763
10,12,Theaceae,126,41,17,0.4146341463414634,0.42688200404592935
10,13,Melastomataceae,27,12,2,0.16666666666666666,0.42475850681418015
10,14,Vitaceae,99,33,7,0.21212121212121213,0.4006233190869226
10,15,Araliaceae,12,6,2,0.3333333333333333,0.39973561047635164
20,1,Ochnaceae,70,37,19,0.5135135135135135,0.7795306490130232
20,2,Convolvulaceae,39,19,6,0.3157894736842105,0.5922592628540677
20,3,Erythroxylaceae,20,11,0,0,0.5919132685177071
20,4,Lythraceae,35,16,0,0,0.5132102037273243
20,5,Dioscoreaceae,30,14,7,0.5,0.506510741636292
20,6,Apocynaceae,89,33,5,0.15151515151515152,0.4804434303746885
20,7,Melastomataceae,27,12,2,0.16666666666666666,0.4440453078625337
20,8,Theaceae,126,41,17,0.4146341463414634,0.4189260305815514
20,9,Platanaceae,20,9,3,0.3333333333333333,0.40959171172375264
20,10,Malvaceae,77,27,3,0.1111111111111111,0.39965634716741727
20,11,Vitaceae,99,33,7,0.21212121212121213,0.39697355709805215
20,12,Selaginellaceae,26,11,5,0.45454545454545453,0.3928141768286788
20,13,Plantaginaceae,24,10,0,0,0.3667737257074357
20,14,Primulaceae,27,11,1,0.09090909090909091,0.3640026001889973
20,15,Arecaceae,43,16,3,0.1875,0.35423265121509484
