class_np,target_domain_macro,n_compounds,n_records,median_z_potency,source_lineage,displayed_in_figure
2-arylbenzofurans,Cell Signaling and Survival,22,35,0.16759333946454702,Rosids (Fabids),TRUE
2-arylbenzofurans,General Assays and Safety,9,13,-0.134643064884269,Rosids (Fabids),TRUE
2-arylbenzofurans,Infectious Diseases,5,15,-0.905635965623893,Rosids (Fabids),TRUE
2-arylbenzofurans,Inflammation and Proteolysis,10,20,-0.05245392196430904,Rosids (Fabids),TRUE
2-arylbenzofurans,Metabolic Enzymes,13,25,-0.175096025509577,Rosids (Fabids),TRUE
2-arylbenzofurans,Neuroscience Targets,5,10,0.740070119672466,Rosids (Fabids),TRUE
2-arylbenzofurans,Phenotypic: Cancer and Cells,24,41,0.47478845927748803,Rosids (Fabids),TRUE
Aurones,Cell Signaling and Survival,4,5,0.2703392664649175,Rosids (Fabids),TRUE
Aurones,Infectious Diseases,3,5,-0.240111565978456,Monocots (Commelinids),TRUE
Aurones,Phenotypic: Cancer and Cells,4,9,0.14494221113398398,Rosids (Fabids),TRUE
Chalcones,Cell Signaling and Survival,30,53,-0.389223297182624,Rosids (Fabids),TRUE
Chalcones,Gene Regulation,3,4,-0.87988340289862,Rosids (Fabids),TRUE
Chalcones,General Assays and Safety,28,31,-0.1272234943389006,Rosids (Fabids),TRUE
Chalcones,Infectious Diseases,42,111,-0.10524949771715394,Rosids (Fabids),TRUE
Chalcones,Inflammation and Proteolysis,24,39,-0.08951028583678064,Rosids (Fabids),TRUE
Chalcones,Metabolic Enzymes,39,76,0.289418505774111,Rosids (Fabids),TRUE
Chalcones,Neuroscience Targets,8,16,-1.033003758518615,Rosids (Fabids),TRUE
Chalcones,Phenotypic: Cancer and Cells,84,242,-0.0041821742701489,Rosids (Fabids),TRUE
Chalcones,Transporters and Ion Channels,9,15,-0.0516949903574766,Rosids (Fabids),TRUE
Dihydroflavonols,General Assays and Safety,8,9,0.6278864661349359,Rosids (Fabids),TRUE
Dihydroflavonols,Infectious Diseases,5,10,-0.11237185918634174,Asterids (Lamiids),TRUE
Dihydroflavonols,Inflammation and Proteolysis,4,8,-0.8646058968359744,Rosids (Fabids),TRUE
Dihydroflavonols,Metabolic Enzymes,4,9,-0.29502484963993614,Asterids (Basal),TRUE
Dihydroflavonols,Neuroscience Targets,3,12,-0.6118423289952846,Asterids (Lamiids),TRUE
