inchikey,target_domain_macro,class_np,motif_methoxy,motif_prenyl,motif_sugar,motif_combination,mw,logp,tpsa,fsp3,structural_qc_status,median_pchembl,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,n_records,n_targets,n_assays,n_standard_types,standard_types,z_potency,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean,visual_clade
LSHVYAFMTMFKBA-CTNGQTDRSA-N,Cell Signaling and Survival,Flavan-3-ols,0,0,0,Simple,442.37600000000015,2.5276000000000005,177.14,0.13636363636363635,pass,6.365,1.69221032076037,1.69221032076037,1.6922103207603711,2,2,2,1,IC50,1.69221032076037,-1.1102230246251565e-15,0,Asterids (Basal)
GMVYLXBMPRDZDR-AWEZNQCLSA-N,Gene Regulation,Flavanones,0,0,0,Simple,286.2830000000001,2.818320000000001,86.99000000000001,0.1875,pass,5.67,0.36549002889635,0.36549002889635,0.3654900288963503,2,2,2,1,IC50,0.36549002889635,-2.7755575615628914e-16,0,Asterids (Basal)
LSHVYAFMTMFKBA-CTNGQTDRSA-N,Gene Regulation,Flavan-3-ols,0,0,0,Simple,442.37600000000015,2.5276000000000005,177.14,0.13636363636363635,pass,5.6,0.28551191859759,0.28551191859759,0.28551191859759034,2,1,2,1,IC50,0.28551191859759,-3.3306690738754696e-16,0,Asterids (Basal)
HKPGWUPXXPIOAN-HCASUDDKSA-N,General Assays and Safety,Flavan-3-ols,0,0,0,Simple,452.4150000000002,3.2216000000000005,156.91,0.125,pass,4.58,-0.825908153752148,-0.825908153752148,-0.8259081537521481,1,1,1,1,IC50,-0.825908153752148,1.1102230246251565e-16,0,Asterids (Basal)
HKPGWUPXXPIOAN-XMTAIGAMSA-N,General Assays and Safety,Flavan-3-ols,0,0,0,Simple,452.4150000000002,3.2216000000000005,156.91,0.125,pass,4.36,-1.13947169921799,-1.13947169921799,-1.1394716992179894,1,1,1,1,IC50,-1.13947169921799,-6.661338147750939e-16,0,Asterids (Basal)
LSHVYAFMTMFKBA-CTNGQTDRSA-N,General Assays and Safety,Flavan-3-ols,0,0,0,Simple,442.37600000000015,2.5276000000000005,177.14,0.13636363636363635,pass,5.18,0.0292651520637831,0.0292651520637831,0.029265152063783148,3,1,3,1,IC50,0.0292651520637831,-4.85722573273506e-17,0,Asterids (Basal)
SDZPYNMXGUHFMZ-TZIWHRDSSA-N,General Assays and Safety,Flavan-3-ols,0,0,0,Simple,426.3770000000001,2.822,156.91,0.13636363636363635,pass,5.55,0.556622023983608,0.556622023983608,0.5566220239836079,1,1,1,1,IC50,0.556622023983608,1.1102230246251565e-16,0,Asterids (Basal)
XGTBMCGGGJLOPS-IFMALSPDSA-N,General Assays and Safety,Flavan-3-ols,1,0,0,Methoxy,456.40300000000013,2.8306000000000013,166.14000000000001,0.17391304347826086,pass,4.97,-0.270045504971793,-0.270045504971793,-0.2700455049717929,1,1,1,1,IC50,-0.270045504971793,-1.1102230246251565e-16,0,Asterids (Basal)
CMGRMMSVGCHWOK-FQRUVTKNSA-N,Infectious Diseases,Flavan-3-ols,0,0,0,Simple,552.4440000000003,2.4522000000000004,234.66999999999996,0.1111111111111111,pass,4.96,-0.0602954749633862,-0.0602954749633862,-0.060295474963386185,1,1,1,1,IC50,-0.0602954749633862,-1.3877787807814457e-17,0,Asterids (Basal)
HKPGWUPXXPIOAN-HCASUDDKSA-N,Infectious Diseases,Flavan-3-ols,0,0,0,Simple,452.4150000000002,3.2216000000000005,156.91,0.125,pass,4.66,-0.599743748008598,-0.599743748008598,-0.599743748008598,1,1,1,1,IC50,-0.599743748008598,0,0,Asterids (Basal)
HKPGWUPXXPIOAN-XMTAIGAMSA-N,Infectious Diseases,Flavan-3-ols,0,0,0,Simple,452.4150000000002,3.2216000000000005,156.91,0.125,pass,5.1,0.191447052457712,0.191447052457712,0.1914470524577122,1,1,1,1,IC50,0.191447052457712,-1.942890293094024e-16,0,Asterids (Basal)
JIVANWVLNGMSOX-UHFFFAOYSA-N,Infectious Diseases,Dihydroflavonols,0,0,0,Simple,304.25399999999996,1.1862999999999995,127.45000000000002,0.13333333333333333,pass,5.105,0.200437857008467,0.200437857008467,0.20043785700846714,2,1,2,1,IC50,0.200437857008467,-1.3877787807814457e-16,0,Asterids (Basal)
KMJPKUVSXFVQGZ-WQLSNUALSA-N,Infectious Diseases,Flavan-3-ols,0,0,0,Simple,716.6040000000003,3.194900000000003,284.35999999999996,0.16666666666666666,pass,5.11,0.20942866155922,0.20942866155922,0.2094286615592205,1,1,1,1,IC50,0.20942866155922,-4.996003610813204e-16,0,Asterids (Basal)
KOXRJHMEFYNYME-JLTOFOAXSA-N,Infectious Diseases,Flavan-3-ols,0,0,0,Simple,400.33900000000017,1.4707,167.91,0.15,pass,4.85,-0.258093175079965,-0.258093175079965,-0.25809317507996454,1,1,1,1,IC50,-0.258093175079965,-4.440892098500626e-16,0,Asterids (Basal)
LSHVYAFMTMFKBA-CTNGQTDRSA-N,Infectious Diseases,Flavan-3-ols,0,0,0,Simple,442.37600000000015,2.5276000000000005,177.14,0.13636363636363635,pass,5.975,1.3582139529201795,1.3582139529201795,1.677534575483849,11,8,11,2,IC50;Ki,1.3582139529201795,-0.31932062256366955,0,Asterids (Basal)
SDZPYNMXGUHFMZ-TZIWHRDSSA-N,Infectious Diseases,Flavan-3-ols,0,0,0,Simple,426.3770000000001,2.822,156.91,0.13636363636363635,pass,4.35,-1.15717363015532,-1.15717363015532,-1.157173630155318,1,1,1,1,IC50,-1.15717363015532,-1.9984014443252818e-15,0,Asterids (Basal)
XGTBMCGGGJLOPS-IFMALSPDSA-N,Infectious Diseases,Flavan-3-ols,1,0,0,Methoxy,456.40300000000013,2.8306000000000013,166.14000000000001,0.17391304347826086,pass,4.36,-1.13919202105381,-1.13919202105381,-1.1391920210538098,1,1,1,1,IC50,-1.13919202105381,-2.220446049250313e-16,0,Asterids (Basal)
ZEASWHWETFMWCV-UHFFFAOYSA-N,Infectious Diseases,Flavan-3-ols,0,0,0,Simple,868.7090000000003,4.176400000000011,351.12,0.13953488372093023,pass,5.56,1.01860107112704,1.01860107112704,1.0186010711270375,1,1,1,1,IC50,1.01860107112704,2.4424906541753444e-15,0,Asterids (Basal)
LSHVYAFMTMFKBA-CTNGQTDRSA-N,Inflammation and Proteolysis,Flavan-3-ols,0,0,0,Simple,442.37600000000015,2.5276000000000005,177.14,0.13636363636363635,pass,6.91,2.29136109296951,2.29136109296951,2.2913610929695083,1,1,1,1,IC50,2.29136109296951,1.7763568394002505e-15,0,Asterids (Basal)
