inchikey,n_classifiable_domains,n_concordant_domains,n_active_only_domains,n_above_cutoff_only_domains,n_mixed_evidence_domains,any_active_only,any_above_cutoff_only,any_mixed_evidence
AAXMSKLPUMPSGN-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
ABOSSEFROBUJKH-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
ACAAVKGSTVOIQB-BASWHVEKSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
ACYJGXHSBCMABJ-RMRQORCVSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
ADFZZQAJJGHYDR-UHFFFAOYSA-N,3,2,0,2,1,FALSE,TRUE,TRUE
ADIMMCHZVYYGPW-MSOLQXFVSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
ADRQFDIWPRFKSP-RUDMXATFSA-N,4,4,1,3,0,TRUE,TRUE,FALSE
ADSYMQORONDIDD-ZJHVPRRPSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
ADVSBKKAOLGTQF-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
AEAIWNGAMDGGNB-UHFFFAOYSA-N,2,2,2,0,0,TRUE,FALSE,FALSE
AENXIAWIJGWYCP-AWEZNQCLSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
AETKQQBRKSELEL-ZHACJKMWSA-N,6,5,0,5,1,FALSE,TRUE,TRUE
AFCZAKZBCYSVSS-LSDHHAIUSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
AGFXXWXSPAYWMF-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
AHQPCANDOCWXDN-MDWZMJQESA-N,1,1,0,1,0,FALSE,TRUE,FALSE
AIONOLUJZLIMTK-AWEZNQCLSA-N,9,4,0,4,5,FALSE,TRUE,TRUE
AIONOLUJZLIMTK-UHFFFAOYSA-N,2,2,2,0,0,TRUE,FALSE,FALSE
AJERVVHSERWGFL-UXBLZVDNSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
AJYSQFRTOQQIHC-CUNXSJBXSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
AKZBEMDOKOHIFM-BIGSBDRZSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
AKZBEMDOKOHIFM-UMAWSMADSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
