inchikey,target_domain_macro,n_standard_types,standard_types,n_records,n_targets,n_assays,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean
AAXMSKLPUMPSGN-UHFFFAOYSA-N,Infectious Diseases,1,IC50,2,2,2,-1.38194374392416,-1.38194374392416,-1.3819437439241564,-3.552713678800501e-15,0
ABOSSEFROBUJKH-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,2,1,2,-1.05257179286889,-1.05257179286889,-1.052571792868895,4.884981308350689e-15,0
ACAAVKGSTVOIQB-BASWHVEKSA-N,Infectious Diseases,1,Ki,1,1,1,-0.251652797774716,-0.251652797774716,-0.2516527977747158,-2.220446049250313e-16,0
ADFZZQAJJGHYDR-UHFFFAOYSA-N,Cell Signaling and Survival,2,AC50;IC50,6,5,6,-0.011291945013727489,-0.011291945013727489,-0.39582156947088976,0.38452962445716227,0
ADIMMCHZVYYGPW-MSOLQXFVSA-N,Infectious Diseases,1,IC50,1,1,1,-0.276074784181471,-0.276074784181471,-0.2760747841814712,1.6653345369377348e-16,0
ADRQFDIWPRFKSP-RUDMXATFSA-N,Infectious Diseases,1,IC50,1,1,1,-1.04928397554627,-1.04928397554627,-1.0492839755462746,4.6629367034256575e-15,0
ADRQFDIWPRFKSP-RUDMXATFSA-N,Metabolic Enzymes,1,IC50,1,1,1,1.0875984045996,1.0875984045996,1.0875984045996032,-3.1086244689504383e-15,0
ADRQFDIWPRFKSP-RUDMXATFSA-N,Transporters and Ion Channels,1,IC50,2,1,2,-0.587583619371611,-0.587583619371611,-0.5875836193716106,-3.3306690738754696e-16,0
ADSYMQORONDIDD-ZJHVPRRPSA-N,Gene Regulation,1,IC50,1,1,1,-0.0344005225974473,-0.0344005225974473,-0.0344005225974473,0,0
ADVSBKKAOLGTQF-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,0.429634219632782,0.429634219632782,0.429634219632782,0,0
AEAIWNGAMDGGNB-UHFFFAOYSA-N,Cell Signaling and Survival,1,IC50,1,1,1,-0.0113834366006152,-0.0113834366006152,-0.01138343660061516,-3.9898639947466563e-17,0
AEAIWNGAMDGGNB-UHFFFAOYSA-N,Metabolic Enzymes,1,IC50,1,1,1,1.72875930693483,1.72875930693483,1.728759306934834,-3.9968028886505635e-15,0
AETKQQBRKSELEL-ZHACJKMWSA-N,Cell Signaling and Survival,1,IC50,2,2,2,-0.32956437182757,-0.32956437182757,-0.3295643718275701,1.1102230246251565e-16,0
AETKQQBRKSELEL-ZHACJKMWSA-N,General Assays and Safety,2,EC50;IC50,2,2,2,-0.4045801080966926,-0.4045801080966926,-0.40458010809669265,5.551115123125783e-17,0
AETKQQBRKSELEL-ZHACJKMWSA-N,Infectious Diseases,1,EC50,1,1,1,-0.827651935780319,-0.827651935780319,-0.8276519357803188,-2.220446049250313e-16,0
AETKQQBRKSELEL-ZHACJKMWSA-N,Metabolic Enzymes,1,IC50,1,1,1,-0.495676476677193,-0.495676476677193,-0.49567647667719295,-5.551115123125783e-17,0
AETKQQBRKSELEL-ZHACJKMWSA-N,Neuroscience Targets,1,IC50,2,2,2,-1.4734729409695,-1.4734729409695,-1.4734729409695029,2.886579864025407e-15,0
AETKQQBRKSELEL-ZHACJKMWSA-N,Phenotypic: Cancer and Cells,1,IC50,9,6,9,-1.11583668364641,-1.11583668364641,-1.1158366836464058,-4.218847493575595e-15,0
AGFXXWXSPAYWMF-UHFFFAOYSA-N,Infectious Diseases,2,IC50;Ki,3,3,3,1.413423921068551,1.413423921068551,1.6474423561520233,-0.2340184350834722,0
AHQPCANDOCWXDN-MDWZMJQESA-N,Cell Signaling and Survival,1,IC50,1,1,1,-0.34282191079536,-0.34282191079536,-0.34282191079535956,-4.440892098500626e-16,0
AIONOLUJZLIMTK-AWEZNQCLSA-N,Cell Signaling and Survival,1,IC50,1,1,1,-0.687517923957893,-0.687517923957893,-0.6875179239578935,4.440892098500626e-16,0
AIONOLUJZLIMTK-AWEZNQCLSA-N,Gene Regulation,1,IC50,2,2,2,-0.342887519464092,-0.342887519464092,-0.34288751946409196,-5.551115123125783e-17,0
AIONOLUJZLIMTK-AWEZNQCLSA-N,Infectious Diseases,2,IC50;Kd,4,3,4,-0.1855225701809125,-0.1855225701809125,-0.2083216658043076,0.022799095623395105,0
AIONOLUJZLIMTK-AWEZNQCLSA-N,Inflammation and Proteolysis,1,IC50,3,3,3,1.84668472649985,1.84668472649985,1.846684726499851,-8.881784197001252e-16,0
AIONOLUJZLIMTK-AWEZNQCLSA-N,Metabolic Enzymes,3,AC50;IC50;Ki,15,15,15,0.7368060693467436,0.806272702554553,0.5576597962412475,0.17914627310549613,0.06946663320780933
AIONOLUJZLIMTK-AWEZNQCLSA-N,Phenotypic: Cancer and Cells,1,IC50,6,4,6,-0.930560932083696,-0.930560932083696,-0.9305609320836962,2.220446049250313e-16,0
AIONOLUJZLIMTK-UHFFFAOYSA-N,Metabolic Enzymes,1,IC50,2,2,2,0.760475495244893,0.760475495244893,0.7604754952448933,-3.3306690738754696e-16,0
AIONOLUJZLIMTK-UHFFFAOYSA-N,Transporters and Ion Channels,1,IC50,1,1,1,3.82494615570222,3.82494615570222,3.8249461557022197,4.440892098500626e-16,0
AJERVVHSERWGFL-UXBLZVDNSA-N,Infectious Diseases,3,EC50;IC50;Ki,7,5,7,0.08828118854378934,0.312822913892886,-0.012463695588983787,0.10074488413277313,0.22454172534909667
AJYSQFRTOQQIHC-CUNXSJBXSA-N,General Assays and Safety,1,IC50,1,1,1,1.76811754055618,1.76811754055618,1.7681175405561786,1.3322676295501878e-15,0
AKZBEMDOKOHIFM-BIGSBDRZSA-N,Infectious Diseases,1,IC50,2,2,2,0.874748198314982,0.874748198314982,0.8747481983149823,-3.3306690738754696e-16,0
AKZBEMDOKOHIFM-UMAWSMADSA-N,General Assays and Safety,1,IC50,1,1,1,0.627886466134935,0.627886466134935,0.6278864661349353,-2.220446049250313e-16,0
ALFNTRJPGFNJQV-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,2.11067274600663,2.11067274600663,2.110672746006634,-3.9968028886505635e-15,0
ALGFNVZQNNGHPA-YRNVUSSQSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,-0.510301300490233,-0.510301300490233,-0.5103013004902331,1.1102230246251565e-16,0
AMJCTDBATIKENQ-YRDFTBLNSA-N,Cell Signaling and Survival,1,IC50,2,1,2,-0.607972690151155,-0.607972690151155,-0.6079726901511553,3.3306690738754696e-16,0
AMXXXMGWYLGBLR-UHFFFAOYSA-N,General Assays and Safety,1,IC50,2,1,2,0.955702900031043,0.955702900031043,0.9557029000310431,-1.1102230246251565e-16,0
AOJIJXJCNKMEET-UVTDQMKNSA-N,Phenotypic: Cancer and Cells,1,IC50,6,4,6,-0.103598431206236,-0.103598431206236,-0.10359843120623562,-3.885780586188048e-16,0
AOUGZVKCLQLQNU-HSZRJFAPSA-N,Gene Regulation,1,IC50,1,1,1,-1.5197082852887,-1.5197082852887,-1.5197082852886978,-2.220446049250313e-15,0
AOVQEAUIBICOLQ-UHFFFAOYSA-N,Cell Signaling and Survival,1,IC50,1,1,1,-1.1913044047339,-1.1913044047339,-1.1913044047339048,4.6629367034256575e-15,0
AOVQEAUIBICOLQ-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,2,1,2,0.935753345852865,0.935753345852865,0.9357533458528654,-4.440892098500626e-16,0
APPXYONGBIXGRO-AIQWNVMPSA-N,Infectious Diseases,1,IC50,2,2,2,1.63896658512903,1.63896658512903,1.6389665851290325,-2.4424906541753444e-15,0
APPXYONGBIXGRO-AIQWNVMPSA-N,Metabolic Enzymes,1,IC50,1,1,1,-0.0900440690773531,-0.0900440690773531,-0.09004406907735309,-1.3877787807814457e-17,0
APPXYONGBIXGRO-AIQWNVMPSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,-1.41408545445467,-1.41408545445467,-1.41408545445467,0,0
AQBZCCQCDWNNJQ-AUSIDOKSSA-N,Cell Signaling and Survival,1,IC50,1,1,1,0.810583979402351,0.810583979402351,0.810583979402351,0,0
AQBZCCQCDWNNJQ-AUSIDOKSSA-N,General Assays and Safety,1,IC50,1,1,1,2.78007261910503,2.78007261910503,2.7800726191050313,-1.3322676295501878e-15,0
AQBZCCQCDWNNJQ-AUSIDOKSSA-N,Infectious Diseases,1,IC50,2,1,2,-0.168185129572428,-0.168185129572428,-0.1681851295724279,-1.1102230246251565e-16,0
AQBZCCQCDWNNJQ-AUSIDOKSSA-N,Phenotypic: Cancer and Cells,1,IC50,12,8,12,1.87568886597588,1.87568886597588,1.8756888659758806,-6.661338147750939e-16,0
