inchikey,target_domain_macro,class_np,motif_methoxy,motif_prenyl,motif_sugar,motif_combination,mw,logp,tpsa,fsp3,structural_qc_status,median_pchembl,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,n_records,n_targets,n_assays,n_standard_types,standard_types,z_potency,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean
AAXMSKLPUMPSGN-UHFFFAOYSA-N,Infectious Diseases,Isoflavones,1,0,0,Methoxy,410.4660000000002,4.9580000000000055,67.13,0.2916666666666667,pass,4.225,-1.38194374392416,-1.38194374392416,-1.3819437439241564,2,2,2,1,IC50,-1.38194374392416,-3.552713678800501e-15,0
ABOSSEFROBUJKH-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,Isoflavones,1,0,0,Methoxy,326.3040000000001,3.2059000000000015,67.13,0.16666666666666666,pass,4.25,-1.05257179286889,-1.05257179286889,-1.052571792868895,2,1,2,1,IC50,-1.05257179286889,4.884981308350689e-15,0
ACAAVKGSTVOIQB-BASWHVEKSA-N,Infectious Diseases,Aurones,0,0,0,Simple,302.23800000000006,1.8307999999999995,127.45000000000002,0,pass,5.24,-0.251652797774716,-0.251652797774716,-0.2516527977747158,1,1,1,1,Ki,-0.251652797774716,-2.220446049250313e-16,0
ADFZZQAJJGHYDR-UHFFFAOYSA-N,Cell Signaling and Survival,Flavanones,0,1,0,Prenyl,340.3750000000001,4.018600000000003,86.99000000000001,0.25,pass,5.0375,-0.011291945013727489,-0.011291945013727489,-0.39582156947088976,6,5,6,2,AC50;IC50,-0.011291945013727489,0.38452962445716227,0
ADIMMCHZVYYGPW-MSOLQXFVSA-N,Infectious Diseases,Flavandiols (Leucoanthocyanidins),1,1,0,Methoxy+Prenyl,354.446,4.769700000000005,47.92,0.36363636363636365,pass,4.84,-0.276074784181471,-0.276074784181471,-0.2760747841814712,1,1,1,1,IC50,-0.276074784181471,1.6653345369377348e-16,0
ADRQFDIWPRFKSP-RUDMXATFSA-N,Infectious Diseases,Chalcones,1,0,0,Methoxy,270.284,3.0025000000000013,66.76,0.0625,pass,4.41,-1.04928397554627,-1.04928397554627,-1.0492839755462746,1,1,1,1,IC50,-1.04928397554627,4.6629367034256575e-15,0
ADRQFDIWPRFKSP-RUDMXATFSA-N,Metabolic Enzymes,Chalcones,1,0,0,Methoxy,270.284,3.0025000000000013,66.76,0.0625,pass,6.03,1.0875984045996,1.0875984045996,1.0875984045996032,1,1,1,1,IC50,1.0875984045996,-3.1086244689504383e-15,0
ADRQFDIWPRFKSP-RUDMXATFSA-N,Transporters and Ion Channels,Chalcones,1,0,0,Methoxy,270.284,3.0025000000000013,66.76,0.0625,pass,4.7,-0.587583619371611,-0.587583619371611,-0.5875836193716106,2,1,2,1,IC50,-0.587583619371611,-3.3306690738754696e-16,0
ADSYMQORONDIDD-ZJHVPRRPSA-N,Gene Regulation,Flavanones,1,0,1,Methoxy+Sugar,464.4230000000001,-0.00840000000000063,175.37,0.4090909090909091,pass,5.32,-0.0344005225974473,-0.0344005225974473,-0.0344005225974473,1,1,1,1,IC50,-0.0344005225974473,0,0
ADVSBKKAOLGTQF-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,Isoflavones,1,0,0,Methoxy,372.37300000000016,3.5030000000000028,76.36,0.25,pass,5.07,0.429634219632782,0.429634219632782,0.429634219632782,1,1,1,1,IC50,0.429634219632782,0,0
AEAIWNGAMDGGNB-UHFFFAOYSA-N,Cell Signaling and Survival,Pterocarpan,1,1,0,Methoxy+Prenyl,352.3860000000001,4.920700000000005,72.06,0.23809523809523808,pass,5.08,-0.0113834366006152,-0.0113834366006152,-0.01138343660061516,1,1,1,1,IC50,-0.0113834366006152,-3.9898639947466563e-17,0
