family,analysis_clade,n_compounds,n_mapped_compounds,n_primary_compounds,n_binary_evidence_compounds,n_concordant_binary_compounds,n_active_only_compounds_10um,n_above_cutoff_only_compounds_10um,n_mixed_evidence_compounds_10um,n_primary_records,n_targets_sum,median_compound_pchembl,mapped_fraction,primary_fraction,active_fraction_all_compounds_10um,active_rate_concordant_10um,mixed_evidence_fraction_binary,active_fraction_10um,n_active_compounds_10um
Acanthaceae,Asterids,26,4,3,3,2,1,1,2,12,17,5,0.15384615384615385,0.11538461538461539,0.038461538461538464,0.5,0.6666666666666666,0.5,1
Achariaceae,Rosids,3,3,3,3,3,0,3,3,89,201,5.25,1,1,0,0,1,0,0
Actinidiaceae,Asterids,29,23,18,18,17,7,16,11,509,660,4.744999999999999,0.7931034482758621,0.6206896551724138,0.2413793103448276,0.4117647058823529,0.6111111111111112,0.4117647058823529,7
Aizoaceae,Caryophyllales & Santalales,26,13,8,11,11,2,10,6,129,292,4.654999999999999,0.5,0.3076923076923077,0.07692307692307693,0.18181818181818182,0.5454545454545454,0.18181818181818182,2
Altingiaceae,Early eudicots & Saxifragales,4,3,3,3,3,1,3,3,103,189,4.68,0.75,0.75,0.25,0.3333333333333333,1,0.3333333333333333,1
Amaranthaceae,Caryophyllales & Santalales,33,11,7,8,8,3,8,3,56,111,4.58,0.3333333333333333,0.21212121212121213,0.09090909090909091,0.375,0.375,0.375,3
Amaryllidaceae,Monocots,76,26,17,22,21,6,21,9,306,346,4.7,0.34210526315789475,0.2236842105263158,0.07894736842105263,0.2857142857142857,0.4090909090909091,0.2857142857142857,6
Anacardiaceae,Rosids,80,33,19,20,19,10,15,10,545,1048,5.22,0.4125,0.2375,0.125,0.5263157894736842,0.5,0.5263157894736842,10
Annonaceae,Early angiosperms & magnoliids,209,70,49,54,50,21,41,24,683,970,4.9,0.3349282296650718,0.23444976076555024,0.10047846889952153,0.42,0.4444444444444444,0.42,21
Apiaceae,Asterids,103,42,34,37,32,15,29,20,656,866,4.895,0.4077669902912621,0.3300970873786408,0.14563106796116504,0.46875,0.5405405405405406,0.46875,15
Apocynaceae,Asterids,89,34,25,28,27,12,25,13,328,551,4.98,0.38202247191011235,0.2808988764044944,0.1348314606741573,0.4444444444444444,0.4642857142857143,0.4444444444444444,12
Aquifoliaceae,Asterids,5,1,1,1,1,0,1,1,27,29,4.84,0.2,0.2,0,0,1,0,0
Araceae,Monocots,2,2,2,2,2,0,2,2,74,181,4.965,1,1,0,0,1,0,0
Araliaceae,Asterids,12,2,1,1,1,1,1,1,8,7,5.065,0.16666666666666666,0.08333333333333333,0.08333333333333333,1,1,1,1
Araucariaceae,Gymnosperms,5,3,2,3,3,1,3,0,7,76,4.7225,0.6,0.4,0.2,0.3333333333333333,0,0.3333333333333333,1
Arecaceae,Monocots,43,12,9,9,9,2,9,5,112,287,4.64,0.27906976744186046,0.20930232558139536,0.046511627906976744,0.2222222222222222,0.5555555555555556,0.2222222222222222,2
Aristolochiaceae,Early angiosperms & magnoliids,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Asparagaceae,Monocots,158,55,24,42,41,8,40,6,216,365,4.609999999999999,0.34810126582278483,0.1518987341772152,0.05063291139240506,0.1951219512195122,0.14285714285714285,0.1951219512195122,8
Asphodelaceae,Monocots,34,12,9,10,9,6,6,4,220,228,4.81,0.35294117647058826,0.2647058823529412,0.17647058823529413,0.6666666666666666,0.4,0.6666666666666666,6
Aspleniaceae,Non-seed vascular plants,5,1,1,1,1,1,1,1,8,10,4.985,0.2,0.2,0.2,1,1,1,1
Asteraceae,Asterids,716,168,104,115,108,46,98,49,1516,2042,4.795,0.2346368715083799,0.1452513966480447,0.06424581005586592,0.42592592592592593,0.4260869565217391,0.42592592592592593,46
Athyriaceae,Non-seed vascular plants,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Balanophoraceae,Caryophyllales & Santalales,43,10,9,10,9,6,8,4,63,66,4.68,0.23255813953488372,0.20930232558139536,0.13953488372093023,0.6666666666666666,0.4,0.6666666666666666,6
Balsaminaceae,Asterids,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Basellaceae,Caryophyllales & Santalales,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Begoniaceae,Rosids,16,12,7,9,9,4,9,5,113,221,5.05,0.75,0.4375,0.25,0.4444444444444444,0.5555555555555556,0.4444444444444444,4
Berberidaceae,Early eudicots & Saxifragales,12,7,5,5,5,3,5,2,277,225,4.96,0.5833333333333334,0.4166666666666667,0.25,0.6,0.4,0.6,3
Betulaceae,Rosids,48,30,24,27,25,9,24,17,608,755,4.6899999999999995,0.625,0.5,0.1875,0.36,0.6296296296296297,0.36,9
Bignoniaceae,Asterids,23,10,5,6,6,4,2,0,14,12,5.18,0.43478260869565216,0.21739130434782608,0.17391304347826086,0.6666666666666666,0,0.6666666666666666,4
Bixaceae,Rosids,1,1,1,1,1,0,1,1,61,62,4.87,1,1,0,0,1,0,0
Blechnaceae,Non-seed vascular plants,10,6,4,5,5,0,5,3,92,206,4.965,0.6,0.4,0,0,0.6,0,0
Bonnetiaceae,Rosids,2,2,2,2,1,1,1,1,9,11,4.789999999999999,1,1,0.5,1,0.5,1,1
Boraginaceae,Asterids,6,3,1,2,2,0,2,0,1,2,4.72,0.5,0.16666666666666666,0,0,0,0,0
Brassicaceae,Rosids,51,26,18,18,17,8,16,13,367,446,4.82,0.5098039215686274,0.35294117647058826,0.1568627450980392,0.47058823529411764,0.7222222222222222,0.47058823529411764,8
Bromeliaceae,Monocots,24,14,14,14,13,6,12,8,422,510,4.615,0.5833333333333334,0.5833333333333334,0.25,0.46153846153846156,0.5714285714285714,0.46153846153846156,6
Burseraceae,Rosids,20,12,7,7,7,4,6,1,63,238,4.68,0.6,0.35,0.2,0.5714285714285714,0.14285714285714285,0.5714285714285714,4
Cactaceae,Caryophyllales & Santalales,20,4,3,3,3,0,3,2,57,54,4.645,0.2,0.15,0,0,0.6666666666666666,0,0
Calceolariaceae,Asterids,3,3,3,3,3,2,3,1,46,43,4.81,1,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,2
Calophyllaceae,Rosids,19,13,9,9,9,3,7,5,106,218,5.16,0.6842105263157895,0.47368421052631576,0.15789473684210525,0.3333333333333333,0.5555555555555556,0.3333333333333333,3
Campanulaceae,Asterids,10,5,4,5,5,1,5,2,60,57,4.5725,0.5,0.4,0.1,0.2,0.4,0.2,1
Cannabaceae,Rosids,77,33,30,31,31,20,24,13,229,393,4.99,0.42857142857142855,0.38961038961038963,0.2597402597402597,0.6451612903225806,0.41935483870967744,0.6451612903225806,20
Capparaceae,Rosids,2,2,2,2,2,1,2,2,10,8,4.6625,1,1,0.5,0.5,1,0.5,1
Caprifoliaceae,Asterids,7,3,3,3,3,1,3,3,45,48,4.78,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.3333333333333333,1,0.3333333333333333,1
Caryophyllaceae,Caryophyllales & Santalales,16,8,4,5,5,1,5,3,42,45,4.5725,0.5,0.25,0.0625,0.2,0.6,0.2,1
Casuarinaceae,Rosids,2,2,1,1,1,1,1,0,6,64,4.51,1,0.5,0.5,1,0,1,1
Celastraceae,Rosids,57,24,15,15,14,7,14,10,225,506,4.81,0.42105263157894735,0.2631578947368421,0.12280701754385964,0.5,0.6666666666666666,0.5,7
Cephalotaxaceae,Gymnosperms,10,7,5,5,4,0,4,4,95,220,5.25,0.7,0.5,0,0,0.8,0,0
Cercidiphyllaceae,Early eudicots & Saxifragales,6,5,4,4,4,1,4,3,66,66,4.7225,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.25,0.75,0.25,1
Chloranthaceae,Early angiosperms & magnoliids,30,15,5,8,8,1,7,1,14,33,4.96,0.5,0.16666666666666666,0.03333333333333333,0.125,0.125,0.125,1
Chrysobalanaceae,Rosids,15,7,6,6,6,2,6,4,109,279,4.66,0.4666666666666667,0.4,0.13333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,2
Cistaceae,Rosids,9,7,7,7,7,4,7,4,133,348,4.68,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.5714285714285714,0.5714285714285714,0.5714285714285714,4
Cleomaceae,Rosids,2,2,2,2,2,0,2,1,21,19,4.5,1,1,0,0,0.5,0,0
Clusiaceae,Rosids,125,42,21,24,23,10,20,12,211,280,4.98,0.336,0.168,0.08,0.43478260869565216,0.5,0.43478260869565216,10
Combretaceae,Rosids,71,36,23,23,21,10,20,11,544,690,4.63,0.5070422535211268,0.323943661971831,0.14084507042253522,0.47619047619047616,0.4782608695652174,0.47619047619047616,10
Convolvulaceae,Asterids,39,17,13,16,14,6,12,7,155,144,4.74,0.4358974358974359,0.3333333333333333,0.15384615384615385,0.42857142857142855,0.4375,0.42857142857142855,6
Cordiaceae,Asterids,9,2,1,1,1,1,0,0,1,46,5.89,0.2222222222222222,0.1111111111111111,0.1111111111111111,1,0,1,1
Coriariaceae,Rosids,2,1,1,1,1,1,1,0,7,9,4.43,0.5,0.5,0.5,1,0,1,1
Cornaceae,Asterids,5,3,3,3,3,1,3,2,52,218,4.51,0.6,0.6,0.2,0.3333333333333333,0.6666666666666666,0.3333333333333333,1
Crassulaceae,Early eudicots & Saxifragales,39,27,19,20,18,8,17,13,578,799,4.85,0.6923076923076923,0.48717948717948717,0.20512820512820512,0.4444444444444444,0.65,0.4444444444444444,8
Cucurbitaceae,Rosids,19,14,14,14,13,6,13,9,463,545,4.6625,0.7368421052631579,0.7368421052631579,0.3157894736842105,0.46153846153846156,0.6428571428571429,0.46153846153846156,6
Cunoniaceae,Rosids,2,1,0,0,0,0,0,0,0,0,,0.5,0,0,0,0,0,0
Cupressaceae,Gymnosperms,50,28,15,16,16,6,15,8,188,413,4.645,0.56,0.3,0.12,0.375,0.5,0.375,6
Cyatheaceae,Non-seed vascular plants,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Cycadaceae,Gymnosperms,20,8,7,7,7,4,6,4,144,260,5.16,0.4,0.35,0.2,0.5714285714285714,0.5714285714285714,0.5714285714285714,4
Cynomoriaceae,Early eudicots & Saxifragales,6,4,4,4,4,2,4,3,93,168,4.5975,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.75,0.5,2
Cyperaceae,Monocots,69,24,17,17,17,6,14,11,282,423,4.84,0.34782608695652173,0.2463768115942029,0.08695652173913043,0.35294117647058826,0.6470588235294118,0.35294117647058826,6
Daphniphyllaceae,Early eudicots & Saxifragales,6,2,1,1,1,1,1,1,8,10,4.985,0.3333333333333333,0.16666666666666666,0.16666666666666666,1,1,1,1
Davalliaceae,Non-seed vascular plants,28,4,4,4,3,1,3,3,42,42,4.9625,0.14285714285714285,0.14285714285714285,0.03571428571428571,0.3333333333333333,0.75,0.3333333333333333,1
Dennstaedtiaceae,Non-seed vascular plants,5,1,1,1,1,0,1,1,18,15,4.63,0.2,0.2,0,0,1,0,0
Diapensiaceae,Asterids,2,2,2,2,2,0,2,2,74,181,4.965,1,1,0,0,1,0,0
Didiereaceae,Caryophyllales & Santalales,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Dilleniaceae,Early eudicots & Saxifragales,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Dioscoreaceae,Monocots,30,12,9,9,9,4,8,6,132,298,4.85,0.4,0.3,0.13333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,4
Dipterocarpaceae,Rosids,22,4,2,2,2,1,1,0,2,2,5.01,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.5,0,0.5,1
