family,fine_clade,analysis_clade,class_np,n_compounds_class,n_compounds_structural,class_prevalence
Acanthaceae,Asterids (Lamiids),Asterids,Chalcones,8,26,0.3076923076923077
Acanthaceae,Asterids (Lamiids),Asterids,Flavanones,18,26,0.6923076923076923
Achariaceae,Rosids (Fabids),Rosids,Flavan-3-ols,3,3,1
Actinidiaceae,Asterids (Basal),Asterids,Chalcones,1,29,0.034482758620689655
Actinidiaceae,Asterids (Basal),Asterids,Flavan-3-ols,13,29,0.4482758620689655
Actinidiaceae,Asterids (Basal),Asterids,Flavanones,2,29,0.06896551724137931
Actinidiaceae,Asterids (Basal),Asterids,Proanthocyanins,13,29,0.4482758620689655
Aizoaceae,Caryophyllales,Caryophyllales & Santalales,Chalcones,7,26,0.2692307692307692
Aizoaceae,Caryophyllales,Caryophyllales & Santalales,Dihydroflavonols,4,26,0.15384615384615385
Aizoaceae,Caryophyllales,Caryophyllales & Santalales,Flavan-3-ols,5,26,0.19230769230769232
Aizoaceae,Caryophyllales,Caryophyllales & Santalales,Flavanones,3,26,0.11538461538461539
Aizoaceae,Caryophyllales,Caryophyllales & Santalales,Proanthocyanins,7,26,0.2692307692307692
Altingiaceae,Saxifragales,Early eudicots & Saxifragales,Flavan-3-ols,2,4,0.5
Altingiaceae,Saxifragales,Early eudicots & Saxifragales,Flavanones,1,4,0.25
Altingiaceae,Saxifragales,Early eudicots & Saxifragales,Proanthocyanins,1,4,0.25
Amaranthaceae,Caryophyllales,Caryophyllales & Santalales,Coumestan,1,33,0.030303030303030304
Amaranthaceae,Caryophyllales,Caryophyllales & Santalales,Dihydroflavonols,5,33,0.15151515151515152
Amaranthaceae,Caryophyllales,Caryophyllales & Santalales,Flavanones,14,33,0.42424242424242425
Amaranthaceae,Caryophyllales,Caryophyllales & Santalales,Isoflavones,13,33,0.3939393939393939
Amaryllidaceae,Monocots,Monocots,Chalcones,16,76,0.21052631578947367
Amaryllidaceae,Monocots,Monocots,Dihydroflavonols,6,76,0.07894736842105263
Amaryllidaceae,Monocots,Monocots,Flavan-3-ols,10,76,0.13157894736842105
Amaryllidaceae,Monocots,Monocots,Flavandiols (Leucoanthocyanidins),2,76,0.02631578947368421
Amaryllidaceae,Monocots,Monocots,Flavanones,13,76,0.17105263157894737
Amaryllidaceae,Monocots,Monocots,Flavans,27,76,0.35526315789473684
Amaryllidaceae,Monocots,Monocots,Isoflavanones,2,76,0.02631578947368421
Anacardiaceae,Rosids (Malvids),Rosids,Anthocyanidins,1,80,0.0125
Anacardiaceae,Rosids (Malvids),Rosids,Aurones,12,80,0.15
Anacardiaceae,Rosids (Malvids),Rosids,Chalcones,16,80,0.2
Anacardiaceae,Rosids (Malvids),Rosids,Dihydroflavonols,13,80,0.1625
Anacardiaceae,Rosids (Malvids),Rosids,Flavan-3-ols,14,80,0.175
Anacardiaceae,Rosids (Malvids),Rosids,Flavandiols (Leucoanthocyanidins),1,80,0.0125
Anacardiaceae,Rosids (Malvids),Rosids,Flavanones,20,80,0.25
Anacardiaceae,Rosids (Malvids),Rosids,Isoflavones,1,80,0.0125
Anacardiaceae,Rosids (Malvids),Rosids,Proanthocyanins,2,80,0.025
Annonaceae,Magnoliids,Early angiosperms & magnoliids,Aurones,2,209,0.009569377990430622
Annonaceae,Magnoliids,Early angiosperms & magnoliids,Chalcones,92,209,0.44019138755980863
Annonaceae,Magnoliids,Early angiosperms & magnoliids,Dihydroflavonols,13,209,0.06220095693779904
Annonaceae,Magnoliids,Early angiosperms & magnoliids,Flavan-3-ols,8,209,0.03827751196172249
Annonaceae,Magnoliids,Early angiosperms & magnoliids,Flavanones,82,209,0.3923444976076555
Annonaceae,Magnoliids,Early angiosperms & magnoliids,Isoflavones,3,209,0.014354066985645933
Annonaceae,Magnoliids,Early angiosperms & magnoliids,Proanthocyanins,9,209,0.0430622009569378
Apiaceae,Asterids (Campanulids),Asterids,Anthocyanidins,1,103,0.009708737864077669
Apiaceae,Asterids (Campanulids),Asterids,Chalcones,51,103,0.49514563106796117
Apiaceae,Asterids (Campanulids),Asterids,Dihydroflavonols,10,103,0.0970873786407767
Apiaceae,Asterids (Campanulids),Asterids,Flavan-3-ols,6,103,0.05825242718446602
Apiaceae,Asterids (Campanulids),Asterids,Flavanones,24,103,0.23300970873786409
Apiaceae,Asterids (Campanulids),Asterids,Isoflavones,2,103,0.019417475728155338
Apiaceae,Asterids (Campanulids),Asterids,Proanthocyanins,9,103,0.08737864077669903
Apocynaceae,Asterids (Lamiids),Asterids,Anthocyanidins,3,89,0.033707865168539325
Apocynaceae,Asterids (Lamiids),Asterids,Chalcones,1,89,0.011235955056179775
Apocynaceae,Asterids (Lamiids),Asterids,Dihydroflavonols,8,89,0.0898876404494382
Apocynaceae,Asterids (Lamiids),Asterids,Flavan-3-ols,14,89,0.15730337078651685
Apocynaceae,Asterids (Lamiids),Asterids,Flavanones,14,89,0.15730337078651685
Apocynaceae,Asterids (Lamiids),Asterids,Isoflavones,7,89,0.07865168539325842
Apocynaceae,Asterids (Lamiids),Asterids,Proanthocyanins,28,89,0.3146067415730337
Apocynaceae,Asterids (Lamiids),Asterids,Rotenoids,14,89,0.15730337078651685
Aquifoliaceae,Asterids (Campanulids),Asterids,Flavanones,3,5,0.6
Aquifoliaceae,Asterids (Campanulids),Asterids,Flavans,2,5,0.4
Araceae,Monocots,Monocots,Flavan-3-ols,2,2,1
Araliaceae,Asterids (Campanulids),Asterids,Anthocyanidins,2,12,0.16666666666666666
Araliaceae,Asterids (Campanulids),Asterids,Chalcones,4,12,0.3333333333333333
Araliaceae,Asterids (Campanulids),Asterids,Dihydroflavonols,2,12,0.16666666666666666
Araliaceae,Asterids (Campanulids),Asterids,Isoflavones,4,12,0.3333333333333333
Araucariaceae,Gymnosperms,Gymnosperms,Chalcones,2,5,0.4
Araucariaceae,Gymnosperms,Gymnosperms,Isoflavones,3,5,0.6
Arecaceae,Monocots (Commelinids),Monocots,Chalcones,2,43,0.046511627906976744
Arecaceae,Monocots (Commelinids),Monocots,Dihydroflavonols,2,43,0.046511627906976744
Arecaceae,Monocots (Commelinids),Monocots,Flavan-3-ols,4,43,0.09302325581395349
Arecaceae,Monocots (Commelinids),Monocots,Flavandiols (Leucoanthocyanidins),1,43,0.023255813953488372
Arecaceae,Monocots (Commelinids),Monocots,Flavans,18,43,0.4186046511627907
Arecaceae,Monocots (Commelinids),Monocots,Proanthocyanins,16,43,0.37209302325581395
Aristolochiaceae,Magnoliids,Early angiosperms & magnoliids,Chalcones,11,13,0.8461538461538461
Aristolochiaceae,Magnoliids,Early angiosperms & magnoliids,Dihydroflavonols,2,13,0.15384615384615385
Asparagaceae,Monocots,Monocots,Anthocyanidins,2,158,0.012658227848101266
Asparagaceae,Monocots,Monocots,Aurones,5,158,0.03164556962025317
Asparagaceae,Monocots,Monocots,Chalcones,32,158,0.20253164556962025
Asparagaceae,Monocots,Monocots,Flavan-3-ols,8,158,0.05063291139240506
Asparagaceae,Monocots,Monocots,Flavandiols (Leucoanthocyanidins),1,158,0.006329113924050633
Asparagaceae,Monocots,Monocots,Flavanones,11,158,0.06962025316455696
Asparagaceae,Monocots,Monocots,Flavans,29,158,0.18354430379746836
Asparagaceae,Monocots,Monocots,Flavonolignans,2,158,0.012658227848101266
Asparagaceae,Monocots,Monocots,Isoflavanones,51,158,0.3227848101265823
Asparagaceae,Monocots,Monocots,Isoflavones,4,158,0.02531645569620253
Asparagaceae,Monocots,Monocots,Proanthocyanins,2,158,0.012658227848101266
Asparagaceae,Monocots,Monocots,Rotenoids,11,158,0.06962025316455696
Asphodelaceae,Monocots,Monocots,Anthocyanidins,4,34,0.11764705882352941
Asphodelaceae,Monocots,Monocots,Chalcones,11,34,0.3235294117647059
Asphodelaceae,Monocots,Monocots,Flavanones,15,34,0.4411764705882353
Asphodelaceae,Monocots,Monocots,Flavans,2,34,0.058823529411764705
Asphodelaceae,Monocots,Monocots,Isoflavones,2,34,0.058823529411764705
Aspleniaceae,Ferns,Non-seed vascular plants,Dihydroflavonols,1,5,0.2
Aspleniaceae,Ferns,Non-seed vascular plants,Flavanones,4,5,0.8
Asteraceae,Asterids (Campanulids),Asterids,2-arylbenzofurans,2,716,0.002793296089385475
Asteraceae,Asterids (Campanulids),Asterids,Anthocyanidins,2,716,0.002793296089385475
Asteraceae,Asterids (Campanulids),Asterids,Aurones,45,716,0.06284916201117319
Asteraceae,Asterids (Campanulids),Asterids,Chalcones,217,716,0.30307262569832405
Asteraceae,Asterids (Campanulids),Asterids,Coumestan,4,716,0.00558659217877095
Asteraceae,Asterids (Campanulids),Asterids,Dihydroflavonols,124,716,0.17318435754189945
Asteraceae,Asterids (Campanulids),Asterids,Flavan-3-ols,18,716,0.025139664804469275
Asteraceae,Asterids (Campanulids),Asterids,Flavandiols (Leucoanthocyanidins),21,716,0.029329608938547486
Asteraceae,Asterids (Campanulids),Asterids,Flavanones,241,716,0.3365921787709497
Asteraceae,Asterids (Campanulids),Asterids,Flavonolignans,1,716,0.0013966480446927375
Asteraceae,Asterids (Campanulids),Asterids,Isoflavones,23,716,0.03212290502793296
Asteraceae,Asterids (Campanulids),Asterids,Neoflavonoids,4,716,0.00558659217877095
Asteraceae,Asterids (Campanulids),Asterids,Proanthocyanins,9,716,0.012569832402234637
Asteraceae,Asterids (Campanulids),Asterids,Pterocarpan,3,716,0.004189944134078212
Asteraceae,Asterids (Campanulids),Asterids,Rotenoids,2,716,0.002793296089385475
Athyriaceae,Ferns,Non-seed vascular plants,Flavanones,2,2,1
Balanophoraceae,Santalales,Caryophyllales & Santalales,Chalcones,29,43,0.6744186046511628
Balanophoraceae,Santalales,Caryophyllales & Santalales,Flavanones,12,43,0.27906976744186046
Balanophoraceae,Santalales,Caryophyllales & Santalales,Rotenoids,2,43,0.046511627906976744
Balsaminaceae,Asterids (Basal),Asterids,Neoflavonoids,1,1,1
Basellaceae,Caryophyllales,Caryophyllales & Santalales,Chalcones,1,1,1
Begoniaceae,Rosids (Fabids),Rosids,Anthocyanidins,2,16,0.125
Begoniaceae,Rosids (Fabids),Rosids,Chalcones,3,16,0.1875
Begoniaceae,Rosids (Fabids),Rosids,Flavan-3-ols,7,16,0.4375
Begoniaceae,Rosids (Fabids),Rosids,Isoflavones,2,16,0.125
Begoniaceae,Rosids (Fabids),Rosids,Proanthocyanins,2,16,0.125
Berberidaceae,Basal Eudicots,Early eudicots & Saxifragales,Anthocyanidins,2,12,0.16666666666666666
