family,fine_clade,analysis_clade,n_compounds_structural,n_scaffolds,median_mw,median_logp,median_tpsa,median_fsp3,prevalence_phenolic,prevalence_methoxy,prevalence_prenyl,prevalence_sugar,prevalence_enone,n_occurrence_rows,n_compounds,n_species,n_genera,n_references,n_classes,rarefied_scaffolds_5,rarefied_scaffolds_10,rarefied_scaffolds_20,n_exclusive_scaffolds,novelty_ratio,exclusive_scaffold_share,expected_scaffolds,effort_adjusted_novelty,effort_adjusted_novelty_z
Acanthaceae,Asterids (Lamiids),Asterids,26,5,344.36300000000017,3.1159000000000017,73.33500000000001,0.2857142857142857,0.5769230769230769,0.9230769230769231,0,0.2692307692307692,0.3076923076923077,40,26,8,2,13,2,2.7887959866220693,3.9244126448326218,4.898996655518395,0,0.19230769230769232,0,7.125498845164508,-0.30324765343100824,-0.9054906347673276
Achariaceae,Rosids (Fabids),Rosids,3,1,290.271,1.5460999999999998,110.38000000000001,0.2,1,0,0,0,0,3,3,1,1,1,1,,,,0,0.3333333333333333,0,1.554473191138598,-0.24469883441488138,-0.7306651853501183
Actinidiaceae,Asterids (Basal),Asterids,29,7,458.37500000000017,2.5099000000000014,180.29999999999998,0.2,1,0,0,0.034482758620689655,0,50,29,2,1,8,4,3.4245042314007916,4.899639740569281,6.418340080708899,0,0.2413793103448276,0,7.780183396934374,-0.09305575378256536,-0.2778623762063111
Aizoaceae,Caryophyllales,Caryophyllales & Santalales,26,9,332.30800000000005,2.604700000000001,110.38000000000001,0.2,1,0.2692307692307692,0,0.11538461538461539,0.2692307692307692,27,26,4,4,4,5,4.007509881422916,6.337792642140473,8.568227424749164,0,0.34615384615384615,0,7.125498845164508,0.2075779703349827,0.6198231247487586
Altingiaceae,Saxifragales,Early eudicots & Saxifragales,4,4,466.4860000000002,2.7613000000000016,143.76,0.2,1,0,0.25,0,0,4,4,2,1,2,3,,,,0,1,0,1.8653537346159381,0.5567461023091576,1.6624312698889434
Amaranthaceae,Caryophyllales,Caryophyllales & Santalales,33,10,314.2930000000001,2.585400000000001,86.99000000000001,0.1875,0.7272727272727273,0.696969696969697,0,0.21212121212121213,0,47,33,19,12,18,4,3.7176197458455587,5.683614931292905,7.949564770400723,2,0.30303030303030304,0.2,8.641311534227079,0.13183812216168178,0.39366565106784124
Amaryllidaceae,Monocots,Monocots,76,13,272.30000000000007,3.1030000000000015,58.92,0.25,0.9605263157894737,0.47368421052631576,0.02631578947368421,0.11842105263157894,0.13157894736842105,103,76,15,8,22,7,3.3250352912393213,5.064272864222948,7.489090875325509,2,0.17105263157894737,0.15384615384615385,17.231253778480244,-0.2640800322715591,-0.7885370038167605
Anacardiaceae,Rosids (Malvids),Rosids,80,23,510.4980000000002,2.6702500000000002,155.51999999999998,0.13333333333333333,0.9125,0.2125,0,0.1375,0.3375,150,80,22,14,36,9,4.380002242927025,7.6081889187370155,12.18398380737172,9,0.2875,0.391304347826087,17.980341411302305,0.23465004937734957,0.7006597404956343
Annonaceae,Magnoliids,Early angiosperms & magnoliids,209,45,328.3640000000001,3.124500000000001,85.22,0.20833333333333334,0.8708133971291866,0.5741626794258373,0.11483253588516747,0.04784688995215311,0.28708133971291866,379,209,47,13,76,7,4.1154148598535,7.057527169745994,11.765371272580724,20,0.215311004784689,0.4444444444444444,39.627030159001194,0.12420778394316478,0.37088163371831784
Apiaceae,Asterids (Campanulids),Asterids,103,19,408.4940000000001,4.1674000000000015,96.22000000000001,0.2692307692307692,1,0.27184466019417475,0.6310679611650486,0.05825242718446602,0.4854368932038835,194,103,13,13,29,7,3.733604953870584,5.920350661490474,9.089989585914962,3,0.18446601941747573,0.15789473684210525,22.163365435275896,-0.14683968099794686,-0.43845996647131025
