target_domain_macro,motif_combination,n_concordant_compounds,n_active,n_above_cutoff,n_mixed_excluded,n_indeterminate,n_compounds,active_rate,ci_low,ci_high,binary_rule
Cell Signaling and Survival,Methoxy,39,11,28,4,1,39,0.28205128205128205,0.16543325013943294,0.43775617322477384,concordant_only
Cell Signaling and Survival,Methoxy+Prenyl,30,9,21,2,0,30,0.3,0.16664562643958933,0.4787612101166018,concordant_only
Cell Signaling and Survival,Methoxy+Sugar,3,2,1,0,0,3,0.6666666666666666,0.2076549551264879,0.9385096847238394,concordant_only
Cell Signaling and Survival,Prenyl,63,31,32,14,0,63,0.49206349206349204,0.3726660281435346,0.6123732288461243,concordant_only
Cell Signaling and Survival,Simple,55,21,34,21,1,55,0.38181818181818183,0.26515766317415235,0.513910207176076,concordant_only
Cell Signaling and Survival,Sugar,9,4,5,2,0,9,0.4444444444444444,0.188775429471914,0.7333526542559703,concordant_only
Gene Regulation,Methoxy,15,8,7,1,0,15,0.5333333333333333,0.3011663015105079,0.7519077474025355,concordant_only
Gene Regulation,Methoxy+Prenyl,3,3,0,0,0,3,1,0.43849391955098227,1,concordant_only
Gene Regulation,Methoxy+Sugar,2,1,1,0,0,2,0.5,0.09452865480086614,0.9054713451991339,concordant_only
Gene Regulation,Prenyl,14,8,6,0,0,14,0.5714285714285714,0.32590266902869364,0.7861949006959947,concordant_only
Gene Regulation,Simple,17,9,8,11,0,17,0.5294117647058824,0.30962897311549487,0.738351988039119,concordant_only
General Assays and Safety,Methoxy,48,13,35,3,1,48,0.2708333333333333,0.16565803561632889,0.40997234616201117,concordant_only
General Assays and Safety,Methoxy+Prenyl,29,18,11,1,0,29,0.6206896551724138,0.44002226209284956,0.7731220426913266,concordant_only
General Assays and Safety,Methoxy+Sugar,1,0,1,1,0,1,0,0,0.7934567085261071,concordant_only
General Assays and Safety,Prenyl,61,44,17,4,0,61,0.7213114754098361,0.5982833136872678,0.8181160348790846,concordant_only
General Assays and Safety,Simple,57,20,37,22,0,57,0.3508771929824561,0.24000246078174026,0.48058345411859105,concordant_only
General Assays and Safety,Sugar,7,2,5,1,0,7,0.2857142857142857,0.0822171657090155,0.6410709098517873,concordant_only
Infectious Diseases,Methoxy,89,17,72,20,1,89,0.19101123595505617,0.12281855332766228,0.2847745945715553,concordant_only
Infectious Diseases,Methoxy+Prenyl,35,13,22,11,0,35,0.37142857142857144,0.23165607368891059,0.5366335951197893,concordant_only
Infectious Diseases,Methoxy+Sugar,4,1,3,0,0,4,0.25,0.045586062644636216,0.6993639475573634,concordant_only
Infectious Diseases,Prenyl,52,31,21,13,0,52,0.5961538461538461,0.4606733176249609,0.7184046457571771,concordant_only
Infectious Diseases,Simple,97,23,74,44,4,97,0.23711340206185566,0.16351360857927175,0.3307427300746171,concordant_only
Infectious Diseases,Sugar,8,2,6,0,0,8,0.25,0.07147768885802763,0.5907301208974108,concordant_only
Inflammation and Proteolysis,Methoxy,53,10,43,5,0,53,0.18867924528301888,0.10585211943149554,0.31358716447325025,concordant_only
Inflammation and Proteolysis,Methoxy+Prenyl,9,5,4,3,0,9,0.5555555555555556,0.2666473457440297,0.811224570528086,concordant_only
Inflammation and Proteolysis,Methoxy+Sugar,2,0,2,0,0,2,0,0,0.6576280471103807,concordant_only
Inflammation and Proteolysis,Prenyl,17,7,10,5,0,17,0.4117647058823529,0.21610786039131383,0.6399492561448447,concordant_only
Inflammation and Proteolysis,Simple,49,13,36,23,1,49,0.2653061224489796,0.1621113124514944,0.4026255615265835,concordant_only
Inflammation and Proteolysis,Sugar,5,1,4,1,0,5,0.2,0.03622316096978745,0.6244717358814613,concordant_only
Metabolic Enzymes,Methoxy,42,24,18,16,2,42,0.5714285714285714,0.42205977911874476,0.7088257048085178,concordant_only
Metabolic Enzymes,Methoxy+Prenyl,16,12,4,7,0,16,0.75,0.5050123107060135,0.8981809801576265,concordant_only
Metabolic Enzymes,Methoxy+Sugar,0,0,0,0,1,0,,,,concordant_only
Metabolic Enzymes,Prenyl,39,22,17,10,0,39,0.5641025641025641,0.40975423474522105,0.7069547583829534,concordant_only
Metabolic Enzymes,Simple,67,31,36,32,0,67,0.4626865671641791,0.34858248875358616,0.5808375130532616,concordant_only
Metabolic Enzymes,Sugar,8,3,5,2,0,8,0.375,0.13684175946152105,0.6942621454161981,concordant_only
Neuroscience Targets,Methoxy,14,9,5,1,0,14,0.6428571428571429,0.3876400468214042,0.8365550926279727,concordant_only
Neuroscience Targets,Methoxy+Prenyl,14,3,11,4,0,14,0.21428571428571427,0.0757124833691637,0.4758972377320828,concordant_only
Neuroscience Targets,Methoxy+Sugar,1,1,0,1,0,1,1,0.20654329147389294,1,concordant_only
Neuroscience Targets,Prenyl,13,9,4,2,0,13,0.6923076923076923,0.4236888781333764,0.8731950283838191,concordant_only
Neuroscience Targets,Simple,38,15,23,15,0,38,0.39473684210526316,0.25597859263618905,0.5528241300130403,concordant_only
Phenotypic: Cancer and Cells,Methoxy,181,34,147,40,22,181,0.1878453038674033,0.13765164482981987,0.25101411006518215,concordant_only
Phenotypic: Cancer and Cells,Methoxy+Prenyl,71,25,46,13,3,71,0.352112676056338,0.25122584561603256,0.4681815427882774,concordant_only
Phenotypic: Cancer and Cells,Methoxy+Sugar,17,2,15,0,2,17,0.11764705882352941,0.03287908001292092,0.3433684249770991,concordant_only
Phenotypic: Cancer and Cells,Prenyl,89,26,63,31,5,89,0.29213483146067415,0.2078347417163135,0.39363701232497833,concordant_only
Phenotypic: Cancer and Cells,Simple,129,14,115,31,15,129,0.10852713178294573,0.06575537038687869,0.17394062845685698,concordant_only
Phenotypic: Cancer and Cells,Sugar,17,1,16,1,4,17,0.058823529411764705,0.01046013064516424,0.269825452035628,concordant_only
Transporters and Ion Channels,Methoxy,18,10,8,5,0,18,0.5555555555555556,0.3371606942825164,0.7544076889861088,concordant_only
Transporters and Ion Channels,Methoxy+Prenyl,4,1,3,2,0,4,0.25,0.045586062644636216,0.6993639475573634,concordant_only
Transporters and Ion Channels,Prenyl,9,6,3,1,0,9,0.6666666666666666,0.35419734749908977,0.879418401317257,concordant_only
Transporters and Ion Channels,Simple,14,4,10,8,1,14,0.2857142857142857,0.11721187910109099,0.5464954117248438,concordant_only
Transporters and Ion Channels,Sugar,5,0,5,3,0,5,0,0,0.43449149475208104,concordant_only
