target_domain_macro,motif_combination,binary_evidence_status,n_compounds,n_quality_records
Cell Signaling and Survival,Methoxy,above_cutoff_only,28,34
Cell Signaling and Survival,Methoxy,active_only,11,15
Cell Signaling and Survival,Methoxy,indeterminate,1,1
Cell Signaling and Survival,Methoxy,mixed_evidence,4,16
Cell Signaling and Survival,Methoxy+Prenyl,above_cutoff_only,21,26
Cell Signaling and Survival,Methoxy+Prenyl,active_only,9,9
Cell Signaling and Survival,Methoxy+Prenyl,mixed_evidence,2,7
Cell Signaling and Survival,Methoxy+Sugar,above_cutoff_only,1,4
Cell Signaling and Survival,Methoxy+Sugar,active_only,2,5
Cell Signaling and Survival,Prenyl,above_cutoff_only,32,34
Cell Signaling and Survival,Prenyl,active_only,31,56
Cell Signaling and Survival,Prenyl,mixed_evidence,14,41
Cell Signaling and Survival,Simple,above_cutoff_only,34,47
Cell Signaling and Survival,Simple,active_only,21,45
Cell Signaling and Survival,Simple,indeterminate,1,1
Cell Signaling and Survival,Simple,mixed_evidence,21,177
Cell Signaling and Survival,Sugar,above_cutoff_only,5,6
Cell Signaling and Survival,Sugar,active_only,4,5
Cell Signaling and Survival,Sugar,mixed_evidence,2,12
Gene Regulation,Methoxy,above_cutoff_only,7,11
Gene Regulation,Methoxy,active_only,8,9
Gene Regulation,Methoxy,mixed_evidence,1,8
Gene Regulation,Methoxy+Prenyl,active_only,3,6
Gene Regulation,Methoxy+Sugar,above_cutoff_only,1,1
Gene Regulation,Methoxy+Sugar,active_only,1,1
Gene Regulation,Prenyl,above_cutoff_only,6,9
Gene Regulation,Prenyl,active_only,8,12
Gene Regulation,Simple,above_cutoff_only,8,16
Gene Regulation,Simple,active_only,9,16
Gene Regulation,Simple,mixed_evidence,11,125
General Assays and Safety,Methoxy,above_cutoff_only,35,50
General Assays and Safety,Methoxy,active_only,13,16
General Assays and Safety,Methoxy,indeterminate,1,1
General Assays and Safety,Methoxy,mixed_evidence,3,9
General Assays and Safety,Methoxy+Prenyl,above_cutoff_only,11,13
General Assays and Safety,Methoxy+Prenyl,active_only,18,19
General Assays and Safety,Methoxy+Prenyl,mixed_evidence,1,3
General Assays and Safety,Methoxy+Sugar,above_cutoff_only,1,1
General Assays and Safety,Methoxy+Sugar,mixed_evidence,1,2
General Assays and Safety,Prenyl,above_cutoff_only,17,20
General Assays and Safety,Prenyl,active_only,44,49
General Assays and Safety,Prenyl,mixed_evidence,4,9
