target_domain_macro,motif_combination,n_compounds,n_records,q25_pchembl,q75_pchembl,median_pchembl,median_z_potency,simple_median_pchembl,simple_median_z,delta_pchembl_vs_simple_descriptive,delta_standardized_potency_vs_simple
Cell Signaling and Survival,Methoxy,36,44,4.6000000000000005,5.48,4.91,-0.3295643718275695,5.185,0.00187410236717433,-0.27499999999999947,-0.3314384741947438
Cell Signaling and Survival,Methoxy+Prenyl,29,36,4.67,5.14,4.76,-0.435624683569888,5.185,0.00187410236717433,-0.4249999999999998,-0.4374987859370623
Cell Signaling and Survival,Methoxy+Sugar,3,9,5.494999999999999,6.9025,6.845,1.0007438379537,5.185,0.00187410236717433,1.6600000000000001,0.9988697355865256
Cell Signaling and Survival,Prenyl,73,124,4.73,5.37,5.11,-0.0378985145361953,5.185,0.00187410236717433,-0.07499999999999929,-0.039772616903369626
Cell Signaling and Survival,Simple,61,200,4.725,5.955,5.185,0.00187410236717433,5.185,0.00187410236717433,0,0
Cell Signaling and Survival,Sugar,10,18,4.6375,5.4425,4.975,-0.4622430085652455,5.185,0.00187410236717433,-0.20999999999999996,-0.4641171109324198
Gene Regulation,Methoxy,14,19,4.5975,6.057499999999999,5.279999999999999,-0.4686076636308905,5.505000000000001,0.095744664027097,-0.22500000000000142,-0.5643523276579875
Gene Regulation,Methoxy+Prenyl,3,6,5.705,6.029999999999999,5.85,-0.257865571426791,5.505000000000001,0.095744664027097,0.34499999999999886,-0.35361023545388803
Gene Regulation,Methoxy+Sugar,2,2,4.87,5.17,5.02,-0.37716385244927464,5.505000000000001,0.095744664027097,-0.4850000000000012,-0.47290851647637167
Gene Regulation,Prenyl,13,17,4.75,6.11,5.18,-0.194356743194967,5.505000000000001,0.095744664027097,-0.32500000000000107,-0.290101407222064
Gene Regulation,Simple,24,146,5.129375,5.854375,5.505000000000001,0.095744664027097,5.505000000000001,0.095744664027097,0,0
General Assays and Safety,Methoxy,40,51,4.41875,5.31,4.8,-0.512344608286307,4.97,-0.184528174390199,-0.16999999999999993,-0.32781643389610804
General Assays and Safety,Methoxy+Prenyl,27,31,4.945,5.6850000000000005,5.41,0.357081585959891,4.97,-0.184528174390199,0.4400000000000004,0.54160976035009
General Assays and Safety,Methoxy+Sugar,2,3,4.58875,4.94625,4.7675,-0.6003082611564435,4.97,-0.184528174390199,-0.20249999999999968,-0.41578008676624456
General Assays and Safety,Prenyl,63,74,5.03,5.640000000000001,5.44,0.428970573231486,4.97,-0.184528174390199,0.47000000000000064,0.613498747621685
General Assays and Safety,Simple,71,170,4.575,5.227499999999999,4.97,-0.184528174390199,4.97,-0.184528174390199,0,0
General Assays and Safety,Sugar,7,9,4.744999999999999,5.0375,4.92,-0.34130994712312,4.97,-0.184528174390199,-0.04999999999999982,-0.15678177273292102
Infectious Diseases,Methoxy,66,172,4.503125000000001,5.115,4.855,-0.294056393282978,4.9275,-0.182983955740103,-0.07249999999999979,-0.11107243754287499
Infectious Diseases,Methoxy+Prenyl,39,86,4.720000000000001,5.38,4.89,-0.24910237052921,4.9275,-0.182983955740103,-0.03750000000000053,-0.06611841478910699
Infectious Diseases,Methoxy+Sugar,1,1,5.17,5.17,5.17,0.482479765591734,4.9275,-0.182983955740103,0.24249999999999972,0.6654637213318371
Infectious Diseases,Prenyl,57,146,4.945,5.5775,5.29,0.528827857555395,4.9275,-0.182983955740103,0.3624999999999998,0.711811813295498
Infectious Diseases,Simple,113,409,4.52,5.16,4.9275,-0.182983955740103,4.9275,-0.182983955740103,0,0
Infectious Diseases,Sugar,6,8,4.42375,5.21,4.5225,-0.8469908731543205,4.9275,-0.182983955740103,-0.40500000000000025,-0.6640069174142176
Inflammation and Proteolysis,Methoxy,42,59,4.38,5.16125,4.672499999999999,-0.47242604585231895,4.83,-0.289129840959138,-0.15750000000000064,-0.18329620489318094
Inflammation and Proteolysis,Methoxy+Prenyl,12,21,4.74,5.5125,5.2625,0.245366372071788,4.83,-0.289129840959138,0.4325000000000001,0.534496213030926
