term,estimate,std_error_hc3,statistic,p_value,target_domain_macro,n_compounds,conf_low,conf_high,motif,weighting,p_adjust_bh
motif_methoxy,-0.14338323176853598,0.17879308264189955,-0.8019506663784911,0.42354779933718967,Cell Signaling and Survival,212,-0.4938176737466591,0.20705121020958714,Methoxy,sqrt_n_records,0.749506757670468
motif_prenyl,-0.7019283909856274,0.26283708012358137,-2.670583582254045,0.008204683660066842,Cell Signaling and Survival,212,-1.217089068027847,-0.18676771394340796,Prenyl-like,sqrt_n_records,0.15588898954127
motif_sugar,0.22806916864807342,0.6724836218812149,0.33914456981133545,0.734862068730547,Cell Signaling and Survival,212,-1.0899987302391079,1.5461370675352546,Probable sugar,sqrt_n_records,0.8643461774628931
motif_methoxy,-0.39708444688143224,0.16947401066036819,-2.343040359605363,0.020135034995517807,General Assays and Safety,210,-0.7292535077757538,-0.06491538598711061,Methoxy,sqrt_n_records,0.19128283245741917
motif_prenyl,0.16848620227930367,0.27013742355743686,0.6237055201775106,0.5335498956463177,General Assays and Safety,210,-0.36098314789327257,0.6979555524518799,Prenyl-like,sqrt_n_records,0.7542629632178453
motif_methoxy,-0.09234962851998797,0.12689346152725575,-0.727772947545859,0.46738556449311286,Infectious Diseases,282,-0.34106081311340924,0.15636155607343327,Methoxy,sqrt_n_records,0.749506757670468
motif_prenyl,0.12416228659463822,0.15370765259732994,0.8077820752354333,0.41992977322315694,Infectious Diseases,282,-0.1771047124961284,0.4254292856854049,Prenyl-like,sqrt_n_records,0.749506757670468
motif_methoxy,-0.17450526916181522,0.17558684109281633,-0.9938402449507626,0.3220919057852666,Inflammation and Proteolysis,147,-0.5186554777037352,0.1696449393801048,Methoxy,sqrt_n_records,0.749506757670468
motif_prenyl,-0.09956900939887602,0.23368181992959935,-0.426087957671987,0.6707273975766825,Inflammation and Proteolysis,147,-0.5575853764608907,0.3584473576631387,Prenyl-like,sqrt_n_records,0.8495880369304645
motif_methoxy,0.22143001506791232,0.15118105136297902,1.4646677812569822,0.14451417397140995,Metabolic Enzymes,224,-0.07488484560352654,0.5177448757393512,Methoxy,sqrt_n_records,0.5491538610913578
motif_prenyl,-0.06150977762588657,0.21331421799404157,-0.28835291995212764,0.7733623693089043,Metabolic Enzymes,224,-0.47960564489420804,0.35658608964243493,Prenyl-like,sqrt_n_records,0.8643461774628931
motif_sugar,0.01690768512781087,0.6265748177199866,0.026984303629270397,0.9784980012441666,Metabolic Enzymes,224,-1.2111789576033627,1.2449943278589846,Probable sugar,sqrt_n_records,0.9784980012441666
motif_methoxy,-0.013837167849873185,0.2830790912822718,-0.048880925070073356,0.9611302283296059,Neuroscience Targets,94,-0.5686721867631259,0.5409978510633795,Methoxy,sqrt_n_records,0.9784980012441666
motif_prenyl,-1.0401951354817645,0.49299762153575105,-2.1099394602380084,0.03783884778186966,Neuroscience Targets,94,-2.0064704736918366,-0.0739197972716924,Prenyl-like,sqrt_n_records,0.19233686867476943
motif_methoxy,-0.07537183135339597,0.12783595359059224,-0.5895980687466218,0.5557727097394649,Phenotypic: Cancer and Cells,443,-0.3259303003909568,0.17518663768416481,Methoxy,sqrt_n_records,0.7542629632178453
motif_prenyl,0.12813362101471945,0.14325053264304685,0.8944722134751437,0.37157436902271057,Phenotypic: Cancer and Cells,443,-0.1526374229656524,0.40890466499509126,Prenyl-like,sqrt_n_records,0.749506757670468
motif_sugar,-0.29308520995871745,0.4084015026464862,-0.7176398912822146,0.4733726890550325,Phenotypic: Cancer and Cells,443,-1.0935521551458305,0.5073817352283956,Probable sugar,sqrt_n_records,0.749506757670468
motif_methoxy,0.38932831992287326,0.4227795863314788,0.9208777635200717,0.36136690177461805,Transporters and Ion Channels,61,-0.43931966928682514,1.2179763091325717,Methoxy,sqrt_n_records,0.749506757670468
motif_prenyl,1.2950904431477646,0.6163703092510225,2.101156437469357,0.04049197235258304,Transporters and Ion Channels,61,0.08700463701576044,2.5031762492797687,Prenyl-like,sqrt_n_records,0.19233686867476943
