analysis,group1,group2,n1,n2,pseudo_f,r_squared,p_value,status,p_adjust_bh
Bemis-Murcko scaffold incidence,Non-seed vascular plants,Gymnosperms,9,6,1.0681628410843873,0.0759276710932678,0.384,ok,0.46747826086956523
Bemis-Murcko scaffold incidence,Non-seed vascular plants,Early angiosperms & magnoliids,9,8,1.8518755792397266,0.10989136316203885,0.024,ok,0.08088888888888889
Bemis-Murcko scaffold incidence,Non-seed vascular plants,Monocots,9,15,1.6436584718363147,0.06951794172607409,0.023,ok,0.08088888888888889
Bemis-Murcko scaffold incidence,Non-seed vascular plants,Early eudicots & Saxifragales,9,9,2.333683221631389,0.12728938279450266,0.006,ok,0.0336
Bemis-Murcko scaffold incidence,Non-seed vascular plants,Rosids,9,47,1.9375388391048503,0.034637541788848855,0.001,ok,0.028
Bemis-Murcko scaffold incidence,Non-seed vascular plants,Caryophyllales & Santalales,9,11,1.1750840567868226,0.061281820372042314,0.235,ok,0.32899999999999996
Bemis-Murcko scaffold incidence,Non-seed vascular plants,Asterids,9,26,1.4724875197431662,0.042714861203440556,0.056,ok,0.12061538461538461
Bemis-Murcko scaffold incidence,Gymnosperms,Early angiosperms & magnoliids,6,8,1.3469818409966365,0.10092033218021189,0.041,ok,0.10436363636363637
Bemis-Murcko scaffold incidence,Gymnosperms,Monocots,6,15,0.888549209959231,0.044676421622261334,0.638,ok,0.6616296296296296
Bemis-Murcko scaffold incidence,Gymnosperms,Early eudicots & Saxifragales,6,9,1.714255797129184,0.11650305803869762,0.031,ok,0.08679999999999999
Bemis-Murcko scaffold incidence,Gymnosperms,Rosids,6,47,1.0868796477176108,0.020866668440662418,0.298,ok,0.37927272727272726
Bemis-Murcko scaffold incidence,Gymnosperms,Caryophyllales & Santalales,6,11,0.9461345185274016,0.05933315797807377,0.573,ok,0.617076923076923
Bemis-Murcko scaffold incidence,Gymnosperms,Asterids,6,26,0.9841575869741299,0.03176325140393276,0.457,ok,0.5331666666666667
Bemis-Murcko scaffold incidence,Early angiosperms & magnoliids,Monocots,8,15,1.2345883240266788,0.05552557600954471,0.138,ok,0.25760000000000005
Bemis-Murcko scaffold incidence,Early angiosperms & magnoliids,Early eudicots & Saxifragales,8,9,2.3172481492579546,0.13381156921039147,0.005,ok,0.0336
Bemis-Murcko scaffold incidence,Early angiosperms & magnoliids,Rosids,8,47,1.5396387700920162,0.028229720709780536,0.017,ok,0.07933333333333334
Bemis-Murcko scaffold incidence,Early angiosperms & magnoliids,Caryophyllales & Santalales,8,11,1.2379202315604458,0.06787617315148925,0.152,ok,0.26023529411764706
Bemis-Murcko scaffold incidence,Early angiosperms & magnoliids,Asterids,8,26,1.2450612169142443,0.0374510129125823,0.136,ok,0.25760000000000005
Bemis-Murcko scaffold incidence,Monocots,Early eudicots & Saxifragales,15,9,1.8011749134099713,0.07567588238659428,0.026,ok,0.08088888888888889
Bemis-Murcko scaffold incidence,Monocots,Rosids,15,47,1.0937662829254753,0.017903075051229272,0.296,ok,0.37927272727272726
Bemis-Murcko scaffold incidence,Monocots,Caryophyllales & Santalales,15,11,1.158569096415194,0.046050675297756784,0.225,ok,0.32899999999999996
Bemis-Murcko scaffold incidence,Monocots,Asterids,15,26,0.8471125056566153,0.021259068785382154,0.712,ok,0.712
Bemis-Murcko scaffold incidence,Early eudicots & Saxifragales,Rosids,9,47,1.7893870801842784,0.032073969151380895,0.002,ok,0.028
Bemis-Murcko scaffold incidence,Early eudicots & Saxifragales,Caryophyllales & Santalales,9,11,1.7649481442386536,0.08929687704508973,0.045,ok,0.105
Bemis-Murcko scaffold incidence,Early eudicots & Saxifragales,Asterids,9,26,2.0889819195621455,0.05953384239961479,0.004,ok,0.0336
Bemis-Murcko scaffold incidence,Rosids,Caryophyllales & Santalales,47,11,1.1550356056468567,0.020208816133302183,0.192,ok,0.2986666666666667
Bemis-Murcko scaffold incidence,Rosids,Asterids,47,26,1.2189447324613418,0.016878462250826055,0.158,ok,0.26023529411764706
Bemis-Murcko scaffold incidence,Caryophyllales & Santalales,Asterids,11,26,0.9393972616481198,0.026138369956765394,0.538,ok,0.6025600000000001
NPClassifier class incidence,Non-seed vascular plants,Gymnosperms,9,6,1.81295481051018,0.12238981578637106,0.104,ok,0.19413333333333332
NPClassifier class incidence,Non-seed vascular plants,Early angiosperms & magnoliids,9,8,3.1583761270655915,0.17393494357449396,0.013,ok,0.0455
NPClassifier class incidence,Non-seed vascular plants,Monocots,9,15,2.87346206929483,0.11552320546651966,0.007,ok,0.042
NPClassifier class incidence,Non-seed vascular plants,Early eudicots & Saxifragales,9,9,1.8218288621566767,0.10222457393389038,0.127,ok,0.21933333333333332
NPClassifier class incidence,Non-seed vascular plants,Rosids,9,47,4.626169902268772,0.07890963898853887,0.001,ok,0.028
NPClassifier class incidence,Non-seed vascular plants,Caryophyllales & Santalales,9,11,3.053648063309625,0.14504127997804064,0.012,ok,0.0455
NPClassifier class incidence,Non-seed vascular plants,Asterids,9,26,4.25041341877812,0.11410379184236016,0.002,ok,0.028
NPClassifier class incidence,Gymnosperms,Early angiosperms & magnoliids,6,8,0.9978769152386225,0.0767723007184903,0.468,ok,0.5158461538461538
NPClassifier class incidence,Gymnosperms,Monocots,6,15,1.5416080468046005,0.07504807039896806,0.141,ok,0.21933333333333332
NPClassifier class incidence,Gymnosperms,Early eudicots & Saxifragales,6,9,1.2242117592839765,0.08606534970100876,0.307,ok,0.392
NPClassifier class incidence,Gymnosperms,Rosids,6,47,1.1017112492781924,0.021145394707039602,0.357,ok,0.4346086956521739
