bemis_murcko_scaffold_smiles,n_families
C(=CC1c2ccccc2OC2c3ccccc3OC(c3ccccc3)C12)c1ccccc1,2
C(=Cc1ccc2c(c1)OC(c1ccccc1)=C1C2=CC2CC1c1ccccc1O2)c1ccccc1,1
C(=Cc1ccc2c(c1)OCC(c1ccccc1)O2)C=NCCc1ccccc1,1
C(=Cc1ccccc1)C=C1C=CC2OC=CC2=C1,1
C(=Cc1ccccc1)C=NC1C=NCC=NC=Cc2ccc(cc2)OC1c1ccccc1,1
C(=Cc1ccccc1)C=NC=Cc1ccccc1,1
C(=Cc1ccccc1)C=NCCc1c(C2CC(c3ccccc3)Oc3ccccc32)[nH]c2ccccc12,1
C(=Cc1ccccc1)CCCc1ccccc1,1
C(=Cc1ccccc1)Cc1cc2c(cc1OC1CCCCO1)OC(c1ccccc1)CC2,1
C(=Cc1ccccc1)N=Cc1ccccc1,1
C(=NCCc1ccccc1)c1ccccc1,2
C(=Nc1ccccc1)c1ccccc1,1
C1=C(OC2CCCCO2)C(c2ccccc2)Oc2ccccc21,1
C1=C(c2ccc(-c3cc4ccccc4o3)cc2)CC2CC1Oc1ccccc12,1
C1=C(c2ccccc2)COc2ccccc21,1
C1=C(c2ccccc2)Oc2c(ccc3c2CCCO3)C1,1
C1=C(c2ccccc2)Oc2ccccc2C1,4
C1=C2C(=C(c3ccccc3)Oc3cc(-c4cc5ccccc5o4)ccc32)C2CC1Oc1ccccc12,1
C1=C2c3cc4c(cc3OC2c2ccc(OC3CCCCO3)cc2O1)OCO4,1
C1=C2c3cc4c(cc3OC2c2ccccc2O1)OCO4,1
C1=C2c3ccccc3OC2c2ccccc2O1,1
C1=CC(c2ccccc2)Oc2ccccc21,1
C1=CC2=C(C=CC3C2OC2c4ccccc4OCC23)OC1,1
C1=CC2=CC(OC3CCCC(COC4CCCCO4)O3)=C(c3ccccc3)OC2C=C1,1
C1=CC2OC3(c4ccccc4)CC(c4c(ccc5c4OC(c4ccccc4)CC5c4cccc5c4OC(c4ccccc4)CC5)O3)C2C=C1,1
C1=CC2OC3c4ccccc4OCC3C2C=C1,1
C1=CC2c3ccc(-c4cc5ccccc5o4)cc3OC3(c4ccccc4)Oc4ccccc4C(C1)C23,2
C1=COc2cc3c(cc2C1)OCC(c1ccccc1)O3,1
C1=Cc2c(ccc3c2C2COc4ccccc4C2O3)OC1,1
C1=Cc2c(ccc3c2C2Oc4cc5c(cc4C2CO3)OCO5)OC1,1
C1=Cc2c(ccc3c2OC(c2ccccc2)CC3)OC1,3
C1=Cc2c(ccc3c2OC2c4cc5c(cc4OCC32)OCCC5)OC1,1
C1=Cc2c(ccc3c2OC2c4ccccc4OCC32)OC1,1
C1=Cc2c(ccc3c2OCC(c2ccc4c(c2)OCO4)C3)OC1,2
C1=Cc2c(ccc3c2OCC(c2cccc4c2OCC=C4)C3)OC1,1
C1=Cc2c(ccc3c2OCC(c2ccccc2)C3)OC1,2
C1=Cc2c(ccc3c2OCC2c4cc5c(cc4OC32)OCO5)OC1,2
C1=Cc2c(ccc3c2OCC2c4ccc5c(c4OC32)CCCO5)OC1,1
C1=Cc2c(ccc3c2OCC2c4ccccc4OC32)OC1,1
C1=Cc2c(ccc3c4c(oc23)-c2ccccc2OC4)OC1,1
C1=Cc2c(ccc3cc(-c4ccccc4)oc23)OC1,1
C1=Cc2c(ccc3cc(-c4ccccc4)oc23)OCC1,1
C1=Cc2c(cccc2-c2cc3ccccc3o2)OC1,1
C1=Cc2cc(-c3cc4cc5c(cc4o3)OCO5)c3c(c2OC1)C=CCO3,1
C1=Cc2cc(-c3cc4ccccc4o3)ccc2OC1,1
C1=Cc2cc(C3=Cc4ccccc4OC3)ccc2OC1,1
C1=Cc2cc(C3COc4c(ccc5c4C=CCO5)C3)ccc2OC1,1
C1=Cc2cc(C3COc4ccccc4C3)ccc2OC1,2
C1=Cc2cc3c(cc2OC1)OC(c1ccccc1)CC3,1
C1=Cc2cc3c(cc2OC1)OC1c2ccccc2OCC31,2
C1=Cc2cc3c(cc2OC1)OCC(c1cccc2c1OCC=C2)C3,1
C1=Cc2cc3c(cc2OC1)OCC(c1ccccc1)=C3,1
C1=Cc2cc3c(cc2OC1)OCC(c1ccccc1)C3,1
C1=Cc2cc3c(cc2OC1)OCC1c2c(ccc4c2C=CCO4)OC31,1
C1=Cc2cc3c(cc2OC1)OCC1c2cc4c(cc2OC31)OCO4,1
C1=Cc2cc3c(cc2OC1)OCC1c2ccc4c(c2OC31)C=CCO4,1
C1=Cc2cc3c(cc2OC1)OCC1c2ccccc2OC31,1
C1=Cc2cc3c4c(oc3cc2OC1)-c1ccccc1OC4,1
C1=Cc2cc3cc(-c4ccccc4)oc3cc2OC1,2
C1=Cc2cc3oc4c(c3cc2OC1)COc1ccccc1-4,1
C1=Cc2ccc(-c3cc4ccccc4o3)cc2OC1,1
C1=Cc2ccc3c(c2OC1)C1Oc2cc4c(cc2C1CO3)OCO4,1
C1=Cc2ccc3c(c2OC1)C1Oc2ccccc2C1CO3,1
C1=Cc2ccc3c(c2OC1)OC1c2ccccc2OCC31,1
C1=Cc2cccc(-c3cc4ccccc4o3)c2OC1,1
C1=Cc2cccc(C3=Cc4ccccc4OC3)c2OC1,1
C1=Cc2cccc(C3COc4cc5c(cc4C3)CCCO5)c2OC1,1
C1=Cc2cccc(C3COc4ccccc4C3)c2OC1,1
C1=Cc2ccccc2OC(Oc2ccc3c(c2)OC(c2ccccc2)CC3)(c2ccccc2)O1,1
C1=NC(c2cccc3c2OC(c2ccccc2)C(OC2CCCCO2)C3)CC1,1
C=C(COC1CCCC(COC2CCCCO2)O1)C1Cc2c(ccc3c(=O)c4c(oc23)COc2ccccc2-4)O1,1
C=C(COC1CCCC(COC2CCCCO2)O1)C1Cc2c(ccc3c2OC2COc4ccccc4C2C3=O)O1,1
C=C(COC1CCCCO1)C1Cc2c(ccc3c2OC2COc4ccccc4C2C3)O1,1
C=C(COC1CCCCO1)C1Cc2c(ccc3c2OC2COc4ccccc4C2C3=O)O1,1
C=C(COC1OCCCC1OC1CCCO1)C1Cc2c(ccc3c2OC2COc4ccccc4C2C3=O)O1,1
C=C(OC(=O)c1ccccc1)c1ccccc1,1
C=C(c1ccc2c(c1)C1COc3ccccc3C1O2)c1c(-c2ccccc2)oc2ccccc12,1
C=C1Oc2ccccc2-c2c1oc1c3c(ccc1c2=O)OCC3,1
