inchikey,chembl_id,mapping_method,mapping_status
AAAQSJHHXMDZCO-FZMZJTMJSA-N,,,not_mapped
AAAQSJHHXMDZCO-UHFFFAOYSA-N,,,not_mapped
AADNEQWIZKTMBL-GOSISDBHSA-N,,,not_mapped
AADNEQWIZKTMBL-UHFFFAOYSA-N,,,not_mapped
AAKHRTZXSZBLFQ-UHFFFAOYSA-N,,,not_mapped
AALISTBXLBQUEH-HNNXBMFYSA-N,,,not_mapped
AALISTBXLBQUEH-OAHLLOKOSA-N,,,not_mapped
AALISTBXLBQUEH-UHFFFAOYSA-N,,,not_mapped
AAOPKIFUFWCDQZ-CXXWFMJBSA-N,CHEMBL5220293,ChEMBL molecule endpoint,mapped
AAOPKIFUFWCDQZ-KEQINOFFSA-N,CHEMBL5220671,ChEMBL molecule endpoint,mapped
AAOPKIFUFWCDQZ-UHFFFAOYSA-N,,,not_mapped
AASXZVQDGNSVST-JKSUJKDBSA-N,,,not_mapped
AASXZVQDGNSVST-UHFFFAOYSA-N,,,not_mapped
AAVIPCXEXKHNTR-UHFFFAOYSA-N,,,not_mapped
AAXMSKLPUMPSGN-UHFFFAOYSA-N,CHEMBL491514,ChEMBL molecule endpoint,mapped
AAXSQJZTSPDAGW-DGLFJVASSA-N,,,not_mapped
AAYNXSSLTTZFMB-ANNNZNAPSA-N,,,not_mapped
AAYNXSSLTTZFMB-UHFFFAOYSA-N,,,not_mapped
ABIJRPKPVBZTCW-GFCCVEGCSA-N,,,not_mapped
ABIJRPKPVBZTCW-UHFFFAOYSA-N,,,not_mapped
ABLZJMDXNZTQKT-SOFGYWHQSA-N,,,not_mapped
ABLZJMDXNZTQKT-UHFFFAOYSA-N,,,not_mapped
ABOSSEFROBUJKH-UHFFFAOYSA-N,CHEMBL1224369,ChEMBL molecule endpoint,mapped
ABQFAJSGVWQVGF-MHZLTWQESA-N,,,not_mapped
ABQFAJSGVWQVGF-UHFFFAOYSA-N,,,not_mapped
ABSGILSFGPQVOT-UHFFFAOYSA-N,,,not_mapped
ABSGILSFGPQVOT-VOTSOKGWSA-N,,,not_mapped
ABUBCBFUQXIEAU-UHFFFAOYSA-N,CHEMBL1568181,ChEMBL molecule endpoint,mapped
ABUBWVZSQKAKIK-DBVUQKKJSA-N,,,not_mapped
ABVQXBOSWJJSHC-UHFFFAOYSA-N,,,not_mapped
ABVQXBOSWJJSHC-UIOOFZCWSA-N,,,not_mapped
ACAAVKGSTVOIQB-BASWHVEKSA-N,CHEMBL5207674,ChEMBL molecule endpoint,mapped
ACAJJERRPMQMTK-JNDMVHLXSA-N,,,not_mapped
ACBMIOXLRKBKCN-UHFFFAOYSA-N,,,not_mapped
ACBMIOXLRKBKCN-WBVHZDCISA-N,,,not_mapped
ACDFZTTZFFZFFC-BBDCKABLSA-N,,,not_mapped
ACDSUMGMZHXCRO-UHFFFAOYSA-N,CHEMBL522369,ChEMBL molecule endpoint,mapped
ACDWEIMFJUNXIU-HOMLRZENSA-N,,,not_mapped
ACDWEIMFJUNXIU-UHFFFAOYSA-N,,,not_mapped
ACDWEIMFJUNXIU-XIAQVTQDSA-N,,,not_mapped
ACGKDGAOVNDURV-NWPHWBJNSA-N,,,not_mapped
ACGKDGAOVNDURV-UHFFFAOYSA-N,,,not_mapped
ACJAQJHYAGLMOL-GOSISDBHSA-N,,,not_mapped
ACJAQJHYAGLMOL-SFHVURJKSA-N,,,not_mapped
ACJAQJHYAGLMOL-UHFFFAOYSA-N,,,not_mapped
ACLDYNNXBJRZDR-KRWDZBQOSA-N,,,not_mapped
ACLDYNNXBJRZDR-UHFFFAOYSA-N,,,not_mapped
ACLIVQJKNNTVHO-UHFFFAOYSA-N,,,not_mapped
ACNNVOPYPNMOSB-UHFFFAOYSA-N,,,not_mapped
ACOHLNQHKFHTDV-RLVVTOTISA-N,,,not_mapped
ACOHLNQHKFHTDV-UHFFFAOYSA-N,,,not_mapped
ACPQNZRBESJWHB-UHFFFAOYSA-N,,,not_mapped
ACVUCXHKACKHFE-INIZCTEOSA-N,,,not_mapped
ACVUCXHKACKHFE-MRXNPFEDSA-N,,,not_mapped
ACVUCXHKACKHFE-UHFFFAOYSA-N,,,not_mapped
ACWNFYVDJXNVHA-UHFFFAOYSA-N,,,not_mapped
ACXGNNSXQDOXDD-BTYIYWSLSA-N,,,not_mapped
ACXGNNSXQDOXDD-UHFFFAOYSA-N,,,not_mapped
ACXXSEDDPWHZAU-DHIUTWEWSA-N,CHEMBL551513,ChEMBL molecule endpoint,mapped
ACXXSEDDPWHZAU-GOTSBHOMSA-N,,,not_mapped
ACXXSEDDPWHZAU-PKTZIBPZSA-N,,,not_mapped
ACXXSEDDPWHZAU-UHFFFAOYSA-N,,,not_mapped
ACXXSEDDPWHZAU-XZOQPEGZSA-N,CHEMBL561919,ChEMBL molecule endpoint,mapped
ACYJGXHSBCMABJ-ILNKLFLFSA-N,,,not_mapped
ACYJGXHSBCMABJ-RMRQORCVSA-N,CHEMBL499535,ChEMBL molecule endpoint,mapped
ACYJGXHSBCMABJ-UHFFFAOYSA-N,,,not_mapped
ADFRCNLBRJARNV-MHDKHVFCSA-N,,,not_mapped
ADFZZQAJJGHYDR-IBGZPJMESA-N,,,not_mapped
ADFZZQAJJGHYDR-UHFFFAOYSA-N,CHEMBL1578178,ChEMBL molecule endpoint,mapped
ADHYECILSBTSIG-UHFFFAOYSA-N,,,not_mapped
ADIMMCHZVYYGPW-MSOLQXFVSA-N,CHEMBL4798009,ChEMBL molecule endpoint,mapped
ADIMMCHZVYYGPW-ROUUACIJSA-N,,,not_mapped
ADIMMCHZVYYGPW-UHFFFAOYSA-N,,,not_mapped
ADJGLONWRMEELF-NEEZJNSISA-N,,,not_mapped
ADJGLONWRMEELF-UHFFFAOYSA-N,,,not_mapped
ADJGLONWRMEELF-YCZNUOTMSA-N,,,not_mapped
ADKHKBZKHGJXDZ-ATEOAPGCSA-N,,,not_mapped
ADKHKBZKHGJXDZ-NFJBMHMQSA-N,,,not_mapped
ADKHKBZKHGJXDZ-UHFFFAOYSA-N,,,not_mapped
ADKPZCOYGZJTBN-UHFFFAOYSA-N,,,not_mapped
ADRQFDIWPRFKSP-RUDMXATFSA-N,CHEMBL182653,ChEMBL molecule endpoint,mapped
ADRQFDIWPRFKSP-UHFFFAOYSA-N,,,not_mapped
ADRVNXBAWSRFAJ-GXTWGEPZSA-N,,,not_mapped
ADRVNXBAWSRFAJ-TZMCWYRMSA-N,,,not_mapped
ADRVNXBAWSRFAJ-UHFFFAOYSA-N,,,not_mapped
ADSYMQORONDIDD-UHFFFAOYSA-N,,,not_mapped
ADSYMQORONDIDD-ZJHVPRRPSA-N,CHEMBL4460302,ChEMBL molecule endpoint,mapped
ADVQDJMRDIRSLK-QMCAAQAGSA-N,,,not_mapped
ADVQDJMRDIRSLK-UHFFFAOYSA-N,,,not_mapped
ADVSBKKAOLGTQF-UHFFFAOYSA-N,CHEMBL234933,ChEMBL molecule endpoint,mapped
ADVVUFYZTDQZLS-CYBMUJFWSA-N,,,not_mapped
ADVVUFYZTDQZLS-UHFFFAOYSA-N,CHEMBL463484,ChEMBL molecule endpoint,mapped
ADZWGGDYJZWMBY-RCSOTXLPSA-N,,,not_mapped
ADZWGGDYJZWMBY-UHFFFAOYSA-N,,,not_mapped
AEAIWNGAMDGGNB-UHFFFAOYSA-N,CHEMBL4638414,ChEMBL molecule endpoint,mapped
AEJHNOKKBPMESA-RMXUFEBFSA-N,,,not_mapped
AEJHNOKKBPMESA-VGTXAZHUSA-N,,,not_mapped
AELVNGRVQZQCDD-UHFFFAOYSA-N,CHEMBL479118,ChEMBL molecule endpoint,mapped
AEMKOWDOUOTRQW-SFHVURJKSA-N,,,not_mapped
AEMKOWDOUOTRQW-UHFFFAOYSA-N,,,not_mapped
AENXIAWIJGWYCP-AWEZNQCLSA-N,CHEMBL4074859,ChEMBL molecule endpoint,mapped
AENXIAWIJGWYCP-UHFFFAOYSA-N,CHEMBL520193,ChEMBL molecule endpoint,mapped
AENZNDXAPHOSHW-UHFFFAOYSA-N,,,not_mapped
AEOWOANMUIQUTM-KKCPLASZSA-N,,,not_mapped
AEOWOANMUIQUTM-RXXWRWFHSA-N,,,not_mapped
AEOWOANMUIQUTM-UHFFFAOYSA-N,,,not_mapped
AERJBWNWVDCJLD-ZDUSSCGKSA-N,,,not_mapped
AETBTCNMANLWCB-HROFAYACSA-N,,,not_mapped
AETBTCNMANLWCB-RJBJQPCJSA-N,,,not_mapped
AETBTCNMANLWCB-UHFFFAOYSA-N,,,not_mapped
AETKQQBRKSELEL-UHFFFAOYSA-N,CHEMBL1867065,ChEMBL molecule endpoint,mapped
