lotus_id,inchikey,smiles,class_np,family,genus,species,ref_id,source,accepted_rank,tax_status,original_name,accepted_name
LTS0090476,AAAQSJHHXMDZCO-FZMZJTMJSA-N,COc1ccc2c(c1OC)OC[C@H]1c3cc(O)c(OC)c(OC)c3O[C@@H]21,Pterocarpan,Fabaceae,Swartzia,Swartzia laevicarpa,10.1016/0031-9422(80)83022-6,GBIF Backbone Taxonomy,species,accepted,Swartzia laevicarpa,Swartzia laevicarpa
LTS0045980,AAAQSJHHXMDZCO-UHFFFAOYSA-N,COc1ccc2c(c1OC)OCC1c3cc(O)c(OC)c(OC)c3OC21,Pterocarpan,Fabaceae,Swartzia,Swartzia laevicarpa,10.1016/0031-9422(80)83022-6,GBIF Backbone Taxonomy,species,accepted,Swartzia laevicarpa,Swartzia laevicarpa
LTS0214965,AADNEQWIZKTMBL-GOSISDBHSA-N,COc1c(C(=O)C[C@@H](OC)c2ccccc2)ccc2occc12,Chalcones,Fabaceae,Pongamia,Pongamia pinnata,10.1016/0031-9422(92)80055-J,GBIF Backbone Taxonomy,species,accepted,Pongamia pinnata,Pongamia pinnata
LTS0048880,AADNEQWIZKTMBL-UHFFFAOYSA-N,COc1c(C(=O)CC(OC)c2ccccc2)ccc2occc12,Chalcones,Fabaceae,Pongamia,Pongamia pinnata,10.1016/0031-9422(92)80055-J,GBIF Backbone Taxonomy,species,accepted,Pongamia pinnata,Pongamia pinnata
LTS0048880,AADNEQWIZKTMBL-UHFFFAOYSA-N,COc1c(C(=O)CC(OC)c2ccccc2)ccc2occc12,Chalcones,Fabaceae,Pongamia,Pongamia pinnata,10.1016/0031-9422(92)80201-O,GBIF Backbone Taxonomy,species,accepted,Pongamia pinnata,Pongamia pinnata
LTS0024195,AAKHRTZXSZBLFQ-UHFFFAOYSA-N,COc1ccc2c(c1)oc1c3c(O)cc(O)cc3oc(=O)c21,Coumestan,Fabaceae,Corethrodendron,Corethrodendron multijugum,10.1021/NP050233+,GBIF Backbone Taxonomy,species,synonym,Hedysarum multijugum,Corethrodendron multijugum
LTS0150235,AALISTBXLBQUEH-HNNXBMFYSA-N,COc1c([C@@H]2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,Isoflavanones,Fabaceae,Sophora,Sophora fraseri,10.1016/S0031-9422(00)90868-9,GBIF Backbone Taxonomy,species,accepted,Sophora fraseri,Sophora fraseri
LTS0179958,AALISTBXLBQUEH-OAHLLOKOSA-N,COc1c([C@H]2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,Isoflavanones,Fabaceae,Sophora,Sophora fraseri,10.1016/S0031-9422(00)90868-9,GBIF Backbone Taxonomy,species,accepted,Sophora fraseri,Sophora fraseri
LTS0179958,AALISTBXLBQUEH-OAHLLOKOSA-N,COc1c([C@H]2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,Isoflavanones,Fabaceae,Sophora,Sophora koreensis,10.1016/0031-9422(92)90056-V,GBIF Backbone Taxonomy,species,accepted,Sophora koreensis,Sophora koreensis
LTS0179958,AALISTBXLBQUEH-OAHLLOKOSA-N,COc1c([C@H]2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,Isoflavanones,Fabaceae,Sophora,Sophora tomentosa,10.1016/S0031-9422(97)00474-3,GBIF Backbone Taxonomy,species,accepted,Sophora tomentosa,Sophora tomentosa
LTS0070810,AALISTBXLBQUEH-UHFFFAOYSA-N,COc1c(C2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,Isoflavanones,Fabaceae,Sophora,Sophora fraseri,10.1016/S0031-9422(00)90868-9,GBIF Backbone Taxonomy,species,accepted,Sophora fraseri,Sophora fraseri
LTS0070810,AALISTBXLBQUEH-UHFFFAOYSA-N,COc1c(C2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,Isoflavanones,Fabaceae,Sophora,Sophora koreensis,10.1016/0031-9422(92)83646-G,GBIF Backbone Taxonomy,species,accepted,Sophora koreensis,Sophora koreensis
LTS0070810,AALISTBXLBQUEH-UHFFFAOYSA-N,COc1c(C2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,Isoflavanones,Fabaceae,Sophora,Sophora koreensis,10.1016/0031-9422(92)90056-V,GBIF Backbone Taxonomy,species,accepted,Sophora koreensis,Sophora koreensis
LTS0070810,AALISTBXLBQUEH-UHFFFAOYSA-N,COc1c(C2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,Isoflavanones,Fabaceae,Sophora,Sophora tomentosa,10.1016/S0031-9422(97)00474-3,GBIF Backbone Taxonomy,species,accepted,Sophora tomentosa,Sophora tomentosa
LTS0070810,AALISTBXLBQUEH-UHFFFAOYSA-N,COc1c(C2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,Isoflavanones,Fabaceae,Sophora,Sophora tomentosa,10.1248/CPB.38.2756,GBIF Backbone Taxonomy,species,accepted,Sophora tomentosa,Sophora tomentosa
LTS0248445,AAOPKIFUFWCDQZ-CXXWFMJBSA-N,Oc1cc(O)c(C[C@H](O)[C@H](c2ccc(O)c(O)c2)c2c(O)cc(O)c3c2O[C@@H](c2ccc(O)c(O)c2)[C@@H](O)C3)c(O)c1,Flavan-3-ols,Rubiaceae,Uncaria,Uncaria gambir,10.1248/CPB.55.268,GBIF Backbone Taxonomy,species,accepted,Uncaria gambir,Uncaria gambir
LTS0233102,AAOPKIFUFWCDQZ-KEQINOFFSA-N,Oc1cc(O)c(C[C@H](O)[C@H](c2ccc(O)c(O)c2)c2c(O)cc(O)c3c2O[C@H](c2ccc(O)c(O)c2)[C@@H](O)C3)c(O)c1,Flavan-3-ols,Rosaceae,Sanguisorba,Sanguisorba officinalis,10.1016/0031-9422(83)80168-X,GBIF Backbone Taxonomy,species,accepted,Sanguisorba officinalis,Sanguisorba officinalis
LTS0273723,AAOPKIFUFWCDQZ-UHFFFAOYSA-N,Oc1cc(O)c(CC(O)C(c2ccc(O)c(O)c2)c2c(O)cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)c(O)c1,Flavan-3-ols,Rosaceae,Sanguisorba,Sanguisorba officinalis,10.1016/0031-9422(83)80168-X,GBIF Backbone Taxonomy,species,accepted,Sanguisorba officinalis,Sanguisorba officinalis
LTS0228992,AASXZVQDGNSVST-JKSUJKDBSA-N,COc1c(O)cc([C@H]2Oc3c(CN=C(O)SC)c(O)cc(O)c3C[C@@H]2O)cc1O,Flavan-3-ols,Rutaceae,Glycosmis,Glycosmis lanceolata,10.1016/J.TETLET.2004.10.172,GBIF Backbone Taxonomy,species,synonym,Glycosmis montana,Glycosmis lanceolata
LTS0098442,AASXZVQDGNSVST-UHFFFAOYSA-N,COc1c(O)cc(C2Oc3c(CN=C(O)SC)c(O)cc(O)c3CC2O)cc1O,Flavan-3-ols,Rutaceae,Glycosmis,Glycosmis lanceolata,10.1016/J.TETLET.2004.10.172,GBIF Backbone Taxonomy,species,synonym,Glycosmis montana,Glycosmis lanceolata
LTS0033205,AAVIPCXEXKHNTR-UHFFFAOYSA-N,CC1(C)CCc2cc(-c3coc4cc(O)c5c(c4c3=O)OC(C)(C)CC5)ccc2O1,Isoflavones,Clusiaceae,Garcinia,Garcinia dulcis,10.1016/J.PHYTOCHEM.2005.06.025,GBIF Backbone Taxonomy,species,accepted,Garcinia dulcis,Garcinia dulcis
LTS0080410,AAXMSKLPUMPSGN-UHFFFAOYSA-N,C=CC(C)(C)c1cc(OC)c(OC)cc1-c1coc2cc(OC)cc(OC)c2c1=O,Isoflavones,Fabaceae,Psorodendron,Psorodendron arborescens,10.1021/NP0502600,GBIF Backbone Taxonomy,species,synonym,Psorothamnus arborescens,Psorodendron arborescens
LTS0110634,AAXSQJZTSPDAGW-DGLFJVASSA-N,Oc1ccc2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O[C@@H]1OCC(O)[C@@H](O)[C@@H]1O)C2,Flavan-3-ols,Fabaceae,Anadenanthera,Anadenanthera colubrina,10.1016/S0031-9422(99)00030-8,GBIF Backbone Taxonomy,species,accepted,Anadenanthera colubrina,Anadenanthera colubrina
