original_name,exact_name_norm,key,n_exact_wfo_rows,n_exact_taxon_ids,n_exact_accepted_ids,n_exact_accepted_names,n_exact_accepted_families,exact_wfo_names,exact_accepted_ids,exact_accepted_names,exact_accepted_families,n_key_wfo_rows,n_key_taxon_ids,n_key_accepted_ids,n_key_accepted_names,n_key_accepted_families,key_wfo_names,key_accepted_ids,key_accepted_names,key_accepted_families,proposed_resolution_status,recommended_match_level
Flemingia macrophylla ex,flemingia macrophylla ex,flemingia macrophylla,0,0,0,0,0,,,,,3,3,3,3,1,Flemingia macrophylla,wfo-0000194834 | wfo-0000194840 | wfo-0000691302,Flemingia javanica | Flemingia macrophylla | Flemingia prostrata,Fabaceae,canonical_conflict,manual_review
Hyacinthoides non-scripta ex,hyacinthoides non-scripta ex,hyacinthoides,0,0,0,0,0,,,,,5,5,3,3,1,Hyacinthoides | Hyacinthoides non-scripta | Hyacinthoides non-scripta subsp. hispanica | Hyacinthoides non-scripta var. cernua,wfo-0000664208 | wfo-0000664295 | wfo-4000018462,Hyacinthoides | Hyacinthoides hispanica | Hyacinthoides non-scripta,Asparagaceae,canonical_conflict,manual_review
Parkia biglobosa ex,parkia biglobosa ex,parkia biglobosa,0,0,0,0,0,,,,,2,2,2,2,1,Parkia biglobosa,wfo-0000178891 | wfo-0000179230,Parkia biglobosa | Parkia timoriana,Fabaceae,canonical_conflict,manual_review
Sophora mollis ex,sophora mollis ex,sophora mollis,0,0,0,0,0,,,,,2,2,2,2,1,Sophora mollis,wfo-0000185553 | wfo-0001448821,Sophora mollis | Sophora velutina subsp. velutina,Fabaceae,canonical_conflict,manual_review
Neoraputia alba ex,neoraputia alba ex,neoraputia alba,0,0,0,0,0,,,,,2,2,2,1,1,Neoraputia alba,wfo-0001276752 | wfo-1000080575,Neoraputia alba,Rutaceae,canonical_consensus_multiple_ids,canonical
Anemopaegma arvense ex,anemopaegma arvense ex,anemopaegma arvense,0,0,0,0,0,,,,,1,1,1,1,1,Anemopaegma arvense,wfo-0000780963,Anemopaegma arvense,Bignoniaceae,canonical_unique,canonical
Bulbophyllum odoratissimum ex,bulbophyllum odoratissimum ex,bulbophyllum odoratissimum,0,0,0,0,0,,,,,2,2,1,1,1,Bulbophyllum odoratissimum,wfo-0000568969,Bulbophyllum odoratissimum,Orchidaceae,canonical_unique,canonical
Cercidiphyllum japonicum bis,cercidiphyllum japonicum bis,cercidiphyllum japonicum,0,0,0,0,0,,,,,2,2,1,1,1,Cercidiphyllum japonicum,wfo-0000834990,Cercidiphyllum japonicum,Cercidiphyllaceae,canonical_unique,canonical
Chaenomeles japonica ex,chaenomeles japonica ex,chaenomeles japonica,0,0,0,0,0,,,,,2,2,1,1,1,Chaenomeles japonica,wfo-0001003367,Chaenomeles japonica,Rosaceae,canonical_unique,canonical
Citrus aurantium,citrus aurantium,citrus aurantium,0,0,0,0,0,,,,,25,25,1,1,1,Citrus aurantium subf. ampullacea | Citrus aurantium subf. anonyma | Citrus aurantium subf. asahikan | Citrus aurantium subf. banyu | Citrus aurantium subf. benikawa | Citrus aurantium subf. canaliculata | Citrus aurantium subf. cyathifera | Citrus aurantium subf. dulcis | Citrus aurantium subf. glaberrima | Citrus aurantium subf. hakunikuyu | Citrus aurantium subf. iyo | Citrus aurantium subf. jiyu | Citrus aurantium subf. medioglobosa | Citrus aurantium subf. mitsuyu | Citrus aurantium subf. omikanto | Citrus aurantium subf. pseudogulgul | Citrus aurantium subf. sekitoyu | Citrus aurantium subf. sinensis | Citrus aurantium subf. sinograndis | Citrus aurantium subf. soyu | Citrus aurantium subf. sulcata | Citrus aurantium subf. tengu | Citrus aurantium subf. tosa-asahi | Citrus aurantium subf. truncata | Citrus aurantium subf. yuge-hyokan,wfo-1200112333,Citrus × aurantium nothof. aurantium,Rutaceae,canonical_unique,canonical
