key,n_wfo_rows,n_taxon_ids,n_resolved_accepted_ids,n_resolved_accepted_names,n_resolved_families,scientific_names,taxonomic_statuses,resolved_accepted_ids,resolved_accepted_names,resolved_families,resolved_genera,resolved_ranks,any_exact_original_match,any_canonical_key_match,any_included_as_accepted_target,key_resolution_status
crateva religiosa,2,2,2,2,2,Crateva religiosa,accepted | synonym,wfo-0000521533 | wfo-0000625724,Aegle marmelos | Crateva religiosa,Capparaceae | Rutaceae,Aegle | Crateva,species,TRUE,TRUE,TRUE,conflicting_accepted_families
dalea,3,3,3,3,3,Dalea,accepted | synonym,wfo-4000005510 | wfo-4000010680 | wfo-4000024102,Browallia | Dalea | Microdon,Fabaceae | Scrophulariaceae | Solanaceae,Browallia | Dalea | Microdon,genus,TRUE,TRUE,TRUE,conflicting_accepted_families
davallia divaricata,2,2,2,2,2,Davallia divaricata,accepted | synonym,wfo-0001113068 | wfo-0001124802,Davallia divaricata | Odontosoria schlechtendalii,Davalliaceae | Lindsaeaceae,Davallia | Odontosoria,species,TRUE,TRUE,TRUE,conflicting_accepted_families
esenbeckia,3,3,3,3,3,Esenbeckia,accepted | synonym,wfo-4000014038 | wfo-4000015338 | wfo-4000025487,Esenbeckia | Garovaglia | Neesia,Malvaceae | Ptychomniaceae | Rutaceae,Esenbeckia | Garovaglia | Neesia,genus,TRUE,TRUE,TRUE,conflicting_accepted_families
ixora coccinea,3,3,3,3,2,Ixora coccinea,accepted | synonym,wfo-0000218302 | wfo-0000218311 | wfo-0000667056,Embothrium coccineum | Ixora chinensis | Ixora coccinea,Proteaceae | Rubiaceae,Embothrium | Ixora,species,TRUE,TRUE,TRUE,conflicting_accepted_families
juniperus chinensis,2,2,2,2,2,Juniperus chinensis,accepted | synonym,wfo-0000355589 | wfo-0000737073,Juniperus chinensis | Podocarpus macrophyllus var. maki,Cupressaceae | Podocarpaceae,Juniperus | Podocarpus,species | variety,TRUE,TRUE,TRUE,conflicting_accepted_families
mimulus,2,2,2,2,2,Mimulus,accepted | synonym,wfo-4000024336 | wfo-4000032946,Mimulus | Rhinanthus,Orobanchaceae | Phrymaceae,Mimulus | Rhinanthus,genus,TRUE,TRUE,TRUE,conflicting_accepted_families
onychium japonicum,2,2,2,2,2,Onychium japonicum,accepted | synonym,wfo-0000939888 | wfo-0001107373,Dendrobium moniliforme | Onychium japonicum,Orchidaceae | Pteridaceae,Dendrobium | Onychium,species,TRUE,TRUE,TRUE,conflicting_accepted_families
saussurea japonica,3,3,2,2,2,Saussurea japonica,accepted | synonym,wfo-0000033887 | wfo-0000663320,Hosta plantaginea | Saussurea japonica,Asparagaceae | Asteraceae,Hosta | Saussurea,species,TRUE,TRUE,TRUE,conflicting_accepted_families
acacia adunca,2,2,2,2,1,Acacia adunca,accepted | synonym,wfo-0001053987 | wfo-1200001737,Acacia adunca | Acacia linearifolia,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia anceps,2,2,2,2,1,Acacia anceps,accepted | synonym,wfo-0000185282 | wfo-0000201116,Acacia anceps | Acacia complanata,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia binervata,2,2,2,2,1,Acacia binervata,accepted | synonym,wfo-0000185290 | wfo-0000185333,Acacia binervata | Acacia verniciflua,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia calamifolia,4,4,2,2,1,Acacia calamifolia,accepted | synonym | unchecked,wfo-0000185297 | wfo-0000201411,Acacia calamifolia | Acacia quadrilateralis,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia catechu,3,3,3,3,1,Acacia catechu,synonym,wfo-0001284769 | wfo-0001335075 | wfo-0001427394,Senegalia catechu | Senegalia chundra | Senegalia polyacantha subsp. polyacantha,Fabaceae,Senegalia,species | subspecies,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
acacia dealbata,2,2,2,2,1,Acacia dealbata,accepted | synonym,wfo-0000192338 | wfo-0000201295,Acacia dealbata | Acacia leucolobia,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia doratoxylon,2,2,2,2,1,Acacia doratoxylon,accepted | synonym,wfo-0000185281 | wfo-0000192748,Acacia acuminata | Acacia doratoxylon,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia elata,3,3,2,2,1,Acacia elata,accepted | synonym,wfo-0000186098 | wfo-0000193822,Acacia elata | Albizia procera,Fabaceae,Acacia | Albizia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia erioloba,2,2,2,2,1,Acacia erioloba,synonym,wfo-0001284774 | wfo-0001336842,Vachellia edgeworthii | Vachellia erioloba,Fabaceae,Vachellia,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
acacia horrida,2,2,2,2,1,Acacia horrida,synonym,wfo-0001335076 | wfo-0001336851,Senegalia pennata | Vachellia horrida,Fabaceae,Senegalia | Vachellia,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
acacia latifolia,2,2,2,2,1,Acacia latifolia,accepted | synonym,wfo-0000185313 | wfo-0000204086,Acacia latifolia | Acacia melanoxylon,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia longifolia,2,2,2,2,1,Acacia longifolia,accepted | synonym,wfo-0000192739 | wfo-0000210768,Acacia dentifera | Acacia longifolia,Fabaceae,Acacia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acacia sieberiana,3,3,3,3,1,Acacia sieberiana,synonym,wfo-0000186862 | wfo-0000201188 | wfo-0001336883,Acacia hamiltoniana | Acacia terminalis | Vachellia sieberiana,Fabaceae,Acacia | Vachellia,species,TRUE,TRUE,FALSE,multiple_accepted_names_same_family
acaena pinnatifida,4,4,3,3,1,Acaena pinnatifida,accepted | synonym,wfo-0000985224 | wfo-0000985858 | wfo-0001005319,Acaena pinnatifida | Acaena sericea | Acaena trifida,Rosaceae,Acaena,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
acalypha hispida,4,4,3,3,1,Acalypha hispida,accepted | synonym,wfo-0000219111 | wfo-0000950668 | wfo-0000960215,Acalypha hispida | Acalypha lanceolata var. lanceolata | Acalypha poiretii,Euphorbiaceae,Acalypha,species | variety,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
actaea racemosa,2,2,2,2,1,Actaea racemosa,accepted | synonym,wfo-0000455167 | wfo-0000519114,Actaea racemosa | Trautvetteria palmata,Ranunculaceae,Actaea | Trautvetteria,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
afzelia bella,2,2,2,2,1,Afzelia bella,accepted | synonym,wfo-0000211757 | wfo-0000211767,Afzelia bella | Afzelia bipindensis,Fabaceae,Afzelia,species,TRUE,TRUE,TRUE,multiple_accepted_names_same_family
