resolved_accepted_id,taxonID,scientificName,taxonomicStatus,acceptedNameUsageID,family,genus,taxonRank,taxonomic_status_norm,exact_name_norm,key,match_exact_original,match_canonical_key,included_as_accepted_target,accepted_name_resolved,accepted_family_resolved,accepted_genus_resolved,accepted_rank_resolved
wfo-0000511289,wfo-0000511289,Abies nephrolepis,Accepted,,Pinaceae,Abies,species,accepted,abies nephrolepis,abies nephrolepis,TRUE,TRUE,TRUE,Abies nephrolepis,Pinaceae,Abies,species
wfo-0000511353,wfo-0000511353,Abies pindrow,Accepted,,Pinaceae,Abies,species,accepted,abies pindrow,abies pindrow,TRUE,TRUE,TRUE,Abies pindrow,Pinaceae,Abies,species
wfo-0000511384,wfo-0000511384,Abies sachalinensis,Accepted,,Pinaceae,Abies,species,accepted,abies sachalinensis,abies sachalinensis,TRUE,TRUE,TRUE,Abies sachalinensis,Pinaceae,Abies,species
wfo-0000511384,wfo-0001251532,Abies sachalinensis,Synonym,wfo-0000511384,Pinaceae,Abies,species,synonym,abies sachalinensis,abies sachalinensis,TRUE,TRUE,FALSE,Abies sachalinensis,Pinaceae,Abies,species
wfo-0000511396,wfo-0000511396,Abies sibirica,Accepted,,Pinaceae,Abies,species,accepted,abies sibirica,abies sibirica,FALSE,FALSE,TRUE,Abies sibirica,Pinaceae,Abies,species
wfo-0000511410,wfo-0000511410,Abies spectabilis,Accepted,,Pinaceae,Abies,species,accepted,abies spectabilis,abies spectabilis,TRUE,TRUE,TRUE,Abies spectabilis,Pinaceae,Abies,species
wfo-0000511410,wfo-0001091685,Abies spectabilis,Synonym,wfo-0000511410,Pinaceae,Abies,species,synonym,abies spectabilis,abies spectabilis,TRUE,TRUE,FALSE,Abies spectabilis,Pinaceae,Abies,species
wfo-1000025301,wfo-1000025301,Abildgaardia macrantha,Accepted,,Cyperaceae,Abildgaardia,species,accepted,abildgaardia macrantha,abildgaardia macrantha,FALSE,FALSE,TRUE,Abildgaardia macrantha,Cyperaceae,Abildgaardia,species
wfo-1000025304,wfo-1000025304,Abildgaardia pachyptera,Accepted,,Cyperaceae,Abildgaardia,species,accepted,abildgaardia pachyptera,abildgaardia pachyptera,FALSE,FALSE,TRUE,Abildgaardia pachyptera,Cyperaceae,Abildgaardia,species
wfo-0000336904,wfo-0000336904,Abildgaardia schoenoides,Accepted,,Cyperaceae,Abildgaardia,species,accepted,abildgaardia schoenoides,abildgaardia schoenoides,FALSE,FALSE,TRUE,Abildgaardia schoenoides,Cyperaceae,Abildgaardia,species
wfo-0000511550,wfo-0000511550,Abronia latifolia,Accepted,,Nyctaginaceae,Abronia,species,accepted,abronia latifolia,abronia latifolia,TRUE,TRUE,TRUE,Abronia latifolia,Nyctaginaceae,Abronia,species
wfo-0000511604,wfo-0000511604,Abronia villosa,Accepted,,Nyctaginaceae,Abronia,species,accepted,abronia villosa,abronia villosa,TRUE,TRUE,TRUE,Abronia villosa,Nyctaginaceae,Abronia,species
