family,n_occurrence_rows,n_compounds,n_scaffolds_murcko,n_compounds_with_scaffold,n_genera,n_species,n_references,n_sources,n_unresolved_rows,dataset,scaffold_per_compound,pct_compounds_with_scaffold,compounds_per_species,references_per_compound,n_accepted_species_wfo,pct_wfo_species_represented,ncomp_ge_1,ncomp_ge_5,ncomp_ge_10,ncomp_ge_20,eligible_primary
Fabaceae,14765,5109,382,5109,231,1014,1964,3,460,all_taxonomic_records,0.07477001370131141,100,5.038461538461538,0.3844196515952241,23034,4.402188069809847,TRUE,TRUE,TRUE,TRUE,TRUE
Moraceae,1581,887,123,887,14,65,248,1,26,all_taxonomic_records,0.1386696730552424,100,13.646153846153846,0.27959413754227735,1290,5.038759689922481,TRUE,TRUE,TRUE,TRUE,TRUE
Asteraceae,2130,750,74,750,167,439,439,3,75,all_taxonomic_records,0.09866666666666667,100,1.7084282460136675,0.5853333333333334,34540,1.2709901563404749,TRUE,TRUE,TRUE,TRUE,TRUE
Rutaceae,1258,320,29,320,31,98,200,3,191,all_taxonomic_records,0.090625,100,3.2653061224489797,0.625,2271,4.315279612505504,TRUE,TRUE,TRUE,TRUE,TRUE
Rosaceae,1373,304,36,304,38,108,213,3,215,all_taxonomic_records,0.11842105263157894,100,2.814814814814815,0.7006578947368421,6020,1.7940199335548173,TRUE,TRUE,TRUE,TRUE,TRUE
Lamiaceae,566,272,28,272,40,101,140,3,34,all_taxonomic_records,0.10294117647058823,100,2.6930693069306932,0.5147058823529411,8091,1.2483005808923495,TRUE,TRUE,TRUE,TRUE,TRUE
Lauraceae,532,272,54,272,13,50,82,1,98,all_taxonomic_records,0.19852941176470587,100,5.44,0.3014705882352941,3384,1.4775413711583925,TRUE,TRUE,TRUE,TRUE,TRUE
Euphorbiaceae,309,225,35,225,14,42,59,1,23,all_taxonomic_records,0.15555555555555556,100,5.357142857142857,0.26222222222222225,6630,0.6334841628959276,TRUE,TRUE,TRUE,TRUE,TRUE
Annonaceae,380,209,42,209,13,48,76,1,1,all_taxonomic_records,0.20095693779904306,100,4.354166666666667,0.36363636363636365,2580,1.8604651162790697,TRUE,TRUE,TRUE,TRUE,TRUE
Myrtaceae,314,190,30,190,19,59,68,1,2,all_taxonomic_records,0.15789473684210525,100,3.2203389830508473,0.35789473684210527,6547,0.9011761111959676,TRUE,TRUE,TRUE,TRUE,TRUE
Zingiberaceae,389,185,32,185,9,24,67,1,7,all_taxonomic_records,0.17297297297297298,100,7.708333333333333,0.3621621621621622,1908,1.2578616352201257,TRUE,TRUE,TRUE,TRUE,TRUE
Iridaceae,470,174,11,174,4,36,73,1,22,all_taxonomic_records,0.06321839080459771,100,4.833333333333333,0.41954022988505746,2600,1.3846153846153846,TRUE,TRUE,TRUE,TRUE,TRUE
Ericaceae,354,166,27,166,14,89,68,3,2,all_taxonomic_records,0.16265060240963855,100,1.8651685393258426,0.40963855421686746,5134,1.7335410985586288,TRUE,TRUE,TRUE,TRUE,TRUE
Pinaceae,438,166,12,166,8,49,72,2,10,all_taxonomic_records,0.07228915662650602,100,3.3877551020408165,0.43373493975903615,277,17.689530685920577,TRUE,TRUE,TRUE,TRUE,TRUE
Asparagaceae,255,158,19,158,23,37,53,2,1,all_taxonomic_records,0.12025316455696203,100,4.27027027027027,0.33544303797468356,3172,1.1664564943253468,TRUE,TRUE,TRUE,TRUE,TRUE
Polygonaceae,273,150,23,150,14,46,63,3,44,all_taxonomic_records,0.15333333333333332,100,3.260869565217391,0.42,1377,3.3405954974582426,TRUE,TRUE,TRUE,TRUE,TRUE
Theaceae,545,128,36,128,1,6,110,1,0,all_taxonomic_records,0.28125,100,21.333333333333332,0.859375,374,1.6042780748663101,TRUE,TRUE,TRUE,TRUE,TRUE
Clusiaceae,380,127,18,127,4,40,68,1,2,all_taxonomic_records,0.14173228346456693,100,3.175,0.5354330708661418,905,4.419889502762431,TRUE,TRUE,TRUE,TRUE,TRUE
Rhamnaceae,183,119,18,119,8,19,27,1,8,all_taxonomic_records,0.15126050420168066,100,6.2631578947368425,0.226890756302521,1200,1.5833333333333333,TRUE,TRUE,TRUE,TRUE,TRUE
Rubiaceae,179,118,24,118,22,29,50,1,0,all_taxonomic_records,0.2033898305084746,100,4.068965517241379,0.423728813559322,14174,0.20459997177931424,TRUE,TRUE,TRUE,TRUE,TRUE
Meliaceae,150,113,19,113,14,21,35,1,0,all_taxonomic_records,0.168141592920354,100,5.380952380952381,0.30973451327433627,782,2.6854219948849103,TRUE,TRUE,TRUE,TRUE,TRUE
Orchidaceae,170,111,19,111,16,47,27,1,9,all_taxonomic_records,0.17117117117117117,100,2.3617021276595747,0.24324324324324326,31480,0.14930114358322744,TRUE,TRUE,TRUE,TRUE,TRUE
Piperaceae,211,111,26,111,2,31,55,1,2,all_taxonomic_records,0.23423423423423423,100,3.5806451612903225,0.4954954954954955,3873,0.8004131164471986,TRUE,TRUE,TRUE,TRUE,TRUE
Apiaceae,197,106,18,106,15,15,32,2,0,all_taxonomic_records,0.16981132075471697,100,7.066666666666666,0.3018867924528302,3940,0.38071065989847713,TRUE,TRUE,TRUE,TRUE,TRUE
Fagaceae,199,105,20,105,5,21,27,2,11,all_taxonomic_records,0.19047619047619047,100,5,0.2571428571428571,1142,1.838879159369527,TRUE,TRUE,TRUE,TRUE,TRUE
Pteridaceae,156,101,17,101,7,12,27,2,22,all_taxonomic_records,0.16831683168316833,100,8.416666666666666,0.26732673267326734,1486,0.8075370121130552,TRUE,TRUE,TRUE,TRUE,TRUE
Vitaceae,357,101,26,101,6,15,87,2,18,all_taxonomic_records,0.25742574257425743,100,6.733333333333333,0.8613861386138614,1069,1.4031805425631432,TRUE,TRUE,TRUE,TRUE,TRUE
Myristicaceae,161,99,18,99,6,22,38,1,0,all_taxonomic_records,0.18181818181818182,100,4.5,0.3838383838383838,537,4.0968342644320295,TRUE,TRUE,TRUE,TRUE,TRUE
Paulowniaceae,148,99,5,99,1,1,8,1,0,all_taxonomic_records,0.050505050505050504,100,99,0.08080808080808081,12,8.333333333333334,TRUE,TRUE,TRUE,TRUE,FALSE
Apocynaceae,113,89,26,89,12,14,21,1,0,all_taxonomic_records,0.29213483146067415,100,6.357142857142857,0.23595505617977527,6548,0.21380574221136225,TRUE,TRUE,TRUE,TRUE,TRUE
Thymelaeaceae,179,87,14,87,7,19,44,1,0,all_taxonomic_records,0.16091954022988506,100,4.578947368421052,0.5057471264367817,987,1.9250253292806485,TRUE,TRUE,TRUE,TRUE,TRUE
Anacardiaceae,161,85,20,85,14,27,40,2,11,all_taxonomic_records,0.23529411764705882,100,3.1481481481481484,0.47058823529411764,969,2.7863777089783284,TRUE,TRUE,TRUE,TRUE,TRUE
Phyllanthaceae,109,81,9,81,5,14,20,1,0,all_taxonomic_records,0.1111111111111111,100,5.785714285714286,0.24691358024691357,2120,0.660377358490566,TRUE,TRUE,TRUE,TRUE,TRUE
Thelypteridaceae,98,80,12,80,9,10,16,2,12,all_taxonomic_records,0.15,100,8,0.2,1230,0.8130081300813008,TRUE,TRUE,TRUE,TRUE,TRUE
