inchikey,lotus_id,family,genus,species,accepted_name,accepted_rank,taxonomy_action,ref_id,source
AIONOLUJZLIMTK-AWEZNQCLSA-N,LTS0087195,Amaryllidaceae,Allium,Allium,Allium,genus,accepted_confirmed,10.1016/S0021-9673(97)01061-3,iNaturalist
FTVWIRXFELQLPI-UHFFFAOYSA-N,LTS0068303,Amaryllidaceae,Allium,Allium,Allium,genus,accepted_confirmed,10.1016/S0021-9673(97)01061-3,iNaturalist
FTVWIRXFELQLPI-ZDUSSCGKSA-N,LTS0031098,Amaryllidaceae,Allium,Allium,Allium,genus,accepted_confirmed,10.1016/S0021-9673(97)01061-3,iNaturalist
FNUPUYFWZXZMIE-LSDHHAIUSA-N,LTS0228197,Anacardiaceae,Rhus,Rhus,Rhus,genus,accepted_confirmed,10.1007/S12275-012-2068-7,GBIF Backbone Taxonomy
FNUPUYFWZXZMIE-LSDHHAIUSA-N,LTS0228197,Anacardiaceae,Rhus,Rhus,Rhus,genus,accepted_confirmed,10.1038/EMM.2007.35,GBIF Backbone Taxonomy
FNUPUYFWZXZMIE-UHFFFAOYSA-N,LTS0248078,Anacardiaceae,Rhus,Rhus,Rhus,genus,accepted_confirmed,10.1007/S12275-012-2068-7,GBIF Backbone Taxonomy
FNUPUYFWZXZMIE-UHFFFAOYSA-N,LTS0248078,Anacardiaceae,Rhus,Rhus,Rhus,genus,accepted_confirmed,10.1038/EMM.2007.35,GBIF Backbone Taxonomy
HXDMAFOJZRTAQK-FXBRDNGPSA-N,LTS0016967,Anacardiaceae,Rhus,Rhus,Rhus,genus,accepted_confirmed,10.1002/J.1537-2197.1979.TB06252.X,GBIF Backbone Taxonomy
HXDMAFOJZRTAQK-LUONYINHSA-N,LTS0125847,Anacardiaceae,Rhus,Rhus,Rhus,genus,accepted_confirmed,10.1002/J.1537-2197.1979.TB06252.X,GBIF Backbone Taxonomy
VRTGGIJPIYOHGT-LSDHHAIUSA-N,LTS0236206,Anacardiaceae,Rhus,Rhus,Rhus,genus,accepted_confirmed,10.1016/J.JEP.2003.09.043,GBIF Backbone Taxonomy
VRTGGIJPIYOHGT-UHFFFAOYSA-N,LTS0212085,Anacardiaceae,Rhus,Rhus,Rhus,genus,accepted_confirmed,10.1016/J.JEP.2003.09.043,GBIF Backbone Taxonomy
LQHGGFQNRNEFIG-UHFFFAOYSA-N,LTS0016552,Annonaceae,Uvaria,Uvaria,Uvaria,genus,accepted_confirmed,10.1021/NP50021A016,GBIF Backbone Taxonomy
LQHGGFQNRNEFIG-UHFFFAOYSA-N,LTS0016552,Annonaceae,Uvaria,Uvaria,Uvaria,genus,accepted_confirmed,10.1080/10575630290020604,GBIF Backbone Taxonomy
LQHGGFQNRNEFIG-UHFFFAOYSA-N,LTS0016552,Annonaceae,Uvaria,Uvaria,Uvaria,genus,accepted_confirmed,10.1248/CPB.52.138,GBIF Backbone Taxonomy
IOYHCQBYQJQBSK-UHFFFAOYSA-N,LTS0111889,Asteraceae,Aster,Aster,Aster,genus,accepted_confirmed,10.21608/BFSA.2001.65693,GBIF Backbone Taxonomy
DJOJDHGQRNZXQQ-AWEZNQCLSA-N,LTS0265960,Asteraceae,Baccharis,Baccharis,Baccharis,genus,accepted_confirmed,10.1016/S0031-9422(00)80758-X,GBIF Backbone Taxonomy
DJOJDHGQRNZXQQ-AWEZNQCLSA-N,LTS0265960,Asteraceae,Baccharis,Baccharis,Baccharis,genus,accepted_confirmed,10.1016/S0031-9422(00)82487-5,iNaturalist
DJOJDHGQRNZXQQ-UHFFFAOYSA-N,LTS0175293,Asteraceae,Baccharis,Baccharis,Baccharis,genus,accepted_confirmed,10.1016/S0031-9422(00)82487-5,iNaturalist
DSAJORLEPQBKDA-AWEZNQCLSA-N,LTS0036180,Asteraceae,Baccharis,Baccharis,Baccharis,genus,accepted_confirmed,10.1016/S0031-9422(00)82487-5,iNaturalist
