inchikey,ref_id,source,family,genus,species,wikidata_id,molecular_weight,xlogp,alogp,amralogp,manholdlogp,topoPSA,tpsaEfficiency,fsp3,hBondAcceptorCount,hBondDonorCount,LipinskiRuleOf5Failures,contains_sugar,contains_ring_sugars,contains_linear_sugars,number_of_carbons,number_of_oxygens,number_of_nitrogens,total_atom_number,heavy_atom_number,max_number_of_rings,min_number_of_rings,murko_framework,ertlFunctionalFragmentsPseudoSmiles,chemicalTaxonomyNPclassifierSuperclass,chemicalTaxonomyNPclassifierClass,chemicalTaxonomyClassyfireSuperclass,chemicalTaxonomyClassyfireClass,traditional_name,allWikidataIds,lotus_id,smiles,iupac_name,molecular_formula,.original_name,exact_name,key,accepted_name,accepted_id,accepted_ids,accepted_family,accepted_genus,accepted_rank,source_status,tax_status,match_rule,resolution_status,n_candidate_rows,n_candidate_accepted_ids,n_candidate_taxonomies,tax_provider,tax_checked_at,name_id,original_name,.corrected_scientific,corrected_genus,corrected_specific_epithet,corrected_infraspecific,species_original,genus_original,family_original,taxonomy_action,taxonomy_core_eligible,taxonomy_exclusion_reason
AADVYQITORPNCH-UHFFFAOYSA-N,10.1016/S0031-9422(00)95217-8,GBIF Backbone Taxonomy,Amaranthaceae,Halothamnus,Halothamnus somalensis,http://www.wikidata.org/entity/Q104907854,344.316132696382,3.214,2.9538,88.2524,2.67,98.36,0.285855774624254,0.166666666666667,1,2,NA,FALSE,FALSE,FALSE,18,7,0,41,25,4,3,O1C=C(c2ccccc2)Cc3ccccc13,2;3;1,Isoflavonoids,Isoflavones,Phenylpropanoids and polyketides,Isoflavonoids,"6-hydroxy-3-(3-hydroxy-2-methoxyphenyl)-5,7-dimethoxychromen-4-one",Q290163;Q104907853;Q104907854,LTS0187727,COc1cc2occ(-c3cccc(O)c3OC)c(=O)c2c(OC)c1O,"6-hydroxy-3-(3-hydroxy-2-methoxyphenyl)-5,7-dimethoxy-4H-chromen-4-one",C18H16O7,Halothamnus somalensis,halothamnus somalensis,halothamnus somalensis,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,897,Halothamnus somalensis,Halothamnus somalensis,Halothamnus,somalensis,NA,Halothamnus somalensis,Halothamnus,Amaranthaceae,unresolved,FALSE,unresolved_name
AAJFCQJUBNHXEM-ZWKOTPCHSA-N,10.1002/EJOC.201100410,GBIF Backbone Taxonomy,Fabaceae,Dunbaria,Dunbaria longiracemosa,http://www.wikidata.org/entity/Q104907959,366.364816966829,3.043,2.8338,99.4377,3.11,93.06,0.254185665437719,0.238095238095238,3,2,NA,FALSE,FALSE,FALSE,21,6,0,45,27,7,4,O1c2cc3OC(c4ccccc4)CCc3cc2C=CC1,1;2,Flavonoids,Dihydroflavonols,Phenylpropanoids and polyketides,Flavonoids,"(7r,8r)-5,7-dihydroxy-2,2-dimethyl-6-oxo-8-phenyl-7h,8h-pyrano[3,2-g]chromene-10-carbaldehyde",Q104907958;Q104907959;Q15534325,LTS0254730,CC1(C)C=Cc2c(O)c3c(c(C=O)c2O1)O[C@H](c1ccccc1)[C@@H](O)C3=O,"(2R,3R)-3,5-dihydroxy-8,8-dimethyl-4-oxo-2-phenyl-2H,3H,4H,8H-pyrano[3,2-g]chromene-10-carbaldehyde",C21H18O6,Dunbaria longiracemosa,dunbaria longiracemosa,dunbaria longiracemosa,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,1620,Dunbaria longiracemosa,Dunbaria longiracemosa,Dunbaria,longiracemosa,NA,Dunbaria longiracemosa,Dunbaria,Fabaceae,unresolved,FALSE,unresolved_name
ACNNVOPYPNMOSB-UHFFFAOYSA-N,10.1055/S-2005-871297,GBIF Backbone Taxonomy,Fabaceae,Flemingia,Flemingia macrophylla ex,http://www.wikidata.org/entity/Q104400372,402.440118641714,5.825,4.8452,115.9531,3.66,68.9,0.171330501758424,0.24,1,1,NA,FALSE,FALSE,FALSE,25,5,0,52,30,9,5,O1C=C(c2ccc3OCC=Cc3c2)Cc4ccc5OCC=Cc5c14,2;1,Isoflavonoids,Isoflavones,Phenylpropanoids and polyketides,Isoflavonoids,ulexone b,Q10933917;Q161794;Q34457008;Q104400372;Q39878322;Q1353893;Q104385029,LTS0117177,CC1(C)C=Cc2cc(-c3coc4c5c(cc(O)c4c3=O)OC(C)(C)C=C5)ccc2O1,"3-(2,2-dimethyl-2H-chromen-6-yl)-5-hydroxy-8,8-dimethyl-4H,8H-pyrano[2,3-h]chromen-4-one",C25H22O5,Flemingia macrophylla ex,flemingia macrophylla ex,flemingia macrophylla,NA,NA,NA,NA,NA,NA,NA,unresolved,canonical_conflict,canonical_conflict,3,3,3,NA,2026-06-24,55,Flemingia macrophylla ex,Flemingia macrophylla ex,Flemingia,macrophylla,ex,Flemingia macrophylla ex,Flemingia,Fabaceae,unresolved,FALSE,unresolved_name
ACPQNZRBESJWHB-UHFFFAOYSA-N,10.1055/S-2005-871297,GBIF Backbone Taxonomy,Fabaceae,Flemingia,Flemingia macrophylla ex,http://www.wikidata.org/entity/Q104909226,474.589087171564,9.09500000000001,7.9147,142.3535,4.21,90.9,0.191674848824907,0.3,1,3,NA,FALSE,FALSE,FALSE,30,5,0,69,35,4,3,O1C=C(c2ccccc2)Cc3ccccc13,3;1,Isoflavonoids,Isoflavones,Phenylpropanoids and polyketides,Isoflavonoids,"5,7-dihydroxy-3-[4-hydroxy-3-(2-methylbut-3-en-2-yl)phenyl]-6,8-bis(3-methylbut-2-en-1-yl)chromen-4-one",Q10933917;Q34457008;Q104909226,LTS0172018,C=CC(C)(C)c1cc(-c2coc3c(CC=C(C)C)c(O)c(CC=C(C)C)c(O)c3c2=O)ccc1O,"5,7-dihydroxy-3-[4-hydroxy-3-(2-methylbut-3-en-2-yl)phenyl]-6,8-bis(3-methylbut-2-en-1-yl)-4H-chromen-4-one",C30H34O5,Flemingia macrophylla ex,flemingia macrophylla ex,flemingia macrophylla,NA,NA,NA,NA,NA,NA,NA,unresolved,canonical_conflict,canonical_conflict,3,3,3,NA,2026-06-24,55,Flemingia macrophylla ex,Flemingia macrophylla ex,Flemingia,macrophylla,ex,Flemingia macrophylla ex,Flemingia,Fabaceae,unresolved,FALSE,unresolved_name
ADRQFDIWPRFKSP-RUDMXATFSA-N,10.1016/J.FOODCHEM.2011.09.021,GBIF Backbone Taxonomy,Fabaceae,Astragalus,Astragalus adsurgens,http://www.wikidata.org/entity/Q76310803,270.280564612447,3.38,3.1508,76.8035,2.78,66.76,0.247177590831157,0.0625,1,2,NA,FALSE,FALSE,FALSE,16,4,0,34,20,2,2,c1ccc(cc1)C=CCc2ccccc2,1;2,Flavonoids,Chalcones,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids","(2e)-1-(2,4-dihydroxyphenyl)-3-(4-methoxyphenyl)prop-2-en-1-one",Q11179542;Q2868486;Q76310803;Q79397505;Q25237;Q1955610;Q15517885;Q56787979;Q104909758;Q104852172,LTS0141934,COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1,"(2E)-1-(2,4-dihydroxyphenyl)-3-(4-methoxyphenyl)prop-2-en-1-one",C16H14O4,Astragalus adsurgens,astragalus adsurgens,astragalus adsurgens,NA,NA,NA,NA,NA,NA,NA,unresolved,exact_conflict,exact_synonym_conflict,3,3,3,NA,2026-06-24,266,Astragalus adsurgens,Astragalus adsurgens,Astragalus,adsurgens,NA,Astragalus adsurgens,Astragalus,Fabaceae,unresolved,FALSE,unresolved_name
ADRQFDIWPRFKSP-UHFFFAOYSA-N,10.1016/J.FOODCHEM.2011.09.021,GBIF Backbone Taxonomy,Fabaceae,Astragalus,Astragalus adsurgens,http://www.wikidata.org/entity/Q27256471,270.280564612447,3.38,3.1508,76.8035,2.78,66.76,0.247177590831157,0.0625,1,2,NA,FALSE,FALSE,FALSE,16,4,0,34,20,2,2,c1ccc(cc1)C=CCc2ccccc2,1;2,Flavonoids,Chalcones,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids","1-(2,4-dihydroxyphenyl)-3-(4-methoxyphenyl)prop-2-en-1-one",Q2868486;Q11179542;Q25237;Q79397505;Q1955610;Q15517885;Q56787979;Q104909758;Q27256471;Q104852172,LTS0098030,COc1ccc(C=CC(=O)c2ccc(O)cc2O)cc1,"1-(2,4-dihydroxyphenyl)-3-(4-methoxyphenyl)prop-2-en-1-one",C16H14O4,Astragalus adsurgens,astragalus adsurgens,astragalus adsurgens,NA,NA,NA,NA,NA,NA,NA,unresolved,exact_conflict,exact_synonym_conflict,3,3,3,NA,2026-06-24,266,Astragalus adsurgens,Astragalus adsurgens,Astragalus,adsurgens,NA,Astragalus adsurgens,Astragalus,Fabaceae,unresolved,FALSE,unresolved_name
AFAVBHVAMSRTSZ-QGZVFWFLSA-N,10.1016/S0031-9422(00)82366-3,GBIF Backbone Taxonomy,Pteridaceae,Pityrogramma,Pityrogramma calomela,http://www.wikidata.org/entity/Q104910856,388.413501237275,4.165,4.5674,108.2128,3.55,83.83,0.21598373754944,0.166666666666667,2,2,NA,FALSE,FALSE,FALSE,24,5,0,49,29,5,4,O1c2c(cccc2C(c3ccccc3)CC1)CCCc4ccccc4,2;1,Flavonoids,Neoflavonoids,Phenylpropanoids and polyketides,Diarylheptanoids,"(4r)-5,7-dihydroxy-4-phenyl-8-(3-phenylpropanoyl)-3,4-dihydro-1-benzopyran-2-one",Q104386325;Q17188591;Q104910856;Q15246986;Q104910854;Q104910853,LTS0091089,O=C1C[C@H](c2ccccc2)c2c(O)cc(O)c(C(=O)CCc3ccccc3)c2O1,"(4R)-5,7-dihydroxy-4-phenyl-8-(3-phenylpropanoyl)-3,4-dihydro-2H-1-benzopyran-2-one",C24H20O5,Pityrogramma calomela,pityrogramma calomela,pityrogramma calomela,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,435,Pityrogramma calomela,Pityrogramma calomela,Pityrogramma,calomela,NA,Pityrogramma calomela,Pityrogramma,Pteridaceae,unresolved,FALSE,unresolved_name
AFAVBHVAMSRTSZ-QGZVFWFLSA-N,10.1016/S0031-9422(00)98259-1,GBIF Backbone Taxonomy,Pteridaceae,Pityrogramma,Pityrogramma calomela,http://www.wikidata.org/entity/Q104910856,388.413501237275,4.165,4.5674,108.2128,3.55,83.83,0.21598373754944,0.166666666666667,2,2,NA,FALSE,FALSE,FALSE,24,5,0,49,29,5,4,O1c2c(cccc2C(c3ccccc3)CC1)CCCc4ccccc4,2;1,Flavonoids,Neoflavonoids,Phenylpropanoids and polyketides,Diarylheptanoids,"(4r)-5,7-dihydroxy-4-phenyl-8-(3-phenylpropanoyl)-3,4-dihydro-1-benzopyran-2-one",Q104386325;Q17188591;Q104910856;Q15246986;Q104910854;Q104910853,LTS0091089,O=C1C[C@H](c2ccccc2)c2c(O)cc(O)c(C(=O)CCc3ccccc3)c2O1,"(4R)-5,7-dihydroxy-4-phenyl-8-(3-phenylpropanoyl)-3,4-dihydro-2H-1-benzopyran-2-one",C24H20O5,Pityrogramma calomela,pityrogramma calomela,pityrogramma calomela,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,435,Pityrogramma calomela,Pityrogramma calomela,Pityrogramma,calomela,NA,Pityrogramma calomela,Pityrogramma,Pteridaceae,unresolved,FALSE,unresolved_name
AFAVBHVAMSRTSZ-UHFFFAOYSA-N,10.1016/S0031-9422(00)82366-3,GBIF Backbone Taxonomy,Pteridaceae,Pityrogramma,Pityrogramma calomela,http://www.wikidata.org/entity/Q104910858,388.413501237275,4.165,4.5674,108.2128,3.55,83.83,0.21598373754944,0.166666666666667,2,2,NA,FALSE,FALSE,FALSE,24,5,0,49,29,5,4,O1c2c(cccc2C(c3ccccc3)CC1)CCCc4ccccc4,2;1,Flavonoids,Neoflavonoids,Phenylpropanoids and polyketides,Diarylheptanoids,calomelanol d-1,Q104386325;Q17188591;Q104910858;Q15246986;Q104910854;Q104910853,LTS0239637,O=C1CC(c2ccccc2)c2c(O)cc(O)c(C(=O)CCc3ccccc3)c2O1,"5,7-dihydroxy-4-phenyl-8-(3-phenylpropanoyl)-3,4-dihydro-2H-1-benzopyran-2-one",C24H20O5,Pityrogramma calomela,pityrogramma calomela,pityrogramma calomela,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,435,Pityrogramma calomela,Pityrogramma calomela,Pityrogramma,calomela,NA,Pityrogramma calomela,Pityrogramma,Pteridaceae,unresolved,FALSE,unresolved_name
AFAVBHVAMSRTSZ-UHFFFAOYSA-N,10.1016/S0031-9422(00)98259-1,GBIF Backbone Taxonomy,Pteridaceae,Pityrogramma,Pityrogramma calomela,http://www.wikidata.org/entity/Q104910858,388.413501237275,4.165,4.5674,108.2128,3.55,83.83,0.21598373754944,0.166666666666667,2,2,NA,FALSE,FALSE,FALSE,24,5,0,49,29,5,4,O1c2c(cccc2C(c3ccccc3)CC1)CCCc4ccccc4,2;1,Flavonoids,Neoflavonoids,Phenylpropanoids and polyketides,Diarylheptanoids,calomelanol d-1,Q104386325;Q17188591;Q104910858;Q15246986;Q104910854;Q104910853,LTS0239637,O=C1CC(c2ccccc2)c2c(O)cc(O)c(C(=O)CCc3ccccc3)c2O1,"5,7-dihydroxy-4-phenyl-8-(3-phenylpropanoyl)-3,4-dihydro-2H-1-benzopyran-2-one",C24H20O5,Pityrogramma calomela,pityrogramma calomela,pityrogramma calomela,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,435,Pityrogramma calomela,Pityrogramma calomela,Pityrogramma,calomela,NA,Pityrogramma calomela,Pityrogramma,Pteridaceae,unresolved,FALSE,unresolved_name
