original_name,exact_name,key,legacy_n_accepted_ids,legacy_resolved,hierarchical_resolved,comparison_status,match_rule,resolution_status,accepted_name,accepted_id,accepted_family,accepted_genus,accepted_rank
Onobrychis ebenoides,onobrychis ebenoides,onobrychis ebenoides,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Onobrychis ebenoides,wfo-0000213876,Fabaceae,Onobrychis,species
Gnetum ula,gnetum ula,gnetum ula,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Gnetum edule,wfo-0001065145,Gnetaceae,Gnetum,species
Vitex negundo,vitex negundo,vitex negundo,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Vitex negundo,wfo-0000333303,Lamiaceae,Vitex,species
Dalbergia parviflora,dalbergia parviflora,dalbergia parviflora,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Dalbergia parviflora,wfo-0000185087,Fabaceae,Dalbergia,species
Oxytropis falcata,oxytropis falcata,oxytropis falcata,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Oxytropis falcata,wfo-0000198975,Fabaceae,Oxytropis,species
Salvia coccinea,salvia coccinea,salvia coccinea,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Salvia coccinea,wfo-0000300715,Lamiaceae,Salvia,species
Monarda didyma,monarda didyma,monarda didyma,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Monarda didyma,wfo-0000245316,Lamiaceae,Monarda,species
Erythrina crista-galli,erythrina crista-galli,erythrina crista-galli,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Erythrina crista-galli,wfo-0000180641,Fabaceae,Erythrina,species
Sophora prostrata,sophora prostrata,sophora prostrata,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Sophora prostrata,wfo-0000186991,Fabaceae,Sophora,species
Erythrina abyssinica,erythrina abyssinica,erythrina abyssinica,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_consensus_multiple_ids,Erythrina abyssinica,wfo-0000180423,Fabaceae,Erythrina,species
Lespedeza bicolor,lespedeza bicolor,lespedeza bicolor,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Lespedeza bicolor,wfo-0000185056,Fabaceae,Lespedeza,species
Erythrina suberosa,erythrina suberosa,erythrina suberosa,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Erythrina suberosa,wfo-0000185019,Fabaceae,Erythrina,species
Phaseolus lunatus,phaseolus lunatus,phaseolus lunatus,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Phaseolus lunatus,wfo-0000183263,Fabaceae,Phaseolus,species
Erythrina sigmoidea,erythrina sigmoidea,erythrina sigmoidea,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Erythrina sigmoidea,wfo-0000181143,Fabaceae,Erythrina,species
Erythrina burttii,erythrina burttii,erythrina burttii,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Erythrina burttii,wfo-0000180586,Fabaceae,Erythrina,species
Erythrina zeyheri,erythrina zeyheri,erythrina zeyheri,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Erythrina zeyheri,wfo-0000181259,Fabaceae,Erythrina,species
Erythrina variegata,erythrina variegata,erythrina variegata,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Erythrina variegata,wfo-0000181193,Fabaceae,Erythrina,species
Erythrina subumbrans,erythrina subumbrans,erythrina subumbrans,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Erythrina subumbrans,wfo-0000185021,Fabaceae,Erythrina,species
Lespedeza cyrtobotrya,lespedeza cyrtobotrya,lespedeza cyrtobotrya,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Lespedeza cyrtobotrya,wfo-0000185058,Fabaceae,Lespedeza,species
Sorocea guilleminiana,sorocea guilleminiana,sorocea guilleminiana,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Sorocea guilleminiana,wfo-0001084959,Moraceae,Sorocea,species
Millettia ferruginea,millettia ferruginea,millettia ferruginea,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Millettia ferruginea,wfo-0000199980,Fabaceae,Millettia,species
Millettia griffoniana,millettia griffoniana,millettia griffoniana,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Millettia griffoniana,wfo-0000200088,Fabaceae,Millettia,species
Marshallia graminifolia,marshallia graminifolia,marshallia graminifolia,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Marshallia graminifolia,wfo-0000043587,Asteraceae,Marshallia,species
Marshallia grandiflora,marshallia grandiflora,marshallia grandiflora,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Marshallia grandiflora,wfo-0000044654,Asteraceae,Marshallia,species
Marshallia ramosa,marshallia ramosa,marshallia ramosa,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Marshallia ramosa,wfo-0000125353,Asteraceae,Marshallia,species
Vernonia angustifolia,vernonia angustifolia,vernonia angustifolia,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Vernonia angustifolia,wfo-0000136997,Asteraceae,Vernonia,species
