original_name,exact_name,key,accepted_name,accepted_id,accepted_ids,accepted_family,accepted_genus,accepted_rank,source_status,tax_status,match_rule,resolution_status,n_candidate_rows,n_candidate_accepted_ids,n_candidate_taxonomies,tax_provider,tax_checked_at,name_id
Onobrychis ebenoides,onobrychis ebenoides,onobrychis ebenoides,Onobrychis ebenoides,wfo-0000213876,wfo-0000213876,Fabaceae,Onobrychis,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,1
Gnetum ula,gnetum ula,gnetum ula,Gnetum edule,wfo-0001065145,wfo-0001065145,Gnetaceae,Gnetum,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,2
Vitex negundo,vitex negundo,vitex negundo,Vitex negundo,wfo-0000333303,wfo-0000333303,Lamiaceae,Vitex,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,3
Dalbergia parviflora,dalbergia parviflora,dalbergia parviflora,Dalbergia parviflora,wfo-0000185087,wfo-0000185087,Fabaceae,Dalbergia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,4
Oxytropis falcata,oxytropis falcata,oxytropis falcata,Oxytropis falcata,wfo-0000198975,wfo-0000198975,Fabaceae,Oxytropis,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,5
Salvia coccinea,salvia coccinea,salvia coccinea,Salvia coccinea,wfo-0000300715,wfo-0000300715,Lamiaceae,Salvia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,6
Monarda didyma,monarda didyma,monarda didyma,Monarda didyma,wfo-0000245316,wfo-0000245316,Lamiaceae,Monarda,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,7
Erythrina crista-galli,erythrina crista-galli,erythrina crista-galli,Erythrina crista-galli,wfo-0000180641,wfo-0000180641,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,8
Sophora prostrata,sophora prostrata,sophora prostrata,Sophora prostrata,wfo-0000186991,wfo-0000186991,Fabaceae,Sophora,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,9
Erythrina abyssinica,erythrina abyssinica,erythrina abyssinica,Erythrina abyssinica,wfo-0000180423,wfo-0000180423;wfo-0001054737,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_consensus_multiple_ids,2,2,1,WFO_offline_hierarchical,2026-06-24,10
Lespedeza bicolor,lespedeza bicolor,lespedeza bicolor,Lespedeza bicolor,wfo-0000185056,wfo-0000185056,Fabaceae,Lespedeza,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,11
Erythrina suberosa,erythrina suberosa,erythrina suberosa,Erythrina suberosa,wfo-0000185019,wfo-0000185019,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,12
Phaseolus lunatus,phaseolus lunatus,phaseolus lunatus,Phaseolus lunatus,wfo-0000183263,wfo-0000183263,Fabaceae,Phaseolus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,13
Erythrina sigmoidea,erythrina sigmoidea,erythrina sigmoidea,Erythrina sigmoidea,wfo-0000181143,wfo-0000181143,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,14
Erythrina burttii,erythrina burttii,erythrina burttii,Erythrina burttii,wfo-0000180586,wfo-0000180586,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,15
Erythrina zeyheri,erythrina zeyheri,erythrina zeyheri,Erythrina zeyheri,wfo-0000181259,wfo-0000181259,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,16
Erythrina variegata,erythrina variegata,erythrina variegata,Erythrina variegata,wfo-0000181193,wfo-0000181193,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,17
Erythrina subumbrans,erythrina subumbrans,erythrina subumbrans,Erythrina subumbrans,wfo-0000185021,wfo-0000185021,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,18
