name_id,original_name,exact_name,key,candidate_match_stage,source_name,source_id,source_status,accepted_id,accepted_name,accepted_family,accepted_genus,accepted_rank,taxonomy_signature
1800,Acacia catechu,acacia catechu,acacia catechu,exact,Acacia catechu,wfo-0000186808,synonym,wfo-0001284769,Senegalia catechu,Fabaceae,Senegalia,species,Senegalia catechu||Fabaceae||Senegalia||species
1800,Acacia catechu,acacia catechu,acacia catechu,exact,Acacia catechu,wfo-1200021938,synonym,wfo-0001335075,Senegalia chundra,Fabaceae,Senegalia,species,Senegalia chundra||Fabaceae||Senegalia||species
1800,Acacia catechu,acacia catechu,acacia catechu,exact,Acacia catechu,wfo-1200021937,synonym,wfo-0001427394,Senegalia polyacantha subsp. polyacantha,Fabaceae,Senegalia,subspecies,Senegalia polyacantha subsp. polyacantha||Fabaceae||Senegalia||subspecies
2678,Acacia erioloba,acacia erioloba,acacia erioloba,exact,Acacia erioloba,wfo-1200021951,synonym,wfo-0001336842,Vachellia edgeworthii,Fabaceae,Vachellia,species,Vachellia edgeworthii||Fabaceae||Vachellia||species
2678,Acacia erioloba,acacia erioloba,acacia erioloba,exact,Acacia erioloba,wfo-0000194374,synonym,wfo-0001284774,Vachellia erioloba,Fabaceae,Vachellia,species,Vachellia erioloba||Fabaceae||Vachellia||species
1819,Acacia horrida,acacia horrida,acacia horrida,exact,Acacia horrida,wfo-0000200963,synonym,wfo-0001335076,Senegalia pennata,Fabaceae,Senegalia,species,Senegalia pennata||Fabaceae||Senegalia||species
1819,Acacia horrida,acacia horrida,acacia horrida,exact,Acacia horrida,wfo-0000199823,synonym,wfo-0001336851,Vachellia horrida,Fabaceae,Vachellia,species,Vachellia horrida||Fabaceae||Vachellia||species
1824,Acacia sieberiana,acacia sieberiana,acacia sieberiana,exact,Acacia sieberiana,wfo-0000201189,synonym,wfo-0000201188,Acacia hamiltoniana,Fabaceae,Acacia,species,Acacia hamiltoniana||Fabaceae||Acacia||species
1824,Acacia sieberiana,acacia sieberiana,acacia sieberiana,exact,Acacia sieberiana,wfo-1200022020,synonym,wfo-0000186862,Acacia terminalis,Fabaceae,Acacia,species,Acacia terminalis||Fabaceae||Acacia||species
1824,Acacia sieberiana,acacia sieberiana,acacia sieberiana,exact,Acacia sieberiana,wfo-0000211037,synonym,wfo-0001336883,Vachellia sieberiana,Fabaceae,Vachellia,species,Vachellia sieberiana||Fabaceae||Vachellia||species
3908,Ampelopsis heterophylla,ampelopsis heterophylla,ampelopsis heterophylla,exact,Ampelopsis heterophylla,wfo-0000531692,synonym,wfo-0000531675,Ampelopsis glandulosa var. heterophylla,Vitaceae,Ampelopsis,variety,Ampelopsis glandulosa var. heterophylla||Vitaceae||Ampelopsis||variety
3908,Ampelopsis heterophylla,ampelopsis heterophylla,ampelopsis heterophylla,exact,Ampelopsis heterophylla,wfo-0000531691,synonym,wfo-0001245969,Parthenocissus semicordata var. semicordata,Vitaceae,Parthenocissus,variety,Parthenocissus semicordata var. semicordata||Vitaceae||Parthenocissus||variety
1323,Andrographis ceylanica,andrographis ceylanica,andrographis ceylanica,exact,Andrographis ceylanica,wfo-0000534039,synonym,wfo-0000534057,Andrographis macrobotrys,Acanthaceae,Andrographis,species,Andrographis macrobotrys||Acanthaceae||Andrographis||species
1323,Andrographis ceylanica,andrographis ceylanica,andrographis ceylanica,exact,Andrographis ceylanica,wfo-0000534040,synonym,wfo-0000534085,Andrographis viscosula,Acanthaceae,Andrographis,species,Andrographis viscosula||Acanthaceae||Andrographis||species
1583,Anthemis altissima,anthemis altissima,anthemis altissima,exact,Anthemis altissima,wfo-0000039371,synonym,wfo-0000063579,Anthemis candidissima,Asteraceae,Anthemis,species,Anthemis candidissima||Asteraceae||Anthemis||species
1583,Anthemis altissima,anthemis altissima,anthemis altissima,exact,Anthemis altissima,wfo-0000025026,synonym,wfo-0000086301,Cota altissima,Asteraceae,Cota,species,Cota altissima||Asteraceae||Cota||species
1583,Anthemis altissima,anthemis altissima,anthemis altissima,exact,Anthemis altissima,wfo-0000006082,synonym,wfo-0000077255,Cota coelopoda,Asteraceae,Cota,species,Cota coelopoda||Asteraceae||Cota||species
1583,Anthemis altissima,anthemis altissima,anthemis altissima,exact,Anthemis altissima,wfo-0000065815,synonym,wfo-0000077255,Cota coelopoda,Asteraceae,Cota,species,Cota coelopoda||Asteraceae||Cota||species
3141,Artabotrys odoratissimus,artabotrys odoratissimus,artabotrys odoratissimus,exact,Artabotrys odoratissimus,wfo-0000549824,synonym,wfo-0000549733,Artabotrys blumei,Annonaceae,Artabotrys,species,Artabotrys blumei||Annonaceae||Artabotrys||species
3141,Artabotrys odoratissimus,artabotrys odoratissimus,artabotrys odoratissimus,exact,Artabotrys odoratissimus,wfo-0000549823,synonym,wfo-0000549776,Artabotrys hexapetalus,Annonaceae,Artabotrys,species,Artabotrys hexapetalus||Annonaceae||Artabotrys||species
3141,Artabotrys odoratissimus,artabotrys odoratissimus,artabotrys odoratissimus,exact,Artabotrys odoratissimus,wfo-0001065638,synonym,wfo-0000549776,Artabotrys hexapetalus,Annonaceae,Artabotrys,species,Artabotrys hexapetalus||Annonaceae||Artabotrys||species
266,Astragalus adsurgens,astragalus adsurgens,astragalus adsurgens,exact,Astragalus adsurgens,wfo-1200022108,synonym,wfo-0000179551,Astragalus iodanthus var. iodanthus,Fabaceae,Astragalus,variety,Astragalus iodanthus var. iodanthus||Fabaceae||Astragalus||variety
266,Astragalus adsurgens,astragalus adsurgens,astragalus adsurgens,exact,Astragalus adsurgens,wfo-0000169616,synonym,wfo-0001444737,Astragalus laxmannii subsp. laxmannii,Fabaceae,Astragalus,subspecies,Astragalus laxmannii subsp. laxmannii||Fabaceae||Astragalus||subspecies
266,Astragalus adsurgens,astragalus adsurgens,astragalus adsurgens,exact,Astragalus adsurgens,wfo-1200022107,synonym,wfo-0001444980,Astragalus varius subsp. varius,Fabaceae,Astragalus,subspecies,Astragalus varius subsp. varius||Fabaceae||Astragalus||subspecies
2297,Astragalus clusii,astragalus clusii,astragalus clusii,exact,Astragalus clusii,wfo-0000213549,synonym,wfo-0000553349,Astragalus clusianus,Fabaceae,Astragalus,species,Astragalus clusianus||Fabaceae||Astragalus||species
2297,Astragalus clusii,astragalus clusii,astragalus clusii,exact,Astragalus clusii,wfo-0000191776,synonym,wfo-0000212503,Astragalus glaux,Fabaceae,Astragalus,species,Astragalus glaux||Fabaceae||Astragalus||species
2297,Astragalus clusii,astragalus clusii,astragalus clusii,exact,Astragalus clusii,wfo-0001443538,synonym,wfo-0000191796,Astragalus hypoglottis subsp. hypoglottis,Fabaceae,Astragalus,subspecies,Astragalus hypoglottis subsp. hypoglottis||Fabaceae||Astragalus||subspecies
3962,Baccharis pingraea,baccharis pingraea,baccharis pingraea,exact,Baccharis pingraea,wfo-0000133122,synonym,wfo-0000000226,Baccharis glutinosa,Asteraceae,Baccharis,species,Baccharis glutinosa||Asteraceae||Baccharis||species
3962,Baccharis pingraea,baccharis pingraea,baccharis pingraea,exact,Baccharis pingraea,wfo-0000009032,synonym,wfo-0000094649,Gymnosperma glutinosum,Asteraceae,Gymnosperma,species,Gymnosperma glutinosum||Asteraceae||Gymnosperma||species
3179,Bauhinia retusa,bauhinia retusa,bauhinia retusa,exact,Bauhinia retusa,wfo-0000180127,synonym,wfo-0000183531,Bauhinia divaricata,Fabaceae,Bauhinia,species,Bauhinia divaricata||Fabaceae||Bauhinia||species
3179,Bauhinia retusa,bauhinia retusa,bauhinia retusa,exact,Bauhinia retusa,wfo-0000203509,synonym,wfo-1000003003,Phanera roxburghiana,Fabaceae,Phanera,species,Phanera roxburghiana||Fabaceae||Phanera||species
3179,Bauhinia retusa,bauhinia retusa,bauhinia retusa,exact,Bauhinia retusa,wfo-1200011024,synonym,wfo-1000003003,Phanera roxburghiana,Fabaceae,Phanera,species,Phanera roxburghiana||Fabaceae||Phanera||species
1673,Brassica alba,brassica alba,brassica alba,exact,Brassica alba,wfo-0000570853,synonym,wfo-0000571350,Brassica oleracea,Brassicaceae,Brassica,species,Brassica oleracea||Brassicaceae||Brassica||species
1673,Brassica alba,brassica alba,brassica alba,exact,Brassica alba,wfo-0000570854,synonym,wfo-0001216509,Sinapis alba subsp. alba,Brassicaceae,Sinapis,subspecies,Sinapis alba subsp. alba||Brassicaceae||Sinapis||subspecies
