inchikey,annotation_status,n_input_rows,n_input_smiles,n_valid_smiles,n_unique_standardized_smiles,structure_conflict,representative_input_smiles,canonical_smiles,standardized_smiles,rdkit_inchikey,input_fragment_count,stereo_fallback_used,annotation_error_message,inchikey_exact_match,inchikey_connectivity_match,n_phenolic_OH,has_phenolic_OH,n_methoxy_aryl,has_methoxy_aryl,n_prenyl_like,has_prenyl_like,n_alpha_beta_unsaturated_carbonyl,has_alpha_beta_unsaturated_carbonyl,n_probable_sugar_rings,has_probable_sugar_ring,has_probable_sugar,bemis_murcko_scaffold_smiles,bemis_murcko_generic_scaffold_smiles,bemis_murcko_scaffold_atom_count,has_bemis_murcko_scaffold,murcko_framework,murko_framework,mw,exact_mw,logp,tpsa,fsp3,num_HBD,num_HBA,num_rings,num_aromatic_rings,num_rotatable_bonds,heavy_atom_number,formal_charge,fragment_count_after_standardization,selected_motif_count,is_simple_selected_motifs,decoration_combination,all_motif_combination,standardized_rdkit_inchikey,standardized_inchikey_exact_match,standardized_inchikey_connectivity_match,num_carbons,num_oxygens,num_nitrogens,num_sulfurs,num_halogens,largest_input_fragment_heavy_atoms,second_input_fragment_heavy_atoms,substantial_multicomponent_input,qc_zero_oxygen,qc_carbon_count_below_14,qc_contains_nitrogen,qc_contains_sulfur,qc_contains_halogen,primary_structure_eligible,structural_qc_status,structural_qc_reasons,class_np,family,genus,species,ref_id
AAAQSJHHXMDZCO-FZMZJTMJSA-N,valid,1,1,1,1,False,COc1ccc2c(c1OC)OC[C@H]1c3cc(O)c(OC)c(OC)c3O[C@@H]21,COc1ccc2c(c1OC)OC[C@H]1c3cc(O)c(OC)c(OC)c3O[C@@H]21,COc1ccc2c(c1OC)OC[C@H]1c3cc(O)c(OC)c(OC)c3O[C@@H]21,AAAQSJHHXMDZCO-FZMZJTMJSA-N,1,False,,True,True,1,True,4,True,0,False,0,False,0,False,False,c1ccc2c(c1)OC1c3ccccc3OCC21,C1CCC2C(C1)CC1C3CCCCC3CCC21,17,True,c1ccc2c(c1)OC1c3ccccc3OCC21,c1ccc2c(c1)OC1c3ccccc3OCC21,360.36200000000014,360.12090298,3.0363000000000016,75.61000000000001,0.3684210526315789,1,7,4,2,4,26,0,1,1,False,methoxy_aryl,phenolic_OH+methoxy_aryl,AAAQSJHHXMDZCO-FZMZJTMJSA-N,True,True,19,7,0,0,0,26,,False,False,False,False,False,False,True,pass,,Pterocarpan,Fabaceae,Swartzia,Swartzia laevicarpa,10.1016/0031-9422(80)83022-6
AAAQSJHHXMDZCO-UHFFFAOYSA-N,valid,1,1,1,1,False,COc1ccc2c(c1OC)OCC1c3cc(O)c(OC)c(OC)c3OC21,COc1ccc2c(c1OC)OCC1c3cc(O)c(OC)c(OC)c3OC21,COc1ccc2c(c1OC)OCC1c3cc(O)c(OC)c(OC)c3OC21,AAAQSJHHXMDZCO-UHFFFAOYSA-N,1,False,,True,True,1,True,4,True,0,False,0,False,0,False,False,c1ccc2c(c1)OC1c3ccccc3OCC21,C1CCC2C(C1)CC1C3CCCCC3CCC21,17,True,c1ccc2c(c1)OC1c3ccccc3OCC21,c1ccc2c(c1)OC1c3ccccc3OCC21,360.36200000000014,360.12090298,3.0363000000000016,75.61000000000001,0.3684210526315789,1,7,4,2,4,26,0,1,1,False,methoxy_aryl,phenolic_OH+methoxy_aryl,AAAQSJHHXMDZCO-UHFFFAOYSA-N,True,True,19,7,0,0,0,26,,False,False,False,False,False,False,True,pass,,Pterocarpan,Fabaceae,Swartzia,Swartzia laevicarpa,10.1016/0031-9422(80)83022-6
AADNEQWIZKTMBL-GOSISDBHSA-N,valid,1,1,1,1,False,COc1c(C(=O)C[C@@H](OC)c2ccccc2)ccc2occc12,COc1c(C(=O)C[C@@H](OC)c2ccccc2)ccc2occc12,COc1c(C(=O)C[C@@H](OC)c2ccccc2)ccc2occc12,AADNEQWIZKTMBL-GOSISDBHSA-N,1,False,,True,True,0,False,1,True,0,False,0,False,0,False,False,O=C(CCc1ccccc1)c1ccc2occc2c1,CC(CCC1CCCCC1)C1CCC2CCCC2C1,19,True,O=C(CCc1ccccc1)c1ccc2occc2c1,O=C(CCc1ccccc1)c1ccc2occc2c1,310.3490000000001,310.120509056,4.401900000000003,48.67,0.21052631578947367,0,4,3,3,6,23,0,1,1,False,methoxy_aryl,methoxy_aryl,AADNEQWIZKTMBL-GOSISDBHSA-N,True,True,19,4,0,0,0,23,,False,False,False,False,False,False,True,pass,,Chalcones,Fabaceae,Pongamia,Pongamia pinnata,10.1016/0031-9422(92)80055-J
AADNEQWIZKTMBL-UHFFFAOYSA-N,valid,2,1,1,1,False,COc1c(C(=O)CC(OC)c2ccccc2)ccc2occc12,COc1c(C(=O)CC(OC)c2ccccc2)ccc2occc12,COc1c(C(=O)CC(OC)c2ccccc2)ccc2occc12,AADNEQWIZKTMBL-UHFFFAOYSA-N,1,False,,True,True,0,False,1,True,0,False,0,False,0,False,False,O=C(CCc1ccccc1)c1ccc2occc2c1,CC(CCC1CCCCC1)C1CCC2CCCC2C1,19,True,O=C(CCc1ccccc1)c1ccc2occc2c1,O=C(CCc1ccccc1)c1ccc2occc2c1,310.3490000000001,310.120509056,4.401900000000003,48.67,0.21052631578947367,0,4,3,3,6,23,0,1,1,False,methoxy_aryl,methoxy_aryl,AADNEQWIZKTMBL-UHFFFAOYSA-N,True,True,19,4,0,0,0,23,,False,False,False,False,False,False,True,pass,,Chalcones,Fabaceae,Pongamia,Pongamia pinnata,10.1016/0031-9422(92)80055-J;10.1016/0031-9422(92)80201-O
AAKHRTZXSZBLFQ-UHFFFAOYSA-N,valid,1,1,1,1,False,COc1ccc2c(c1)oc1c3c(O)cc(O)cc3oc(=O)c21,COc1ccc2c(c1)oc1c3c(O)cc(O)cc3oc(=O)c21,COc1ccc2c(c1)oc1c3c(O)cc(O)cc3oc(=O)c21,AAKHRTZXSZBLFQ-UHFFFAOYSA-N,1,False,,True,True,2,True,1,True,0,False,0,False,0,False,False,O=c1oc2ccccc2c2oc3ccccc3c12,CC1CC2CCCCC2C2CC3CCCCC3C12,18,True,O=c1oc2ccccc2c2oc3ccccc3c12,O=c1oc2ccccc2c2oc3ccccc3c12,298.25000000000006,298.04773804,3.1122000000000005,93.03999999999999,0.0625,2,6,4,4,1,22,0,1,1,False,methoxy_aryl,phenolic_OH+methoxy_aryl,AAKHRTZXSZBLFQ-UHFFFAOYSA-N,True,True,16,6,0,0,0,22,,False,False,False,False,False,False,True,pass,,Coumestan,Fabaceae,Corethrodendron,Corethrodendron multijugum,10.1021/NP050233+
AALISTBXLBQUEH-HNNXBMFYSA-N,valid,1,1,1,1,False,COc1c([C@@H]2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,COc1c([C@@H]2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,COc1c([C@@H]2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,AALISTBXLBQUEH-HNNXBMFYSA-N,1,False,,True,True,3,True,1,True,1,True,0,False,0,False,False,O=C1c2ccccc2OCC1c1ccccc1,CC1C2CCCCC2CCC1C1CCCCC1,17,True,O=C1c2ccccc2OCC1c1ccccc1,O=C1c2ccccc2OCC1c1ccccc1,370.4010000000001,370.141638424,3.6796000000000024,96.22000000000001,0.2857142857142857,3,6,3,2,4,27,0,1,2,False,methoxy_aryl+prenyl_like,phenolic_OH+methoxy_aryl+prenyl_like,AALISTBXLBQUEH-HNNXBMFYSA-N,True,True,21,6,0,0,0,27,,False,False,False,False,False,False,True,pass,,Isoflavanones,Fabaceae,Sophora,Sophora fraseri,10.1016/S0031-9422(00)90868-9
AALISTBXLBQUEH-OAHLLOKOSA-N,valid,3,1,1,1,False,COc1c([C@H]2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,COc1c([C@H]2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,COc1c([C@H]2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,AALISTBXLBQUEH-OAHLLOKOSA-N,1,False,,True,True,3,True,1,True,1,True,0,False,0,False,False,O=C1c2ccccc2OCC1c1ccccc1,CC1C2CCCCC2CCC1C1CCCCC1,17,True,O=C1c2ccccc2OCC1c1ccccc1,O=C1c2ccccc2OCC1c1ccccc1,370.4010000000001,370.141638424,3.6796000000000024,96.22000000000001,0.2857142857142857,3,6,3,2,4,27,0,1,2,False,methoxy_aryl+prenyl_like,phenolic_OH+methoxy_aryl+prenyl_like,AALISTBXLBQUEH-OAHLLOKOSA-N,True,True,21,6,0,0,0,27,,False,False,False,False,False,False,True,pass,,Isoflavanones,Fabaceae,Sophora,Sophora fraseri;Sophora koreensis;Sophora tomentosa,10.1016/0031-9422(92)90056-V;10.1016/S0031-9422(00)90868-9;10.1016/S0031-9422(97)00474-3
AALISTBXLBQUEH-UHFFFAOYSA-N,valid,5,1,1,1,False,COc1c(C2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,COc1c(C2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,COc1c(C2COc3cc(O)cc(O)c3C2=O)ccc(O)c1CC=C(C)C,AALISTBXLBQUEH-UHFFFAOYSA-N,1,False,,True,True,3,True,1,True,1,True,0,False,0,False,False,O=C1c2ccccc2OCC1c1ccccc1,CC1C2CCCCC2CCC1C1CCCCC1,17,True,O=C1c2ccccc2OCC1c1ccccc1,O=C1c2ccccc2OCC1c1ccccc1,370.4010000000001,370.141638424,3.6796000000000024,96.22000000000001,0.2857142857142857,3,6,3,2,4,27,0,1,2,False,methoxy_aryl+prenyl_like,phenolic_OH+methoxy_aryl+prenyl_like,AALISTBXLBQUEH-UHFFFAOYSA-N,True,True,21,6,0,0,0,27,,False,False,False,False,False,False,True,pass,,Isoflavanones,Fabaceae,Sophora,Sophora fraseri;Sophora koreensis;Sophora tomentosa,10.1016/0031-9422(92)83646-G;10.1016/0031-9422(92)90056-V;10.1016/S0031-9422(00)90868-9;10.1016/S0031-9422(97)00474-3;10.1248/CPB.38.2756
AAOPKIFUFWCDQZ-CXXWFMJBSA-N,valid,1,1,1,1,False,Oc1cc(O)c(C[C@H](O)[C@H](c2ccc(O)c(O)c2)c2c(O)cc(O)c3c2O[C@@H](c2ccc(O)c(O)c2)[C@@H](O)C3)c(O)c1,Oc1cc(O)c(C[C@H](O)[C@H](c2ccc(O)c(O)c2)c2c(O)cc(O)c3c2O[C@@H](c2ccc(O)c(O)c2)[C@@H](O)C3)c(O)c1,Oc1cc(O)c(C[C@H](O)[C@H](c2ccc(O)c(O)c2)c2c(O)cc(O)c3c2O[C@@H](c2ccc(O)c(O)c2)[C@@H](O)C3)c(O)c1,AAOPKIFUFWCDQZ-CXXWFMJBSA-N,1,False,,True,True,9,True,0,False,0,False,0,False,0,False,False,c1ccc(CCC(c2ccccc2)c2cccc3c2OC(c2ccccc2)CC3)cc1,C1CCC(CCC(C2CCCCC2)C2CCCC3CCC(C4CCCCC4)CC32)CC1,31,True,c1ccc(CCC(c2ccccc2)c2cccc3c2OC(c2ccccc2)CC3)cc1,c1ccc(CCC(c2ccccc2)c2cccc3c2OC(c2ccccc2)CC3)cc1,580.5420000000003,580.1580763359999,2.8096000000000005,231.75999999999996,0.2,11,12,5,4,6,42,0,1,0,True,none_of_selected_motifs,phenolic_OH,AAOPKIFUFWCDQZ-CXXWFMJBSA-N,True,True,30,12,0,0,0,42,,False,False,False,False,False,False,True,pass,,Flavan-3-ols,Rubiaceae,Uncaria,Uncaria gambir,10.1248/CPB.55.268
AAOPKIFUFWCDQZ-KEQINOFFSA-N,valid,1,1,1,1,False,Oc1cc(O)c(C[C@H](O)[C@H](c2ccc(O)c(O)c2)c2c(O)cc(O)c3c2O[C@H](c2ccc(O)c(O)c2)[C@@H](O)C3)c(O)c1,Oc1cc(O)c(C[C@H](O)[C@H](c2ccc(O)c(O)c2)c2c(O)cc(O)c3c2O[C@H](c2ccc(O)c(O)c2)[C@@H](O)C3)c(O)c1,Oc1cc(O)c(C[C@H](O)[C@H](c2ccc(O)c(O)c2)c2c(O)cc(O)c3c2O[C@H](c2ccc(O)c(O)c2)[C@@H](O)C3)c(O)c1,AAOPKIFUFWCDQZ-KEQINOFFSA-N,1,False,,True,True,9,True,0,False,0,False,0,False,0,False,False,c1ccc(CCC(c2ccccc2)c2cccc3c2OC(c2ccccc2)CC3)cc1,C1CCC(CCC(C2CCCCC2)C2CCCC3CCC(C4CCCCC4)CC32)CC1,31,True,c1ccc(CCC(c2ccccc2)c2cccc3c2OC(c2ccccc2)CC3)cc1,c1ccc(CCC(c2ccccc2)c2cccc3c2OC(c2ccccc2)CC3)cc1,580.5420000000003,580.1580763359999,2.8096000000000005,231.75999999999996,0.2,11,12,5,4,6,42,0,1,0,True,none_of_selected_motifs,phenolic_OH,AAOPKIFUFWCDQZ-KEQINOFFSA-N,True,True,30,12,0,0,0,42,,False,False,False,False,False,False,True,pass,,Flavan-3-ols,Rosaceae,Sanguisorba,Sanguisorba officinalis,10.1016/0031-9422(83)80168-X
