inchikey,annotation_status,structural_qc_status,structural_qc_reasons,primary_structure_eligible,class_np,family,genus,species,representative_input_smiles,standardized_smiles,num_carbons,num_oxygens,num_nitrogens,num_sulfurs,num_halogens,input_fragment_count,largest_input_fragment_heavy_atoms,second_input_fragment_heavy_atoms,substantial_multicomponent_input,stereo_fallback_used,standardized_rdkit_inchikey,standardized_inchikey_exact_match,standardized_inchikey_connectivity_match,mw,logp,tpsa,fsp3,bemis_murcko_scaffold_smiles,ref_id
BMRQRDSXSJLTAI-UHFFFAOYSA-N,valid,exclude_primary,carbon_count_below_14,False,Chalcones,Amaryllidaceae,Allium,Allium cepa,O=C(O)C(=O)c1c(O)cc(O)cc1O,O=C(O)C(=O)c1c(O)cc(O)cc1O,8,6,0,0,0,1,14,,False,False,BMRQRDSXSJLTAI-UHFFFAOYSA-N,True,True,198.13,0.07069999999999993,115.06,0.0,c1ccccc1,10.1021/JF060251C
DZWVGWIVGSAXKU-JTQLQIEISA-N,valid,exclude_primary,carbon_count_below_14,False,Rotenoids,Asteraceae,Ophryosporus,Ophryosporus heptanthus,C=C(C)[C@@H]1Cc2cc(OC)c(OC)cc2O1,C=C(C)[C@@H]1Cc2cc(OC)c(OC)cc2O1,13,3,0,0,0,1,16,,False,False,DZWVGWIVGSAXKU-JTQLQIEISA-N,True,True,220.26799999999997,2.583400000000001,27.69,0.38461538461538464,c1ccc2c(c1)CCO2,10.1021/JF0527549
DZWVGWIVGSAXKU-UHFFFAOYSA-N,valid,exclude_primary,carbon_count_below_14,False,Rotenoids,Asteraceae,Ophryosporus,Ophryosporus heptanthus,C=C(C)C1Cc2cc(OC)c(OC)cc2O1,C=C(C)C1Cc2cc(OC)c(OC)cc2O1,13,3,0,0,0,1,16,,False,False,DZWVGWIVGSAXKU-UHFFFAOYSA-N,True,True,220.26799999999997,2.583400000000001,27.69,0.38461538461538464,c1ccc2c(c1)CCO2,10.1021/JF0527549
FAQJJMHZNSSFSM-UHFFFAOYSA-N,valid,exclude_primary,carbon_count_below_14,False,Chalcones,Vitaceae,Vitis,Vitis vinifera,O=C(O)C(=O)c1ccccc1,O=C(O)C(=O)c1ccccc1,8,3,0,0,0,1,11,,False,False,FAQJJMHZNSSFSM-UHFFFAOYSA-N,True,True,150.13299999999998,0.9539000000000001,54.37,0.0,c1ccccc1,10.3389/FMICB.2017.00457
FURJBIIWGLKKIO-UHFFFAOYSA-N,valid,exclude_primary,carbon_count_below_14,False,Chalcones,Asteraceae,Carlina,Carlina acaulis,C(=Cc1ccccc1)=Cc1ccco1,C(=Cc1ccccc1)=Cc1ccco1,13,1,0,0,0,1,14,,False,False,FURJBIIWGLKKIO-UHFFFAOYSA-N,True,True,182.22199999999998,3.605100000000002,13.14,0.0,C(=Cc1ccccc1)=Cc1ccco1,10.1002/CBER.190603901108
GHNBEBDYYSVNEK-XPQLPGEHSA-N,valid,exclude_primary,carbon_count_below_14,False,Chalcones,Asteraceae,Artemisia,Artemisia capillaris,C/C=C/C=C/C(=O)c1ccccc1,C/C=C/C=C/C(=O)c1ccccc1,12,1,0,0,0,1,13,,False,False,GHNBEBDYYSVNEK-XPQLPGEHSA-N,True,True,172.227,3.0016000000000016,17.07,0.08333333333333333,c1ccccc1,10.1016/0378-8741(89)90060-3
IDTFANFXLFNLMC-UHFFFAOYSA-N,valid,exclude_primary,carbon_count_below_14,False,Chalcones,Asteraceae,Taraxacum,Taraxacum platycarpum,COc1ccc(C(=O)C(=O)O)cc1,COc1ccc(C(=O)C(=O)O)cc1,9,4,0,0,0,1,13,,False,False,IDTFANFXLFNLMC-UHFFFAOYSA-N,True,True,180.159,0.9624999999999999,63.60000000000001,0.1111111111111111,c1ccccc1,10.1002/PTR.5276
JHGVLAHJJNKSAW-UHFFFAOYSA-N,valid,exclude_primary,carbon_count_below_14,False,Neoflavonoids,Moraceae,Ficus,Ficus sagittata,COc1ccc2c(c1)OC(=O)CC2,COc1ccc2c(c1)OC(=O)CC2,10,3,0,0,0,1,13,,False,False,JHGVLAHJJNKSAW-UHFFFAOYSA-N,True,True,178.18699999999995,1.5467999999999997,35.53,0.3,O=C1CCc2ccccc2O1,10.1080/14786411003754223
KRIOVPPHQSLHCZ-UHFFFAOYSA-N,valid,exclude_primary,carbon_count_below_14,False,Chalcones,Asteraceae;Lamiaceae;Sapotaceae,Artemisia;Manilkara;Micromeria,Artemisia judaica;Manilkara zapota;Micromeria cristata,CCC(=O)c1ccccc1,CCC(=O)c1ccccc1,9,1,0,0,0,1,10,,False,False,KRIOVPPHQSLHCZ-UHFFFAOYSA-N,True,True,134.17799999999997,2.2793,17.07,0.2222222222222222,c1ccccc1,10.1021/JF00111A026;10.1080/10412905.1990.9697881;10.1080/10412905.1995.9698563
MSTDXOZUKAQDRL-UHFFFAOYSA-N,valid,exclude_primary,carbon_count_below_14,False,Flavanones,Asteraceae,Lasiolaena,Lasiolaena morii,O=C1CCOc2ccccc21,O=C1CCOc2ccccc21,9,2,0,0,0,1,11,,False,False,MSTDXOZUKAQDRL-UHFFFAOYSA-N,True,True,148.16099999999997,1.6518,26.3,0.2222222222222222,O=C1CCOc2ccccc21,10.1016/0031-9422(82)80035-6
