ID,FinalClade,AnalysisClade,Order,apg_match,DetailedColor,Color
Asteraceae,Asterids (Campanulids),Asterids (Campanulids),Asterales,TRUE,#984EA3,#984EA3
Campanulaceae,Asterids (Campanulids),Asterids (Campanulids),Asterales,TRUE,#984EA3,#984EA3
Apiaceae,Asterids (Campanulids),Asterids (Campanulids),Apiales,TRUE,#984EA3,#984EA3
Araliaceae,Asterids (Campanulids),Asterids (Campanulids),Apiales,TRUE,#984EA3,#984EA3
Caprifoliaceae,Asterids (Campanulids),Asterids (Campanulids),Dipsacales,TRUE,#984EA3,#984EA3
Viburnaceae,Asterids (Campanulids),Asterids (Campanulids),,FALSE,#984EA3,#984EA3
Paracryphiaceae,Asterids (Campanulids),Asterids (Campanulids),Paracryphiales,TRUE,#984EA3,#984EA3
Aquifoliaceae,Asterids (Campanulids),Asterids (Campanulids),Aquifoliales,TRUE,#984EA3,#984EA3
Lamiaceae,Asterids (Lamiids),Asterids (Lamiids),Lamiales,TRUE,#377EB8,#377EB8
Paulowniaceae,Asterids (Lamiids),Asterids (Lamiids),Lamiales,TRUE,#377EB8,#377EB8
Phrymaceae,Asterids (Lamiids),Asterids (Lamiids),Lamiales,TRUE,#377EB8,#377EB8
Acanthaceae,Asterids (Lamiids),Asterids (Lamiids),Lamiales,TRUE,#377EB8,#377EB8
Bignoniaceae,Asterids (Lamiids),Asterids (Lamiids),Lamiales,TRUE,#377EB8,#377EB8
Verbenaceae,Asterids (Lamiids),Asterids (Lamiids),Lamiales,TRUE,#377EB8,#377EB8
Scrophulariaceae,Asterids (Lamiids),Asterids (Lamiids),Lamiales,TRUE,#377EB8,#377EB8
Plantaginaceae,Asterids (Lamiids),Asterids (Lamiids),Lamiales,TRUE,#377EB8,#377EB8
Gesneriaceae,Asterids (Lamiids),Asterids (Lamiids),Lamiales,TRUE,#377EB8,#377EB8
Calceolariaceae,Asterids (Lamiids),Asterids (Lamiids),Lamiales,TRUE,#377EB8,#377EB8
Oleaceae,Asterids (Lamiids),Asterids (Lamiids),Lamiales,TRUE,#377EB8,#377EB8
Boraginaceae,Asterids (Lamiids),Asterids (Lamiids),Boraginales,TRUE,#377EB8,#377EB8
Namaceae,Asterids (Lamiids),Asterids (Lamiids),,FALSE,#377EB8,#377EB8
Heliotropiaceae,Asterids (Lamiids),Asterids (Lamiids),,FALSE,#377EB8,#377EB8
Cordiaceae,Asterids (Lamiids),Asterids (Lamiids),,FALSE,#377EB8,#377EB8
Rubiaceae,Asterids (Lamiids),Asterids (Lamiids),Gentianales,TRUE,#377EB8,#377EB8
Apocynaceae,Asterids (Lamiids),Asterids (Lamiids),Gentianales,TRUE,#377EB8,#377EB8
Gentianaceae,Asterids (Lamiids),Asterids (Lamiids),Gentianales,TRUE,#377EB8,#377EB8
Loganiaceae,Asterids (Lamiids),Asterids (Lamiids),Gentianales,TRUE,#377EB8,#377EB8
Solanaceae,Asterids (Lamiids),Asterids (Lamiids),Solanales,TRUE,#377EB8,#377EB8
Convolvulaceae,Asterids (Lamiids),Asterids (Lamiids),Solanales,TRUE,#377EB8,#377EB8
Eucommiaceae,Asterids (Lamiids),Asterids (Lamiids),Garryales,TRUE,#377EB8,#377EB8
Ericaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Actinidiaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Sarraceniaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Symplocaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Diapensiaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Primulaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Ebenaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Lecythidaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Sapotaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Theaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Pentaphylacaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Balsaminaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Marcgraviaceae,Asterids (Basal),Asterids (Basal),Ericales,TRUE,#FDAE6B,#FF7F00
Hydrangeaceae,Asterids (Basal),Asterids (Basal),Cornales,TRUE,#FDAE6B,#FF7F00
Cornaceae,Asterids (Basal),Asterids (Basal),Cornales,TRUE,#FDAE6B,#FF7F00
Cactaceae,Caryophyllales,Caryophy_Santalales,Caryophyllales,TRUE,#E31A1C,#E31A1C
Portulacaceae,Caryophyllales,Caryophy_Santalales,Caryophyllales,TRUE,#E31A1C,#E31A1C
Didiereaceae,Caryophyllales,Caryophy_Santalales,Caryophyllales,TRUE,#E31A1C,#E31A1C
Basellaceae,Caryophyllales,Caryophy_Santalales,Caryophyllales,TRUE,#E31A1C,#E31A1C
Molluginaceae,Caryophyllales,Caryophy_Santalales,Caryophyllales,TRUE,#E31A1C,#E31A1C
