family,genus,species_binomial,n_occurrence_rows,n_compounds,n_references,representative_allowed,representative_exclusion_reason,representative_source,tree_species,representative_taxonomy_status,Order,Node.1,Node.2,Node.3,Node.4,apg_match,nodes_text,FinalClade,is_vascular,clade_assignment_source,AnalysisClade
Acanthaceae,Andrographis,Andrographis paniculata,15,9,5,TRUE,,observed_binomial_species,Andrographis_paniculata,compatible,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Achariaceae,Caloncoba,Caloncoba glauca,3,3,1,TRUE,,observed_binomial_species,Caloncoba_glauca,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Acrobolbaceae,Acrobolbus,Acrobolbus renifolius,2,2,1,TRUE,,observed_binomial_species,Acrobolbus_renifolius,compatible,,,,,,FALSE,,Bryophytes,FALSE,manual_family_override,Bryophytes
Actinidiaceae,Actinidia,Actinidia chinensis,46,29,6,TRUE,,observed_binomial_species,Actinidia_chinensis,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Aizoaceae,Nelia,Nelia pillansii,12,12,1,TRUE,,observed_binomial_species,Nelia_pillansii,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Altingiaceae,Liquidambar,Liquidambar styraciflua,3,3,1,TRUE,,observed_binomial_species,Liquidambar_styraciflua,compatible,Saxifragales,Eudicots,Superrosids,,,TRUE,Eudicots | Superrosids,Saxifragales,TRUE,APG_reference,Saxifragales
Amaranthaceae,Beta,Beta vulgaris,14,12,3,TRUE,,observed_binomial_species,Beta_vulgaris,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Amaryllidaceae,Habranthus,Habranthus brachyandrus,17,17,1,TRUE,,observed_binomial_species,Habranthus_brachyandrus,compatible,Asparagales,Monocots,,,,TRUE,Monocots,Monocots,TRUE,APG_reference,Monocots
Anacardiaceae,Semecarpus,Semecarpus anacardium,16,13,4,TRUE,,observed_binomial_species,Semecarpus_anacardium,compatible,Sapindales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Annonaceae,Miliusa,Miliusa balansae,23,18,3,TRUE,,observed_binomial_species,Miliusa_balansae,compatible,Magnoliales,Magnoliids,,,,TRUE,Magnoliids,Magnoliids,TRUE,APG_reference,Magnoliids
Apiaceae,Angelica,Angelica keiskei,127,64,17,TRUE,,observed_binomial_species,Angelica_keiskei,compatible,Apiales,Eudicots,Superasterids,Asterids,Campanulids,TRUE,Eudicots | Superasterids | Asterids | Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Apocynaceae,Urceola,Urceola laevigata,26,24,2,TRUE,,observed_binomial_species,Urceola_laevigata,compatible,Gentianales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Aquifoliaceae,Ilex,Ilex centrochinensis,3,3,3,TRUE,,observed_binomial_species,Ilex_centrochinensis,compatible,Aquifoliales,Eudicots,Superasterids,Asterids,Campanulids,TRUE,Eudicots | Superasterids | Asterids | Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Araceae,Anchomanes,Anchomanes difformis,2,2,1,TRUE,,observed_binomial_species,Anchomanes_difformis,compatible,Alismatales,Monocots,,,,TRUE,Monocots,Monocots,TRUE,APG_reference,Monocots
Araliaceae,Eleutherococcus,Eleutherococcus brachypus,7,7,2,TRUE,,observed_binomial_species,Eleutherococcus_brachypus,compatible,Apiales,Eudicots,Superasterids,Asterids,Campanulids,TRUE,Eudicots | Superasterids | Asterids | Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Araucariaceae,Araucaria,Araucaria angustifolia,5,5,2,TRUE,,observed_binomial_species,Araucaria_angustifolia,compatible,Cupressales,,,,,TRUE,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Arecaceae,Calamus,Calamus draco,22,21,4,TRUE,,observed_binomial_species,Calamus_draco,compatible,Arecales,Monocots,Commelinids,,,TRUE,Monocots | Commelinids,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
