family,n_occurrence_rows_total,n_compounds_total,n_references_total,n_occurrence_rows_primary,n_primary_compounds,n_primary_references,n_occurrence_rows_excluded,n_excluded_compounds,excluded_inchikeys,exclusion_reasons,retained_in_primary_tree,tree_exclusion_reason
Acanthaceae,40,26,13,40,26,13,0,0,,,TRUE,
Achariaceae,3,3,1,3,3,1,0,0,,,TRUE,
Acrobolbaceae,2,2,1,2,2,1,0,0,,,TRUE,
Actinidiaceae,50,29,8,50,29,8,0,0,,,TRUE,
Aizoaceae,27,26,4,27,26,4,0,0,,,TRUE,
Altingiaceae,4,4,2,4,4,2,0,0,,,TRUE,
Amaranthaceae,47,33,18,47,33,18,0,0,,,TRUE,
Amaryllidaceae,104,77,22,103,76,22,1,1,BMRQRDSXSJLTAI-UHFFFAOYSA-N,carbon_count_below_14,TRUE,
Anacardiaceae,150,80,36,150,80,36,0,0,,,TRUE,
Annonaceae,379,209,76,379,209,76,0,0,,,TRUE,
Apiaceae,197,106,32,194,103,29,3,3,RWCCWEUUXYIKHB-UHFFFAOYSA-N;YLHXLHGIAMFFBU-UHFFFAOYSA-N;YXZAANSFGURKCL-UHFFFAOYSA-N,carbon_count_below_14,TRUE,
Apocynaceae,113,89,21,113,89,21,0,0,,,TRUE,
Aquifoliaceae,5,5,4,5,5,4,0,0,,,TRUE,
Araceae,3,3,2,2,2,1,1,1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,carbon_count_below_14,TRUE,
Araliaceae,12,12,5,12,12,5,0,0,,,TRUE,
Araucariaceae,5,5,2,5,5,2,0,0,,,TRUE,
Arecaceae,59,43,15,59,43,15,0,0,,,TRUE,
Aristolochiaceae,14,13,4,14,13,4,0,0,,,TRUE,
Asparagaceae,254,158,53,254,158,53,0,0,,,TRUE,
Asphodelaceae,48,34,6,48,34,6,0,0,,,TRUE,
Aspleniaceae,5,5,2,5,5,2,0,0,,,TRUE,
Asteraceae,2055,724,432,2043,716,422,12,8,DZWVGWIVGSAXKU-JTQLQIEISA-N;DZWVGWIVGSAXKU-UHFFFAOYSA-N;FURJBIIWGLKKIO-UHFFFAOYSA-N;GHNBEBDYYSVNEK-XPQLPGEHSA-N;IDTFANFXLFNLMC-UHFFFAOYSA-N;KRIOVPPHQSLHCZ-UHFFFAOYSA-N;MSTDXOZUKAQDRL-UHFFFAOYSA-N;UJIZCWIVJDTVIG-UHFFFAOYSA-N,carbon_count_below_14,TRUE,
Athyriaceae,2,2,1,2,2,1,0,0,,,TRUE,
Aulacomniaceae,9,6,1,9,6,1,0,0,,,TRUE,
Balanophoraceae,66,43,10,66,43,10,0,0,,,TRUE,
Balsaminaceae,1,1,1,1,1,1,0,0,,,TRUE,
Basellaceae,1,1,1,1,1,1,0,0,,,TRUE,
Begoniaceae,20,17,5,19,16,5,1,1,PWSZACWUDDFZMQ-UHFFFAOYSA-N,zero_oxygen,TRUE,
Berberidaceae,18,12,11,18,12,11,0,0,,,TRUE,
Betulaceae,128,48,32,128,48,32,0,0,,,TRUE,
Bignoniaceae,23,23,8,23,23,8,0,0,,,TRUE,
Bixaceae,1,1,1,1,1,1,0,0,,,TRUE,
Blechnaceae,10,10,5,10,10,5,0,0,,,TRUE,
Bonnetiaceae,2,2,1,2,2,1,0,0,,,TRUE,
Boraginaceae,6,6,2,6,6,2,0,0,,,TRUE,
Brassicaceae,94,51,16,94,51,16,0,0,,,TRUE,
Bromeliaceae,30,24,4,30,24,4,0,0,,,TRUE,
Bryaceae,6,3,2,6,3,2,0,0,,,TRUE,
