family,genus,species_binomial,n_occurrence_rows,n_compounds,n_references,representative_allowed,representative_exclusion_reason,representative_source,tree_species,representative_taxonomy_status
Acanthaceae,Andrographis,Andrographis paniculata,15,9,5,TRUE,,observed_binomial_species,Andrographis_paniculata,compatible
Achariaceae,Caloncoba,Caloncoba glauca,3,3,1,TRUE,,observed_binomial_species,Caloncoba_glauca,compatible
Acrobolbaceae,Acrobolbus,Acrobolbus renifolius,2,2,1,TRUE,,observed_binomial_species,Acrobolbus_renifolius,compatible
Actinidiaceae,Actinidia,Actinidia chinensis,46,29,6,TRUE,,observed_binomial_species,Actinidia_chinensis,compatible
Aizoaceae,Nelia,Nelia pillansii,12,12,1,TRUE,,observed_binomial_species,Nelia_pillansii,compatible
Altingiaceae,Liquidambar,Liquidambar styraciflua,3,3,1,TRUE,,observed_binomial_species,Liquidambar_styraciflua,compatible
Amaranthaceae,Beta,Beta vulgaris,14,12,3,TRUE,,observed_binomial_species,Beta_vulgaris,compatible
Amaryllidaceae,Habranthus,Habranthus brachyandrus,17,17,1,TRUE,,observed_binomial_species,Habranthus_brachyandrus,compatible
Anacardiaceae,Semecarpus,Semecarpus anacardium,16,13,4,TRUE,,observed_binomial_species,Semecarpus_anacardium,compatible
Annonaceae,Miliusa,Miliusa balansae,23,18,3,TRUE,,observed_binomial_species,Miliusa_balansae,compatible
Apiaceae,Angelica,Angelica keiskei,127,64,17,TRUE,,observed_binomial_species,Angelica_keiskei,compatible
Apocynaceae,Urceola,Urceola laevigata,26,24,2,TRUE,,observed_binomial_species,Urceola_laevigata,compatible
Aquifoliaceae,Ilex,Ilex centrochinensis,3,3,3,TRUE,,observed_binomial_species,Ilex_centrochinensis,compatible
Araceae,Anchomanes,Anchomanes difformis,2,2,1,TRUE,,observed_binomial_species,Anchomanes_difformis,compatible
Araliaceae,Eleutherococcus,Eleutherococcus brachypus,7,7,2,TRUE,,observed_binomial_species,Eleutherococcus_brachypus,compatible
Araucariaceae,Araucaria,Araucaria angustifolia,5,5,2,TRUE,,observed_binomial_species,Araucaria_angustifolia,compatible
Arecaceae,Calamus,Calamus draco,22,21,4,TRUE,,observed_binomial_species,Calamus_draco,compatible
Aristolochiaceae,Asarum,Asarum canadense,7,7,1,TRUE,,observed_binomial_species,Asarum_canadense,compatible
Asparagaceae,Dracaena,Dracaena draco,56,31,4,TRUE,,observed_binomial_species,Dracaena_draco,compatible
Asphodelaceae,Xanthorrhoea,Xanthorrhoea resinosa,17,17,2,TRUE,,observed_binomial_species,Xanthorrhoea_resinosa,compatible
Aspleniaceae,Asplenium,Asplenium ceterach,4,4,1,TRUE,,observed_binomial_species,Asplenium_ceterach,compatible
Asteraceae,Bidens,Bidens pilosa,58,50,7,TRUE,,observed_binomial_species,Bidens_pilosa,compatible
Athyriaceae,Diplazium,Diplazium esculentum,2,2,1,TRUE,,observed_binomial_species,Diplazium_esculentum,compatible
