species,genus,family
Andrographis_paniculata,Andrographis,Acanthaceae
Caloncoba_glauca,Caloncoba,Achariaceae
Actinidia_chinensis,Actinidia,Actinidiaceae
Nelia_pillansii,Nelia,Aizoaceae
Liquidambar_styraciflua,Liquidambar,Altingiaceae
Beta_vulgaris,Beta,Amaranthaceae
Habranthus_brachyandrus,Habranthus,Amaryllidaceae
Semecarpus_anacardium,Semecarpus,Anacardiaceae
Miliusa_balansae,Miliusa,Annonaceae
Angelica_keiskei,Angelica,Apiaceae
Urceola_laevigata,Urceola,Apocynaceae
Ilex_centrochinensis,Ilex,Aquifoliaceae
Anchomanes_difformis,Anchomanes,Araceae
Eleutherococcus_brachypus,Eleutherococcus,Araliaceae
Araucaria_angustifolia,Araucaria,Araucariaceae
Calamus_draco,Calamus,Arecaceae
Asarum_canadense,Asarum,Aristolochiaceae
Dracaena_draco,Dracaena,Asparagaceae
Xanthorrhoea_resinosa,Xanthorrhoea,Asphodelaceae
Asplenium_ceterach,Asplenium,Aspleniaceae
Bidens_pilosa,Bidens,Asteraceae
Diplazium_esculentum,Diplazium,Athyriaceae
Balanophora_tobiracola,Balanophora,Balanophoraceae
Impatiens_balsamina,Impatiens,Balsaminaceae
Basella_alba,Basella,Basellaceae
Begonia_nantoensis,Begonia,Begoniaceae
Achlys_triphylla,Achlys,Berberidaceae
Alnus_sieboldiana,Alnus,Betulaceae
Anemopaegma_arvense,Anemopaegma,Bignoniaceae
Cochlospermum_gillivraei,Cochlospermum,Bixaceae
Brainea_insignis,Brainea,Blechnaceae
Bonnetia_paniculata,Bonnetia,Bonnetiaceae
Echiochilon_fruticosum,Echiochilon,Boraginaceae
Anastatica_hierochuntica,Anastatica,Brassicaceae
Ananas_comosus,Ananas,Bromeliaceae
Commiphora_socotrana,Commiphora,Burseraceae
Echinocereus_coccineus,Echinocereus,Cactaceae
Calceolaria_hypericina,Calceolaria,Calceolariaceae
Calophyllum_polyanthum,Calophyllum,Calophyllaceae
Platycodon_grandiflorus,Platycodon,Campanulaceae
Humulus_lupulus,Humulus,Cannabaceae
Crateva_religiosa,Crateva,Capparaceae
Patrinia_villosa,Patrinia,Caprifoliaceae
Dianthus_caryophyllus,Dianthus,Caryophyllaceae
Casuarina_equisetifolia,Casuarina,Casuarinaceae
Gymnosporia_senegalensis,Gymnosporia,Celastraceae
Cephalotaxus_harringtonii,Cephalotaxus,Taxaceae
Cercidiphyllum_japonicum,Cercidiphyllum,Cercidiphyllaceae
Sarcandra_glabra,Sarcandra,Chloranthaceae
Moquilea_pyrifolia,Moquilea,Chrysobalanaceae
Cistus_laurifolius,Cistus,Cistaceae
Cleome_droserifolia,Cleome,Cleomaceae
Garcinia_dulcis,Garcinia,Clusiaceae
Getonia_floribunda,Getonia,Combretaceae
Ipomoea_nil,Ipomoea,Convolvulaceae
Cordia_goetzei,Cordia,Boraginaceae
Coriaria_japonica,Coriaria,Coriariaceae
Cornus_kousa,Cornus,Cornaceae
Rhodiola_semenovii,Rhodiola,Crassulaceae
Cucurbita_pepo,Cucurbita,Cucurbitaceae
Eucryphia_glutinosa,Eucryphia,Cunoniaceae
Cryptomeria_japonica,Cryptomeria,Cupressaceae
Alsophila_spinulosa,Alsophila,Cyatheaceae
Cycas_circinalis,Cycas,Cycadaceae
Cynomorium_coccineum,Cynomorium,Cynomoriaceae
Cyperus_capitatus,Cyperus,Cyperaceae
Daphniphyllum_himalayense,Daphniphyllum,Daphniphyllaceae
Davallia_bullata,Davallia,Davalliaceae
Microlepia_marginata,Microlepia,Dennstaedtiaceae
Berneuxia_thibetica,Berneuxia,Diapensiaceae
Alluaudia_humbertii,Alluaudia,Didiereaceae
Dillenia_pentagyna,Dillenia,Dilleniaceae
Dioscorea_cirrhosa,Dioscorea,Dioscoreaceae
Monotes_engleri,Monotes,Dipterocarpaceae
Dryopteris_crassirhizoma,Dryopteris,Dryopteridaceae
Diospyros_kaki,Diospyros,Ebenaceae
Hippophae_rhamnoides,Hippophae,Elaeagnaceae
Bergia_capensis,Bergia,Elatinaceae
Ephedra_frustillata,Ephedra,Ephedraceae
Equisetum_arvense,Equisetum,Equisetaceae
Vaccinium_vitis-idaea,Vaccinium,Ericaceae
Eriocaulon_buergerianum,Eriocaulon,Eriocaulaceae
Erythroxylum_novogranatense,Erythroxylum,Erythroxylaceae
Eucommia_ulmoides,Eucommia,Eucommiaceae
Macaranga_tanarius,Macaranga,Euphorbiaceae
Euptelea_polyandra,Euptelea,Eupteleaceae
Glycyrrhiza_glabra,Glycyrrhiza,Fabaceae
Quercus_robur,Quercus,Fagaceae
Greyia_flanaganii,Greyia,Francoaceae
Hoppea_dichotoma,Hoppea,Gentianaceae
Geranium_niveum,Geranium,Geraniaceae
Didymocarpus_albicalyx,Didymocarpus,Gesneriaceae
Ginkgo_biloba,Ginkgo,Ginkgoaceae
Dicranopteris_pedata,Dicranopteris,Gleicheniaceae
Gnetum_africanum,Gnetum,Gnetaceae
Ribes_rubrum,Ribes,Grossulariaceae
Myriophyllum_aquaticum,Myriophyllum,Haloragaceae
Hamamelis_virginiana,Hamamelis,Hamamelidaceae
Heliotropium_glutinosum,Heliotropium,Boraginaceae
Hernandia_nymphaeifolia,Hernandia,Hernandiaceae
Vantanea_peruviana,Vantanea,Humiriaceae
Hydrangea_macrophylla,Hydrangea,Hydrangeaceae
Hypericum_perforatum,Hypericum,Hypericaceae
Iris_domestica,Iris,Iridaceae
Juglans_regia,Juglans,Juglandaceae
Krameria_erecta,Krameria,Krameriaceae
Scutellaria_indica,Scutellaria,Lamiaceae
Sinofranchetia_chinensis,Sinofranchetia,Lardizabalaceae
Lindera_umbellata,Lindera,Lauraceae
Bertholletia_excelsa,Bertholletia,Lecythidaceae
Strychnos_trinervis,Strychnos,Loganiaceae
