family,expected_order,expected_clade,n_sister_tips,sister_tips,sister_orders,sister_clades,same_order_sister,same_clade_sister
Asteraceae,Asterales,Asterids (Campanulids),1,Campanulaceae,Asterales,Asterids (Campanulids),TRUE,TRUE
Campanulaceae,Asterales,Asterids (Campanulids),1,Asteraceae,Asterales,Asterids (Campanulids),TRUE,TRUE
Apiaceae,Apiales,Asterids (Campanulids),1,Araliaceae,Apiales,Asterids (Campanulids),TRUE,TRUE
Araliaceae,Apiales,Asterids (Campanulids),1,Apiaceae,Apiales,Asterids (Campanulids),TRUE,TRUE
Caprifoliaceae,Dipsacales,Asterids (Campanulids),1,Viburnaceae,,Asterids (Campanulids),FALSE,TRUE
Viburnaceae,,Asterids (Campanulids),1,Caprifoliaceae,Dipsacales,Asterids (Campanulids),FALSE,TRUE
Paracryphiaceae,Paracryphiales,Asterids (Campanulids),2,Caprifoliaceae;Viburnaceae,Dipsacales,Asterids (Campanulids),FALSE,TRUE
Aquifoliaceae,Aquifoliales,Asterids (Campanulids),7,Asteraceae;Campanulaceae;Apiaceae;Araliaceae;Caprifoliaceae;Viburnaceae;Paracryphiaceae,Asterales;Apiales;Dipsacales;Paracryphiales,Asterids (Campanulids),FALSE,TRUE
Lamiaceae,Lamiales,Asterids (Lamiids),2,Paulowniaceae;Phrymaceae,Lamiales,Asterids (Lamiids),TRUE,TRUE
Paulowniaceae,Lamiales,Asterids (Lamiids),1,Phrymaceae,Lamiales,Asterids (Lamiids),TRUE,TRUE
Phrymaceae,Lamiales,Asterids (Lamiids),1,Paulowniaceae,Lamiales,Asterids (Lamiids),TRUE,TRUE
Acanthaceae,Lamiales,Asterids (Lamiids),1,Bignoniaceae,Lamiales,Asterids (Lamiids),TRUE,TRUE
Bignoniaceae,Lamiales,Asterids (Lamiids),1,Acanthaceae,Lamiales,Asterids (Lamiids),TRUE,TRUE
Verbenaceae,Lamiales,Asterids (Lamiids),2,Acanthaceae;Bignoniaceae,Lamiales,Asterids (Lamiids),TRUE,TRUE
Scrophulariaceae,Lamiales,Asterids (Lamiids),6,Lamiaceae;Paulowniaceae;Phrymaceae;Acanthaceae;Bignoniaceae;Verbenaceae,Lamiales,Asterids (Lamiids),TRUE,TRUE
Plantaginaceae,Lamiales,Asterids (Lamiids),7,Lamiaceae;Paulowniaceae;Phrymaceae;Acanthaceae;Bignoniaceae;Verbenaceae;Scrophulariaceae,Lamiales,Asterids (Lamiids),TRUE,TRUE
Gesneriaceae,Lamiales,Asterids (Lamiids),1,Calceolariaceae,Lamiales,Asterids (Lamiids),TRUE,TRUE
Calceolariaceae,Lamiales,Asterids (Lamiids),1,Gesneriaceae,Lamiales,Asterids (Lamiids),TRUE,TRUE
Oleaceae,Lamiales,Asterids (Lamiids),10,Lamiaceae;Paulowniaceae;Phrymaceae;Acanthaceae;Bignoniaceae;Verbenaceae;Scrophulariaceae;Plantaginaceae;Gesneriaceae;Calceolariaceae,Lamiales,Asterids (Lamiids),TRUE,TRUE
Boraginaceae,Boraginales,Asterids (Lamiids),3,Namaceae;Heliotropiaceae;Cordiaceae,,Asterids (Lamiids),FALSE,TRUE
Namaceae,,Asterids (Lamiids),1,Heliotropiaceae,,Asterids (Lamiids),FALSE,TRUE
Heliotropiaceae,,Asterids (Lamiids),1,Namaceae,,Asterids (Lamiids),FALSE,TRUE
Cordiaceae,,Asterids (Lamiids),2,Namaceae;Heliotropiaceae,,Asterids (Lamiids),FALSE,TRUE
Rubiaceae,Gentianales,Asterids (Lamiids),3,Apocynaceae;Gentianaceae;Loganiaceae,Gentianales,Asterids (Lamiids),TRUE,TRUE
Apocynaceae,Gentianales,Asterids (Lamiids),1,Gentianaceae,Gentianales,Asterids (Lamiids),TRUE,TRUE
Gentianaceae,Gentianales,Asterids (Lamiids),1,Apocynaceae,Gentianales,Asterids (Lamiids),TRUE,TRUE
Loganiaceae,Gentianales,Asterids (Lamiids),2,Apocynaceae;Gentianaceae,Gentianales,Asterids (Lamiids),TRUE,TRUE
Solanaceae,Solanales,Asterids (Lamiids),1,Convolvulaceae,Solanales,Asterids (Lamiids),TRUE,TRUE
Convolvulaceae,Solanales,Asterids (Lamiids),1,Solanaceae,Solanales,Asterids (Lamiids),TRUE,TRUE
Eucommiaceae,Garryales,Asterids (Lamiids),21,Lamiaceae;Paulowniaceae;Phrymaceae;Acanthaceae;Bignoniaceae;Verbenaceae;Scrophulariaceae;Plantaginaceae;Gesneriaceae;Calceolariaceae;Oleaceae;Boraginaceae;Namaceae;Heliotropiaceae;Cordiaceae;Rubiaceae;Apocynaceae;Gentianaceae;Loganiaceae;Solanaceae;Convolvulaceae,Lamiales;Boraginales;Gentianales;Solanales,Asterids (Lamiids),FALSE,TRUE
Ericaceae,Ericales,Asterids (Basal),2,Actinidiaceae;Sarraceniaceae,Ericales,Asterids (Basal),TRUE,TRUE
Actinidiaceae,Ericales,Asterids (Basal),1,Sarraceniaceae,Ericales,Asterids (Basal),TRUE,TRUE
Sarraceniaceae,Ericales,Asterids (Basal),1,Actinidiaceae,Ericales,Asterids (Basal),TRUE,TRUE
Symplocaceae,Ericales,Asterids (Basal),1,Diapensiaceae,Ericales,Asterids (Basal),TRUE,TRUE
Diapensiaceae,Ericales,Asterids (Basal),1,Symplocaceae,Ericales,Asterids (Basal),TRUE,TRUE
Primulaceae,Ericales,Asterids (Basal),2,Ebenaceae;Lecythidaceae,Ericales,Asterids (Basal),TRUE,TRUE
Ebenaceae,Ericales,Asterids (Basal),1,Lecythidaceae,Ericales,Asterids (Basal),TRUE,TRUE
Lecythidaceae,Ericales,Asterids (Basal),1,Ebenaceae,Ericales,Asterids (Basal),TRUE,TRUE
Sapotaceae,Ericales,Asterids (Basal),1,Theaceae,Ericales,Asterids (Basal),TRUE,TRUE
Theaceae,Ericales,Asterids (Basal),1,Sapotaceae,Ericales,Asterids (Basal),TRUE,TRUE
Pentaphylacaceae,Ericales,Asterids (Basal),10,Ericaceae;Actinidiaceae;Sarraceniaceae;Symplocaceae;Diapensiaceae;Primulaceae;Ebenaceae;Lecythidaceae;Sapotaceae;Theaceae,Ericales,Asterids (Basal),TRUE,TRUE
Balsaminaceae,Ericales,Asterids (Basal),1,Marcgraviaceae,Ericales,Asterids (Basal),TRUE,TRUE
Marcgraviaceae,Ericales,Asterids (Basal),1,Balsaminaceae,Ericales,Asterids (Basal),TRUE,TRUE
Hydrangeaceae,Cornales,Asterids (Basal),1,Cornaceae,Cornales,Asterids (Basal),TRUE,TRUE
Cornaceae,Cornales,Asterids (Basal),1,Hydrangeaceae,Cornales,Asterids (Basal),TRUE,TRUE
Cactaceae,Caryophyllales,Caryophyllales,1,Portulacaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Portulacaceae,Caryophyllales,Caryophyllales,1,Cactaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Didiereaceae,Caryophyllales,Caryophyllales,1,Basellaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Basellaceae,Caryophyllales,Caryophyllales,1,Didiereaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Molluginaceae,Caryophyllales,Caryophyllales,4,Cactaceae;Portulacaceae;Didiereaceae;Basellaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Aizoaceae,Caryophyllales,Caryophyllales,3,Nyctaginaceae;Petiveriaceae;Phytolaccaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Nyctaginaceae,Caryophyllales,Caryophyllales,2,Petiveriaceae;Phytolaccaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Petiveriaceae,Caryophyllales,Caryophyllales,1,Phytolaccaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Phytolaccaceae,Caryophyllales,Caryophyllales,1,Petiveriaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Caryophyllaceae,Caryophyllales,Caryophyllales,1,Amaranthaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Amaranthaceae,Caryophyllales,Caryophyllales,1,Caryophyllaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Physenaceae,Caryophyllales,Caryophyllales,11,Cactaceae;Portulacaceae;Didiereaceae;Basellaceae;Molluginaceae;Aizoaceae;Nyctaginaceae;Petiveriaceae;Phytolaccaceae;Caryophyllaceae;Amaranthaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Polygonaceae,Caryophyllales,Caryophyllales,1,Plumbaginaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Plumbaginaceae,Caryophyllales,Caryophyllales,1,Polygonaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Tamaricaceae,Caryophyllales,Caryophyllales,2,Polygonaceae;Plumbaginaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Loranthaceae,Santalales,Santalales,2,Santalaceae;Balanophoraceae,Santalales,Santalales,TRUE,TRUE
Santalaceae,Santalales,Santalales,1,Balanophoraceae,Santalales,Santalales,TRUE,TRUE
Balanophoraceae,Santalales,Santalales,1,Santalaceae,Santalales,Santalales,TRUE,TRUE
Olacaceae,Santalales,Santalales,3,Loranthaceae;Santalaceae;Balanophoraceae,Santalales,Santalales,TRUE,TRUE
