order,n_families,mrca_descendant_tips,order_purity,likely_outlier,purity_without_likely_outlier,purity_improvement,review_flag
Alismatales,2,2,1,,,,FALSE
Apiales,2,2,1,,,,FALSE
Aquifoliales,1,,,,,,FALSE
Arecales,1,,,,,,FALSE
Asparagales,5,5,1,,,,FALSE
Asterales,2,2,1,,,,FALSE
Austrobaileyales,1,,,,,,FALSE
Boraginales,1,,,,,,FALSE
Brassicales,3,3,1,,,,FALSE
Canellales,1,,,,,,FALSE
Caryophyllales,15,15,1,,,,FALSE
Celastrales,1,,,,,,FALSE
Chloranthales,1,,,,,,FALSE
Cornales,2,2,1,,,,FALSE
Crossosomatales,1,,,,,,FALSE
Cucurbitales,3,3,1,,,,FALSE
Cupressales,5,6,0.8333333333333334,Araucariaceae,0.6666666666666666,-0.16666666666666674,FALSE
Cyatheales,1,,,,,,FALSE
Cycadales,1,,,,,,FALSE
Dilleniales,1,,,,,,FALSE
Dioscoreales,1,,,,,,FALSE
Dipsacales,1,,,,,,FALSE
Equisetales,1,,,,,,FALSE
Ericales,13,13,1,,,,FALSE
Fabales,2,2,1,,,,FALSE
Fagales,6,6,1,,,,FALSE
Garryales,1,,,,,,FALSE
Gentianales,4,4,1,,,,FALSE
Geraniales,2,2,1,,,,FALSE
Ginkgoales,1,,,,,,FALSE
Gleicheniales,1,,,,,,FALSE
Gnetales,2,2,1,,,,FALSE
Lamiales,11,11,1,,,,FALSE
Laurales,3,3,1,,,,FALSE
Liliales,2,2,1,,,,FALSE
Lycopodiales,2,2,1,,,,FALSE
Magnoliales,2,2,1,,,,FALSE
Malpighiales,18,18,1,,,,FALSE
Malvales,7,7,1,,,,FALSE
Myrtales,6,6,1,,,,FALSE
Nymphaeales,1,,,,,,FALSE
Ophioglossales,1,,,,,,FALSE
Oxalidales,2,2,1,,,,FALSE
Pandanales,2,2,1,,,,FALSE
Paracryphiales,1,,,,,,FALSE
Pinales,1,,,,,,FALSE
Piperales,3,3,1,,,,FALSE
Poales,5,5,1,,,,FALSE
Polypodiales,12,12,1,,,,FALSE
Proteales,3,3,1,,,,FALSE
Ranunculales,6,6,1,,,,FALSE
Rosales,7,7,1,,,,FALSE
Santalales,4,4,1,,,,FALSE
Sapindales,6,6,1,,,,FALSE
Saxifragales,10,10,1,,,,FALSE
Solanales,2,2,1,,,,FALSE
Trochodendrales,1,,,,,,FALSE
Vitales,1,,,,,,FALSE
Zingiberales,2,2,1,,,,FALSE
Zygophyllales,2,2,1,,,,FALSE
