original_family,genus,species_binomial,tree_species,representative_source,representative_taxonomy_status,representative_exclusion_reason,n_occurrence_rows,n_compounds,n_references,backbone_family,original_family_in_backbone,backbone_family_in_backbone,backbone_override_reason,phylo_maker_status,Order,Node.1,Node.2,Node.3,Node.4,FinalClade,apg_match,clade_assignment_source,AnalysisClade
Acanthaceae,Andrographis,Andrographis paniculata,Andrographis_paniculata,observed_binomial_species,compatible,,15,9,5,Acanthaceae,TRUE,TRUE,,prune,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Achariaceae,Caloncoba,Caloncoba glauca,Caloncoba_glauca,observed_binomial_species,compatible,,3,3,1,Achariaceae,TRUE,TRUE,,bind,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Actinidiaceae,Actinidia,Actinidia chinensis,Actinidia_chinensis,observed_binomial_species,compatible,,46,29,6,Actinidiaceae,TRUE,TRUE,,prune,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Aizoaceae,Nelia,Nelia pillansii,Nelia_pillansii,observed_binomial_species,compatible,,12,12,1,Aizoaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Altingiaceae,Liquidambar,Liquidambar styraciflua,Liquidambar_styraciflua,observed_binomial_species,compatible,,3,3,1,Altingiaceae,TRUE,TRUE,,prune,Saxifragales,Eudicots,Superrosids,,,Saxifragales,TRUE,APG_reference,Saxifragales
Amaranthaceae,Beta,Beta vulgaris,Beta_vulgaris,observed_binomial_species,compatible,,14,12,3,Amaranthaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Amaryllidaceae,Habranthus,Habranthus brachyandrus,Habranthus_brachyandrus,observed_binomial_species,compatible,,17,17,1,Amaryllidaceae,TRUE,TRUE,,bind,Asparagales,Monocots,,,,Monocots,TRUE,APG_reference,Monocots
Anacardiaceae,Semecarpus,Semecarpus anacardium,Semecarpus_anacardium,observed_binomial_species,compatible,,16,13,4,Anacardiaceae,TRUE,TRUE,,prune,Sapindales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Annonaceae,Miliusa,Miliusa balansae,Miliusa_balansae,observed_binomial_species,compatible,,23,18,3,Annonaceae,TRUE,TRUE,,prune,Magnoliales,Magnoliids,,,,Magnoliids,TRUE,APG_reference,Magnoliids
Apiaceae,Angelica,Angelica keiskei,Angelica_keiskei,observed_binomial_species,compatible,,127,64,17,Apiaceae,TRUE,TRUE,,prune,Apiales,Eudicots,Superasterids,Asterids,Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
